,https://roic.ai/company/WSO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,1800000,1100000,-5400000,-5500000,-40500000,-114500000,-171600000,-60600000,-2400000,30304000,26670000,39412000,5706000,-44111000,-47304000,-66120000,35637000,48117000,-153289000,2741000,-88835000,-88520000,-58219000,-128813000,-28597000,45537000,78056000,-281588000,46226000,250843000,132314000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,300000,5700000,900000,2400000,11000000,-8900000,-21400000,4700000,41900000,49060000,52573000,66861000,60252000,56659000,35782000,68541000,107998000,113473000,88287000,152799000,61452000,173343000,150269000,144980000,221383000,277756000,306520000,170557000,335771000,534379000,349566000
84,CAPEX,- -,- -,- -,- -,- -,- -,-1100000,-2000000,-3000000,-4100000,-4200000,-5400000,-126100000,-32300000,-32600000,-7032000,-4624000,-4539000,-3069000,-4846000,-7283000,-9992000,-6071000,-3973000,-5912000,-8421000,-13925000,-12317000,-14580000,-21512000,-23698000,-43577000,-17876000,-17153000,-17805000,94000,-24108000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-896000,- -,-1864000,-18424000,-3403000,-49481000,-9889000,-108972000,76000,-9840000,-3824000,-43455000,-80479000,- -,- -,- -,- -,-63600000,-9386000,-64612000,- -,-129462000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-900000,-2300000,- -,- -,- -,-1000000,-1000000,- -,- -,- -,- -,- -,- -,-2847000,-5240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,700000,1000000,- -,- -,3000000,- -,2100000,- -,17600000,- -,- -,- -,- -,- -,- -,- -,8551000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,100000,-3500000,- -,-13000000,-15300000,-2700000,-400000,4100000,-2175000,1320000,2338000,-1016000,4946000,2036000,448000,428000,226000,249000,2111000,737000,504000,323000,2388000,760000,744000,168000,228000,1380000,-16436000,-19115000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-400000,-900000,-7400000,-6400000,-14200000,-20700000,-126700000,-33700000,-11900000,-10103000,-3304000,-4065000,-22509000,-3303000,-54728000,-22280000,-111304000,-3671000,-15503000,-10134000,-56643000,-92292000,-14257000,-19124000,-22938000,-42833000,-81308000,-26311000,-81037000,-16342000,-148577000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34266000,-234000,-3492000,-38000,-20001000,-82957000,- -,-56413000,-10156000,-213513000,-21800000,-1240000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,1000000,9700000,100000,700000,35200000,87000000,3400000,1500000,1246000,840000,4031000,4827000,6848000,6094000,3822000,4131000,5916000,10335000,6042000,- -,5312000,2185000,4245000,5957000,5653000,252988000,6591000,13341000,19257000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4400000,- -,-14300000,-17604000,-3219000,-24463000,-6727000,-836000,-17721000,-15328000,-9386000,-4820000,- -,- -,- -,- -,- -,- -,- -,- -,-4674000,-3782000,-1528000,-2299000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-800000,-600000,-900000,-1000000,-1300000,-1900000,-2400000,-2600000,-2900000,-2737000,-2638000,-3017000,-5204000,-10103000,-16978000,-26372000,-36745000,-49351000,-57085000,-66028000,-73276000,-256219000,-39836000,-69870000,-98532000,-127604000,-164147000,-209218000,-241412000,-265713000,-294522000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-2500000,-6500000,-2100000,5500000,5800000,-2400000,72900000,27000000,-14100000,-22565000,-39901000,-22599000,-20180000,-460000,-9943000,-1693000,17067000,4758000,-9151000,-10782000,-42320000,247827000,-68441000,-54582000,-37332000,-81809000,-72799000,88606000,-33184000,-199738000,65920000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-3200000,-6100000,6700000,4600000,5200000,30900000,153100000,27800000,-29800000,-41660000,-44918000,-46048000,-27284000,-4551000,-38548000,-39571000,-24933000,-77763000,-56135000,-74260000,-115634000,-23081000,-189049000,-120207000,-186320000,-213916000,-202145000,-139603000,-264023000,-448493000,-228602000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000,-1255000,-680000,-1343000,-226000,1419000,-2245000,849000,2069000,-186000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-3200000,-6100000,6700000,4600000,2000000,- -,- -,- -,300000,-2703000,4351000,16748000,10459000,48805000,-57494000,6690000,-24935000,32039000,16649000,68405000,-110825000,58097000,-54292000,4969000,10782000,20781000,24486000,2398000,-8440000,71613000,-27799000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,- -,- -,- -,7500000,4781000,9132000,25880000,36339000,85144000,27650000,34340000,9405000,41444000,58093000,126498000,15673000,73770000,19478000,24447000,35229000,56010000,80496000,82894000,74454000,146067000,118268000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,5500000,2200000,900000,1100000,1700000,3800000,2800000,7900000,7200000,7484000,4781000,9132000,25880000,36339000,85144000,27650000,34340000,9405000,41444000,58093000,126498000,15673000,73770000,19478000,24447000,35229000,56010000,80496000,82894000,74454000,146067000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-800000,3700000,-2100000,-1700000,6800000,-14300000,-147500000,-27600000,9300000,42028000,47949000,62322000,57183000,51813000,28499000,58549000,101927000,109500000,82375000,144378000,47527000,161026000,135689000,123468000,197685000,234179000,288644000,153404000,317966000,534473000,325458000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105016/000102140803005436/0001021408-03-005436-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312504042160/0001193125-04-042160-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312505052728/0001193125-05-052728-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312506056680/0001193125-06-056680-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312507044058/0001193125-07-044058-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312508043545/d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312509040910/0001193125-09-040910-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312510043122/0001193125-10-043122-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312511051303/d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312512087592/0001193125-12-087592-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312513084635/0001193125-13-084635-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312514072668/d633852d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312515060230/d841239d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312516484870/0001193125-16-484870-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312517049156/0001193125-17-049156-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312518067229/0001193125-18-067229-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312519057858/0001193125-19-057858-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312520056004/0001193125-20-056004-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312521060167/0001193125-21-060167-index.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312522054394/0001193125-22-054394-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
