,https://roic.ai/company/JEF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1349800000,1451761000,925246000,665671000,1090557000,63735000,121893000,90268000,71061000,107443000,105107000,90608000,332225000,382878000,13772816000,14167874000,14083158000,10974046000,12960500000,- -,12136526000,15148925000,17719701000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1833100000,1826284000,1268522000,898744000,2245435000,63735000,1108611000,1064914000,2075206000,1940186000,1762886000,1639077000,2207796000,1301004000,21953681000,22695803000,21490752000,18354489000,20846283000,9276834000,20473587000,24085771000,27393741000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,584807000,548295000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1833100000,1826284000,1268522000,898744000,2245435000,1080793000,1583007000,1391567000,2535156000,2503102000,2387867000,2386917000,3084928000,2581483000,37568728000,42128886000,35748922000,34642658000,36905129000,37070229000,39733550000,43554827000,49674070000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47507000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,125000000,125000000,125000000,125000000,- -,125000000,125000000,125000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56800000,55297000,55318000,58269000,70824000,107600000,108029000,216351000,222574000,238499000,243288000,243808000,244583000,244583000,364541000,367499000,362617000,359425000,356227000,307515000,291644000,249751000,243541000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989800000,1092019000,1070682000,1218464000,1297812000,1416411000,3025444000,3160758000,3589408000,1053983000,1604263000,3482623000,3446708000,4240028000,4318840000,4428069000,4612982000,4645391000,4700968000,5610218000,5933389000,6531836000,7940113000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136138000,-81502000,-4726000,975365000,-29280000,985032000,1687363000,912421000,705129000,538050000,447082000,438793000,310697000,372724000,288000000,-273039000,-288917000,-372143000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190500000,170037000,182717000,210285000,765525000,598504000,609943000,520892000,783145000,1413595000,1529064000,1542964000,1570684000,1577528000,4881031000,5059508000,4986819000,4812587000,4676038000,3855133000,3627711000,2911223000,2742244000
