,https://roic.ai/company/PNW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80834000,12292000,-67943000,- -,14587000,-44991000,-52672000,-22219000,-2489000,-93797000,37530000,-12789000,-18191000,-72559000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,25600000,11900000,7800000,-2800000,-8800000,475000,-16867000,-11599000,-4629000,2621000,-16836000,-9094000,-29776000,22588000,21572000,12276000,-23398000,-23043000,-11878000,3724000,-23945000,-1491000,-6683000,-6103000,-51826000,11623000,-32870000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69439000,-27328000,9125000,58346000,-96600000,45414000,-353000,-34266000,-66917000,-23769000,-14602000,50641000,-6059000,20267000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96500000,-74000000,-100300000,-74600000,-183400000,3300000,-397385000,-363524000,-242427000,-181927000,-488766000,-380681000,16102000,-437520000,-623446000,-154423000,-378806000,-386235000,-77816000,-575035000,-585708000,-551801000,-470727000,-181564000,-723973000,-1048335000,-162114000,-268000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,223700000,284300000,404100000,351200000,430400000,298400000,806886000,241842000,403945000,518995000,1019574000,469750000,-358274000,862442000,208987000,-16111000,-50179000,123563000,-228703000,450292000,30949000,-193793000,-313564000,-534291000,525819000,65669000,-1239333000,-236827000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,497200000,555900000,572500000,637600000,605800000,635600000,699560000,570930000,870774000,901830000,842080000,730296000,393502000,657936000,813568000,1031065000,750457000,1125583000,1171122000,1153307000,1099627000,1094327000,1023390000,1118036000,1277144000,956726000,966365000,860014000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-255300000,-295800000,-258600000,- -,-319100000,-343400000,-658608000,-1040585000,-895522000,-693475000,-538232000,-633532000,-737779000,-918581000,-935577000,-764609000,-748374000,-884350000,-889551000,-1016322000,-910634000,-1076087000,-1275472000,-1408774000,-1178169000,-1191447000,-1326584000,-1473475000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-185046000,207620000,- -,- -,- -,- -,45111000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1040955000,-2962278000,-1439404000,-36525000,-338361000,-463033000,-584885000,-513799000,-434852000,-463274000,-373444000,-496062000,-635691000,-544527000,-672165000,-722181000,-822608000,-1725480000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,951630000,3143481000,1446325000,69225000,411790000,484612000,632507000,499155000,417603000,446025000,356195000,478813000,633410000,542246000,653033000,719034000,819518000,1720966000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,-8600000,-25500000,-344900000,-20800000,-27900000,-63399000,-79219000,-7475000,-23291000,95604000,52283000,-45495000,12527000,-888588000,-726496000,-623522000,-812474000,-855745000,-992152000,-905419000,-1048984000,-1249797000,-1426256000,-1173692000,-1127830000,-1274728000,-1382415000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-253100000,-304400000,-284100000,-344900000,-339900000,-371300000,-722007000,-1119804000,-902997000,-716766000,-531953000,-585092000,-568733000,-873354000,-815159000,-704917000,-575900000,-782007000,-872994000,-1009401000,-922668000,-1066233000,-1252078000,-1428537000,-1192824000,-1130977000,-1277818000,-1386929000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181491000,-951881000,-243687000,-655169000,-654286000,-122828000,-658303000,-562970000,-370430000,-264800000,-246000000,-665000000,-1685840000,-19000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199238000,- -,18291000,298168000,39548000,24089000,3687000,3302000,255971000,15841000,15955000,17319000,15288000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-124100000,- -,-50400000,-127200000,-75500000,-96500000,-120733000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72100000,-80900000,-89600000,-96200000,-103800000,-112300000,- -,-129199000,-137721000,-157417000,-166772000,-186677000,-201220000,-210473000,-204247000,-205076000,-216979000,-221728000,-225075000,-235244000,-246671000,-260027000,-274229000,-289793000,-308892000,-329643000,-350577000,-369478000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65200000,-125700000,-201300000,-68500000,-93600000,-55400000,132838000,696329000,19794000,123566000,-129342000,-266058000,270110000,370913000,432566000,867640000,-5052000,440875000,557897000,180171000,710805000,826787000,842740000,870105000,462446000,1173411000,2397555000,865394000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-261400000,-206600000,-341300000,-291900000,-272900000,-264200000,12105000,567130000,81311000,-33851000,-277823000,-154567000,108438000,184529000,50515000,-286015000,-209747000,-420181000,-305509000,-160582000,-178881000,3790000,198081000,315512000,-92446000,178768000,361138000,476916000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17400000,44800000,-52800000,800000,-7000000,200000,-10342000,18256000,49088000,151213000,32304000,-9363000,-66793000,-30889000,48924000,40133000,-35190000,-76605000,-7381000,-16676000,-1922000,31884000,-30607000,5011000,-8126000,4517000,49685000,-49999000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,34700000,79500000,26700000,27500000,20500000,20700000,10363000,28619000,77707000,228779000,163366000,154003000,87210000,56321000,105245000,145378000,110188000,33583000,26202000,9526000,7604000,39488000,8881000,13892000,5766000,10283000,59968000,9969000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,52100000,34700000,79500000,26700000,27500000,20500000,20705000,10363000,28619000,77566000,131062000,163366000,154003000,87210000,56321000,105245000,145378000,110188000,33583000,26202000,9526000,7604000,39488000,8881000,13892000,5766000,10283000,59968000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,241900000,260100000,313900000,637600000,286700000,292200000,40952000,-469655000,-24748000,208355000,303848000,96764000,-344277000,-260645000,-122009000,266456000,2083000,241233000,281571000,136985000,188993000,18240000,-252082000,-290738000,98975000,-234721000,-360219000,-613461000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/764622/000095014795000046/0000950147-95-000046-index.html,https://www.sec.gov/Archives/edgar/data/764622/000095014796000117/0000950147-96-000117-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764622/000095014701500557/0000950147-01-500557-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/764622/000095015304000639/p68820e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015305000539/p70328e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015306000633/p71939e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015307000444/p73495e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015308000407/p75022e10vk.htm,https://www.sec.gov/Archives/edgar/data/7286/000095013409003359/0000950134-09-003359-index.html,https://www.sec.gov/Archives/edgar/data/7286/000095012310014366/0000950123-10-014366-index.html,https://www.sec.gov/Archives/edgar/data/764622/000095012311015421/c09734e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000110465912012301/0001104659-12-012301-index.html,https://www.sec.gov/Archives/edgar/data/764622/000110465913012982/0001104659-13-012982-index.html,https://www.sec.gov/Archives/edgar/data/764622/000110465914012068/a13-25897_110k.htm,https://www.sec.gov/Archives/edgar/data/764622/000076462215000013/pnw12311410-k.htm,https://www.sec.gov/Archives/edgar/data/7286/000076462216000087/0000764622-16-000087-index.html,https://www.sec.gov/Archives/edgar/data/764622/000076462217000010/0000764622-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/7286/000076462218000018/0000764622-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/7286/000076462219000019/0000764622-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/7286/000076462220000017/0000764622-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/764622/000076462221000013/0000764622-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/764622/000076462222000014/0000764622-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
