,https://roic.ai/company/NOC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-38300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-543000000,5005000000,-5078000000,1300000000,-1109000000,391000000,374000000,-575000000,1885000000,-132000000,93000000,725000000,1337000000,-1381000000,-1415000000,349000000,8158000000,-7978000000,-155000000,4513000000,181000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6313000000,-664000000,350000000,90000000,171000000,-105000000,-30000000,-461000000,-677000000,202000000,122000000,-285000000,-10000000
79,Inventory,- -,- -,- -,- -,-85900000,49700000,122600000,63000000,142000000,-368000000,426000000,7000000,-147000000,-111000000,172000000,77000000,-28000000,-211000000,-54000000,3000000,-230000000,-73000000,8000000,-521000000,-291000000,-61000000,-2000000,46000000,101000000,-24000000,-80000000,-15000000,36000000,-37000000,-135000000,18000000,-52000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,-169000000,-89000000,-632000000,198000000,539000000,381000000,617000000,719000000,376000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-543000000,4462000000,-616000000,684000000,-425000000,-34000000,340000000,-235000000,1650000000,1518000000,1611000000,2336000000,3673000000,2292000000,877000000,1226000000,9384000000,1406000000,1251000000,5764000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,10800000,-224200000,190200000,-43000000,47000000,61000000,128000000,-26000000,-283000000,-455000000,121000000,-324000000,114000000,-2392000000,3353000000,-1256000000,1476000000,-1051000000,-168000000,4104000000,-2128000000,-342000000,-780000000,-756000000,-1445000000,1309000000,1021000000,-285000000,-8129000000,7690000000,1568000000,-4964000000,-5555000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,78600000,266100000,609400000,284000000,380000000,441000000,744000000,701000000,730000000,244000000,1207000000,1010000000,817000000,1689000000,798000000,1936000000,2627000000,1756000000,2890000000,3211000000,2133000000,2453000000,2115000000,2640000000,2483000000,2593000000,2162000000,2813000000,2613000000,3827000000,4297000000,4305000000,3567000000
84,CAPEX,- -,- -,- -,- -,-186800000,-121200000,-117400000,-123000000,-134000000,-134000000,-133000000,-194000000,-238000000,-261000000,-433000000,-274000000,-393000000,-538000000,-701000000,-672000000,-824000000,-737000000,-685000000,-681000000,-722000000,-776000000,-488000000,-331000000,-364000000,-561000000,-471000000,-920000000,-928000000,-1249000000,-1264000000,-1420000000,-1415000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-510000000,-3061000000,- -,- -,- -,-361000000,43000000,-690000000,83000000,1617000000,14000000,4000000,- -,- -,- -,- -,- -,- -,-7657000000,- -,- -,3400000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000000,- -,- -,- -,-4000000,-450000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,100000,- -,- -,28000000,- -,- -,- -,- -,- -,- -,- -,29000000,- -,23000000,238000000,209000000,- -,- -,- -,- -,200000000,250000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,42100000,249900000,-5800000,-42000000,11000000,-1857000000,17000000,-2804000000,125000000,26000000,41000000,706000000,250000000,391000000,3582000000,658000000,92000000,-81000000,-55000000,-28000000,-96000000,-1000000,1414000000,-334000000,-346000000,-645000000,-431000000,-805000000,-889000000,-1221000000,-1207000000,-1211000000,-1342000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-144700000,128700000,-123100000,-165000000,-123000000,-1963000000,-116000000,-2998000000,-113000000,-235000000,-392000000,-78000000,-3204000000,-118000000,2881000000,9000000,-855000000,-601000000,-1430000000,-626000000,867000000,-761000000,680000000,-84000000,-346000000,-645000000,-431000000,-805000000,-889000000,-8878000000,-1207000000,-1211000000,2058000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-486000000,-1192000000,-768000000,- -,-877000000,- -,- -,-321000000,- -,-2596000000,-531000000,-1105000000,-2236000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,600000,5000000,41000000,7000000,4000000,499000000,17000000,36000000,6000000,19000000,825000000,76000000,33000000,834000000,163000000,393000000,274000000,103000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79000000,- -,- -,- -,- -,- -,- -,- -,-200000000,-786000000,-1210000000,-825000000,-1175000000,-1555000000,-1100000000,-1177000000,-2295000000,-1316000000,-2371000000,-2668000000,-3182000000,-1547000000,-393000000,-1263000000,-744000000,-490000000,-3705000000
93,Dividends Paid,- -,- -,- -,- -,-56400000,-56300000,-56400000,-57000000,-77000000,-79000000,- -,-85000000,-102000000,-109000000,-111000000,-114000000,-158000000,-205000000,-305000000,-322000000,-359000000,-402000000,-504000000,-525000000,-539000000,-545000000,-543000000,-535000000,-545000000,-563000000,-603000000,-640000000,-689000000,-821000000,-880000000,-953000000,-983000000
94,Other Financing Activites,- -,- -,- -,- -,123600000,-170300000,-400300000,-40000000,-351000000,1511000000,-552000000,1909000000,-592000000,45000000,-612000000,-660000000,1865000000,-494000000,-4277000000,-735000000,9000000,-911000000,-107000000,-67000000,896000000,1648000000,112000000,155000000,2944000000,-4000000,510000000,722000000,8042000000,85000000,-269000000,2116000000,-78000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,67200000,-226600000,-456100000,-92000000,-387000000,1439000000,-627000000,2323000000,-677000000,-28000000,-717000000,-755000000,2532000000,-623000000,-4749000000,-1009000000,-1397000000,-1745000000,-1512000000,-2044000000,-1229000000,-1266000000,-3494000000,-1696000000,-849000000,-3235000000,-3275000000,-1786000000,6960000000,-4595000000,-2424000000,-432000000,-7002000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,67200000,-226600000,-456100000,-92000000,-387000000,1439000000,-627000000,2323000000,-677000000,-28000000,98000000,177000000,145000000,948000000,-1070000000,936000000,375000000,-590000000,-52000000,541000000,1771000000,426000000,-699000000,860000000,1288000000,-1287000000,-1544000000,222000000,8684000000,-9646000000,666000000,2662000000,-1377000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142000000,319000000,464000000,1412000000,342000000,1230000000,1605000000,1015000000,963000000,1504000000,3275000000,3701000000,3002000000,3862000000,5150000000,3863000000,2319000000,2541000000,11225000000,1579000000,2245000000,4907000000,3530000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3600000,4700000,172900000,203000000,230000000,100000000,17000000,18000000,123000000,63000000,44000000,142000000,319000000,464000000,1412000000,294000000,1230000000,1605000000,1015000000,963000000,1504000000,3275000000,3701000000,3002000000,3862000000,5150000000,3863000000,2319000000,2541000000,11225000000,1579000000,2245000000,4907000000
100,Free Cash Flow,- -,- -,- -,- -,-108200000,144900000,492000000,161000000,246000000,307000000,611000000,507000000,492000000,-17000000,774000000,736000000,424000000,1151000000,97000000,1264000000,1803000000,1019000000,2205000000,2530000000,1411000000,1677000000,1627000000,2309000000,2119000000,2032000000,1691000000,1893000000,1685000000,2578000000,3033000000,2885000000,2152000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1133421/000089843002000975/0000898430-02-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000089843003002012/0000898430-03-002012-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312504038360/0001193125-04-038360-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312505041833/0001193125-05-041833-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312506034521/0001193125-06-034521-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012407000990/0000950124-07-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012408000713/0000950124-08-000713-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095013409002265/0000950134-09-002265-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012310010126/0000950123-10-010126-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012311010835/0000950123-11-010835-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/0001193125-12-045323-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342113000007/0001133421-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342114000006/0001133421-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342115000008/0001133421-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342116000065/0001133421-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342117000008/0001133421-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342118000005/0001133421-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342119000007/0001133421-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342120000006/0001133421-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342121000006/0001133421-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342122000004/0001133421-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
