,https://roic.ai/company/WMB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130800000,-689000000,396900000,-462300000,-135600000,1651500000,-2071200000,770300000,2134100000,947300000,-1627200000,349400000,381300000,-521400000,-215000000,424000000,-1360000000,263000000,156000000,-675000000,-377000000,-293000000,-517000000,1020000000,120000000,-2041000000,1498000000,-309000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-545000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,11900000,-16100000,-73700000,-61600000,-118700000,-293400000,43100000,81900000,88100000,-18300000,-9700000,31300000,29000000,-48000000,33000000,-81000000,60000000,5000000,-17000000,-36000000,105000000,-25000000,8000000,-16000000,5000000,-11000000,-124000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,-343000000,5000000,-14000000,250000000,-110000000,-35000000,-8000000,-90000000,25000000,118000000,-93000000,-46000000,-7000000,643000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17100000,-706100000,-309200000,-771500000,-907100000,744400000,-1326800000,-556500000,1577600000,2524900000,897700000,1247100000,1628400000,1107000000,892000000,1316000000,-44000000,219000000,375000000,-300000000,-677000000,-970000000,-1487000000,-467000000,-347000000,-2388000000,-890000000,-278000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,225900000,74100000,-121200000,1028700000,577900000,-840300000,1701200000,947600000,-2128400000,248400000,2828400000,832200000,1030600000,1768400000,2152000000,1863000000,5060000000,2979000000,578000000,2001000000,-939000000,3797000000,4558000000,1296000000,3053000000,4451000000,-29000000,305000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,367600000,828700000,710400000,919600000,612700000,1487700000,505800000,1586400000,-871100000,770100000,1487900000,1449900000,1889600000,2237000000,3355000000,2572000000,2651000000,3439000000,1835000000,2217000000,2115000000,2678000000,3664000000,2556000000,3293000000,3693000000,3496000000,3945000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-468300000,-827500000,-818900000,-1162100000,-1708200000,-3513100000,-4903500000,-1922200000,-1823800000,-956800000,-787400000,-1299000000,-2509200000,-2816000000,-3475000000,-2387000000,-2788000000,-2796000000,-2529000000,-3572000000,-4031000000,-3167000000,-2051000000,-2440000000,-3263000000,-2149000000,-1160000000,-1247000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56500000,-858900000,-366200000,-87000000,-9600000,-171400000,-726400000,-1343100000,- -,- -,- -,- -,- -,483000000,141000000,- -,-1099000000,-41000000,-4700000000,-461000000,-6440000000,-707000000,843000000,2135000000,164000000,-698000000,-325000000,-265000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,-49700000,-76900000,-134200000,-470300000,-2034200000,-1655700000,-574000000,-308700000,-150400000,-473900000,-340100000,- -,-364000000,-142000000,-142000000,-488000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-325000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,80600000,125100000,- -,- -,- -,599400000,2957100000,407600000,273000000,128600000,945500000,202100000,- -,445000000,55000000,3000000,- -,- -,79000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,20500000,2195900000,-157700000,112800000,148000000,-156700000,163200000,-111600000,3148900000,2474700000,945200000,617800000,187800000,-44000000,238000000,216000000,79000000,-166000000,229000000,-19000000,314000000,575000000,792000000,938000000,374000000,20000000,252000000,-1192000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-427000000,584900000,-1419700000,-1270500000,-2040100000,-5276000000,-4165300000,-3543300000,1289400000,1496100000,629400000,-819200000,-2321400000,-2296000000,-3183000000,-2310000000,-4296000000,-3003000000,-6921000000,-4052000000,-10157000000,-3299000000,-416000000,633000000,-2725000000,-2827000000,-1558000000,-1465000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-833000000,-665000000,-84000000,-4879000000,-2309000000,-1468000000,-2081000000,-1828000000,-6516000000,-7091000000,-5925000000,-3204000000,-909000000,-3841000000,-894000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,26400000,78100000,54300000,62900000,78200000,1609400000,79400000,1598700000,555800000,1200000,20600000,420900000,897700000,389000000,394000000,6000000,806000000,- -,4109000000,1837000000,3471000000,86000000,123000000,2131000000,15000000,10000000,9000000,9000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-413200000,-3700000,-33900000,- -,- -,- -,- -,- -,-135000000,-275000000,- -,- -,- -,-526000000,-474000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-112500000,-119100000,-158400000,-181500000,-261400000,-263700000,-265800000,-400500000,-301600000,-73100000,-49300000,-163700000,-206600000,-233000000,-250000000,-385000000,-429000000,-457000000,-742000000,-982000000,-1412000000,-1836000000,-1261000000,-992000000,-1386000000,-1842000000,-1941000000,-1992000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,530500000,-1314600000,872200000,435500000,1991800000,3031300000,3975000000,849100000,-102600000,-1337100000,-3476800000,-220700000,412100000,692000000,563000000,629000000,5075000000,2424000000,3137000000,2903000000,7370000000,8747000000,5051000000,2326000000,3276000000,1996000000,3688000000,1935000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,31200000,-1359300000,734200000,316900000,1808600000,4377000000,3788600000,2047300000,16600000,-1684000000,-3505500000,36500000,1103200000,-511000000,-432000000,166000000,573000000,-342000000,5036000000,1677000000,7601000000,481000000,-3178000000,-2460000000,-1299000000,-745000000,-2085000000,-942000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28200000,54300000,24900000,-34000000,381200000,588700000,129100000,90400000,434900000,582200000,-1388200000,667200000,671400000,-570000000,-260000000,428000000,-1072000000,94000000,-50000000,-158000000,-441000000,-140000000,70000000,729000000,-731000000,121000000,-147000000,1538000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,36100000,90400000,115300000,81300000,503300000,1092000000,1210700000,1301100000,1736000000,2318200000,930000000,1597200000,2268600000,1699000000,1439000000,1867000000,795000000,889000000,839000000,681000000,240000000,100000000,170000000,899000000,168000000,289000000,142000000,1680000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,64300000,36100000,90400000,115300000,122100000,503300000,1081600000,1210700000,1301100000,1736000000,2318200000,930000000,1597200000,2269000000,1699000000,1439000000,1867000000,795000000,889000000,839000000,681000000,240000000,100000000,170000000,899000000,168000000,289000000,142000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100700000,1200000,-108500000,-242500000,-1095500000,-2025400000,-4397700000,-335800000,-2694900000,-186700000,700500000,150900000,-619600000,-579000000,-120000000,185000000,-137000000,643000000,-694000000,-1355000000,-1916000000,-489000000,1613000000,116000000,30000000,1544000000,2336000000,2698000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/107263/000095013495000291/0000950134-95-000291-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013496000927/0000950134-96-000927-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107263/000095013402001868/0000950134-02-001868-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013403004171/0000950134-03-004171-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013404003499/0000950134-04-003499-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013405004772/0000950134-05-004772-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013406004636/d33568e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000095013407004337/d43810e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000095013408003448/d54039e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000095013409003632/0000950134-09-003632-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095012310017267/0000950123-10-017267-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/c61448e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000119312512082513/0001193125-12-082513-index.html,https://www.sec.gov/Archives/edgar/data/107263/000119312513080025/0001193125-13-080025-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726314000003/wmb_20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726315000003/wmb_20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726316000021/0000107263-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726317000003/0000107263-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726318000006/0000107263-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726319000007/0000107263-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726320000005/0000107263-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726321000006/0000107263-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726322000007/0000107263-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
