,https://roic.ai/company/PBI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,194500000,220600000,238100000,250800000,263000000,268300000,271600000,278200000,300100000,361300000,412100000,321157000,317449000,264250000,288808000,306750000,331963000,363258000,383141000,379117000,338895000,303653000,272142000,255556000,211243000,198088000,173312000,178486000,182336000,203293000,159142000,160625000,162859000
75,Deferred Income Tax,- -,- -,- -,- -,-98300000,-25900000,46800000,-8700000,81800000,119200000,148800000,106300000,185500000,64800000,158800000,135208000,196341000,323434000,140507000,134559000,- -,52784000,- -,- -,- -,- -,34358000,-92999000,-33770000,1454000,40184000,3940000,-23882000,56981000,4931000,14885000,-19883000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22523000,20111000,18692000,18227000,14921000,17446000,21049000,14882000,24389000,21042000,23149000,17476000,20862000
77,Change in Working Capital,- -,- -,- -,- -,-130700000,-517500000,29900000,-197900000,-78900000,-558100000,494300000,317300000,173500000,696900000,682600000,-724669000,-271565000,-271250000,663890000,-467597000,432809000,340419000,-408663000,26321000,615294000,49873000,-286666000,167094000,275367000,-210960000,-358740000,-43193000,583951000,-114437000,199311000,-429926000,105146000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84182000,43204000,58951000,144097000,182567000,164714000,82767000,163905000,105401000,44353000,33956000,23269000,37503000
79,Inventory,- -,- -,- -,- -,-69300000,28800000,37700000,-19400000,-51300000,-43800000,9800000,35300000,30500000,-11500000,11300000,-71184000,61305000,-24625000,19021000,17079000,-7835000,-142000,7710000,2018000,12187000,-11913000,-12830000,-599000,67188000,9104000,-7621000,-6995000,5565000,93000,-5588000,3145000,-8008000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-572300000,-1089800000,-1059900000,-1257800000,-1336700000,-1894800000,-1400500000,-1083200000,-909700000,-212800000,469800000,-254869000,-526434000,-797684000,-133794000,-601391000,-168582000,171837000,-236826000,-210505000,404789000,454662000,167996000,335090000,610457000,399497000,40757000,-2436000,581515000,467078000,666389000,236463000,-1879000
82,Other Non-Cash Items,- -,- -,- -,- -,180000000,603300000,-123700000,355600000,-179100000,364900000,-989300000,-531300000,-481700000,-932300000,-908700000,518005000,305319000,-289625000,-740061000,490401000,-751757000,-1148382000,719206000,165206000,-576089000,286095000,264187000,-151229000,-4147000,297368000,212516000,224727000,-532321000,1718000,-328935000,720456000,33882000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,332200000,493700000,486400000,500100000,440000000,468400000,508500000,639900000,703400000,767100000,981100000,872244000,1035887000,502559000,851261000,944639000,539593000,-286574000,1060465000,990437000,824068000,952111000,920193000,660188000,624824000,655526000,514639000,490692000,495813000,392262000,252207000,301972000,301515000
84,CAPEX,- -,- -,- -,- -,-299700000,-322700000,-250400000,-224600000,-291800000,-345600000,-337700000,-272000000,-244100000,-407600000,-304900000,-268577000,-256204000,-224834000,-285681000,-316982000,-291550000,-327877000,-264656000,-237308000,-166728000,-119768000,-155980000,-176586000,-137512000,-180556000,-166329000,-160831000,-170990000,-191444000,-137253000,-104987000,-184042000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-578947000,-127039000,-22464000,-427294000,-294176000,-230628000,-594110000,-67689000,- -,-77537000,- -,- -,389680000,102392000,-104484000,-37842000,-482853000,-10484000,-22100000,-6608000,-14996000
86,Purchases of Investments,- -,- -,- -,- -,- -,-800000,-4100000,- -,- -,- -,-2600000,- -,-400000,-1700000,- -,-12934000,- -,- -,- -,-1740000,-44099000,-1295000,- -,- -,-8362000,- -,- -,-369412000,-363961000,-670573000,-274585000,-212810000,-133339000,-81527000,-57194000,-596841000,-74923000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2900000,500000,600000,- -,500000,- -,- -,700000,- -,13495000,1063000,3631000,- -,- -,109050000,42367000,37520000,1456000,- -,- -,352124000,382638000,622727000,207063000,287350000,113501000,187658000,29734000,634784000,126771000
88,Other Investing Activites,- -,- -,- -,- -,-539300000,-205000000,-160900000,-111600000,92400000,-176800000,118800000,-21100000,471100000,491500000,-233300000,425831000,-17866000,49901000,270510000,-26171000,157633000,1170223000,90060000,33359000,-165064000,-223956000,-88622000,-69444000,-157616000,-197807000,-131082000,-152251000,-160329000,164097000,539127000,-107027000,-192103000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-839000000,-528500000,-415400000,-333300000,-198900000,-521800000,-221500000,-292600000,226600000,82200000,-537500000,144320000,-839522000,-300909000,-34004000,-772187000,-472192000,719473000,-726339000,-234118000,-171970000,-301493000,-88622000,-86732000,250741000,-143261000,-303088000,-115553000,-663020000,259744000,489567000,-75692000,-155251000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-539666000,-170794000,-50000000,-550000000,-1079207000,-599850000,-516070000,-461007000,-964550000,-570180000,-930189000,-1105650000,-1445734000
91,Common Stock Issued,- -,- -,- -,- -,19100000,19200000,18700000,23800000,22500000,22700000,227000000,31200000,133400000,59600000,56400000,39961000,30792000,34768000,52341000,73316000,83012000,175614000,107517000,20154000,11962000,11423000,12934000,9314000,6753000,7188000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-19300000,-21500000,- -,-89400000,-86900000,-268400000,-98000000,-144500000,-662800000,-578500000,-438200000,-663987000,-299952000,-300086000,-200000000,-199998000,-258803000,-400000000,-399996000,-333231000,-375000000,-100000000,-99997000,- -,- -,-50003000,-131719000,-197267000,- -,- -,-105000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-81700000,-94800000,-107900000,-123100000,-142100000,-162700000,-181700000,-206100000,-231400000,-247500000,-272900000,-292736000,-285164000,-282225000,-280870000,-282265000,-284348000,-285051000,-288790000,-291611000,-317040000,-301456000,-299579000,-300578000,-188846000,-151611000,-150114000,-140608000,-139490000,-140498000,-35361000,-34291000,-34800000
94,Other Financing Activites,- -,- -,- -,- -,605100000,143000000,54000000,-15700000,-49400000,480100000,-224100000,20000000,-166700000,-92400000,340700000,-149021000,391469000,424789000,-422125000,215353000,323126000,69740000,376901000,-137170000,593883000,-19141000,-18375000,321624000,393238000,482432000,227178000,574783000,1471787000,-55741000,383910000,904570000,1150163000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,523200000,45900000,-35200000,-204400000,-255900000,71700000,-276800000,-299400000,-927500000,-858800000,-314000000,-1065783000,-162855000,-122754000,-850654000,-193594000,-137013000,-439697000,-204368000,-741858000,-625861000,-579968000,-455017000,-519640000,-868062000,-311844000,-570725000,-224099000,367747000,-766419000,-686640000,-235371000,-330371000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-600000,6900000,-1300000,-4900000,-1600000,2200000,100000,2000000,-600000,-1900000,-1000000,-6796000,-177000,4672000,12053000,6927000,-3096000,2391000,8316000,-14966000,9829000,976000,-4679000,3222000,-12973000,-29082000,-44387000,-26708000,43959000,-25381000,2046000,6099000,-4863000
97,Net Change In Cash,- -,- -,- -,- -,523200000,45900000,-35200000,-204400000,-255900000,71700000,-276800000,-299400000,-927500000,-858800000,128600000,-56015000,33333000,83568000,-21344000,-14215000,-72708000,-4407000,138074000,-505000,36066000,71626000,371875000,57038000,-5470000,171339000,-403561000,124332000,244499000,-141759000,57180000,-2992000,-188970000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254300000,198255000,231588000,315156000,293812000,316217000,243509000,239102000,377176000,376671000,412737000,484363000,856238000,913276000,907806000,1079145000,650557000,764522000,1009021000,867262000,924442000,921450000,732480000
99,Cash at the Beginning of Period,- -,- -,- -,- -,45100000,61000000,79100000,113500000,71000000,54700000,75100000,85400000,135300000,137100000,125700000,254270000,198255000,231588000,315156000,330432000,316217000,243509000,239102000,377176000,376671000,412737000,484363000,856238000,913276000,907806000,1054118000,640190000,764522000,1009021000,867262000,924442000,921450000
100,Free Cash Flow,- -,- -,- -,- -,32500000,171000000,236000000,275500000,148200000,122800000,170800000,367900000,459300000,359500000,676200000,603667000,779683000,277725000,565580000,627657000,248043000,-614451000,795809000,753129000,657340000,832343000,764213000,483602000,487312000,474970000,348310000,329861000,324823000,200818000,114954000,196985000,117473000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78814/000007881495000002/0000078814-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881496000002/0000078814-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78814/000095013001001467/0000950130-01-001467-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/78814/000120677404000120/d13986.htm,https://www.sec.gov/Archives/edgar/data/78814/000120677405000278/d16410.htm,https://www.sec.gov/Archives/edgar/data/78814/000120677406000420/d18625_10k.htm,https://www.sec.gov/Archives/edgar/data/78814/000120677407000561/pitneybowes_10k.htm,https://www.sec.gov/Archives/edgar/data/78814/000093041308001359/c52528_10-k.htm,https://www.sec.gov/Archives/edgar/data/78814/000093041309001039/0000930413-09-001039-index.html,https://www.sec.gov/Archives/edgar/data/78814/000093041310001062/0000930413-10-001062-index.html,https://www.sec.gov/Archives/edgar/data/78814/000093041311001280/c64451_10k.htm,https://www.sec.gov/Archives/edgar/data/78814/000093041312001035/0000930413-12-001035-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881413000006/0000078814-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881414000003/pbi2013123110k.htm,https://www.sec.gov/Archives/edgar/data/78814/000007881415000006/pbi2014123110k.htm,https://www.sec.gov/Archives/edgar/data/78814/000007881416000040/0000078814-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881417000003/0000078814-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881418000004/0000078814-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881419000004/0000078814-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881420000009/0000078814-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881421000011/0000078814-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/78814/000007881422000004/0000078814-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
