,https://roic.ai/company/MTW,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301600000,17000000,-98400000,-35600000,74300000,10300000,-15800000,18400000,-32700000,-553400000,-124200000,-37700000,-5200000
79,Inventory,- -,- -,- -,- -,-21300000,-8000000,19700000,30700000,6400000,-5900000,9000000,-6000000,-18700000,-4200000,6402000,25565000,9141000,25701000,-84983000,-113454000,-160600000,-105200000,-179900000,349400000,1100000,-114400000,-41000000,-22200000,9000000,2100000,52700000,55600000,-72700000,-18300000,8300000,-68300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-307900000,46600000,97900000,25700000,-1600000,-8900000,-37200000,-105800000,27100000,56500000,-59700000,-20100000,62900000
81,Other Working Capital,- -,- -,- -,- -,118100000,122300000,124000000,89600000,24200000,17600000,-25300000,-7200000,1700000,-15983000,34929000,186766000,100865000,193281000,263129000,207300000,501000000,516200000,117700000,135100000,135200000,182100000,137500000,174800000,130000000,336900000,346200000,346300000,431500000,430200000,526000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-10900000,-18700000,11200000,96400000,85000000,2400000,74600000,-19700000,-12800000,37583000,-74006000,-129000000,172334000,7224000,-104085000,17189000,-235700000,-207100000,613800000,985800000,129900000,-167200000,7100000,38700000,-100600000,-250400000,44900000,65100000,-563800000,-145500000,-160600000,7500000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,14200000,6500000,28300000,62700000,37000000,16400000,64500000,43600000,56800000,103400000,63047000,106615000,94539000,150863000,56963000,106741000,294100000,238200000,309000000,338600000,209300000,15600000,162300000,323100000,98300000,98000000,-172300000,77900000,-513000000,-53300000,-35100000,76200000
84,CAPEX,- -,- -,- -,- -,-4100000,-6300000,-5100000,-10300000,-5300000,-19200000,-8400000,-12000000,-59900000,-75800000,-13415000,-29261000,-32996000,-31977000,-44386000,-54922000,-67600000,-119600000,-150300000,-72500000,-36100000,-64900000,-72900000,-110700000,-84800000,-68100000,-45900000,-28900000,-31700000,-35100000,-26300000,-40400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98982000,-285533000,976000,- -,- -,- -,-48100000,-75000000,-1912100000,149200000,-4800000,143600000,- -,27000000,- -,72900000,- -,- -,- -,- -,- -,-186200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-6000000,-3500000,- -,-100000,-100000,-100000,-100000,-121000,-107000,-220000,- -,-28000,-62000,-100000,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2500000,21100000,3600000,- -,- -,10400000,- -,- -,- -,- -,- -,- -,- -,150000,- -,15104000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-4900000,- -,-10700000,-100200000,1100000,-63500000,1400000,6500000,3481000,10219000,27807000,16727000,24458000,28290000,-4800000,8200000,-362700000,-54300000,-20100000,-45200000,-75500000,-109200000,-83600000,-56000000,-41500000,-21300000,534400000,108400000,-25800000,-40100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1600000,14800000,-6400000,-16300000,-19500000,-109000000,-7400000,-75600000,-58600000,-69400000,-109037000,-304682000,-4433000,-15100000,-19956000,-11590000,-120600000,-186500000,-2425200000,94900000,-24900000,98400000,-75500000,-82200000,-83600000,16900000,-41500000,-21300000,534400000,108400000,-25800000,-226300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-634300000,-1355900000,-984500000,-505800000,-294300000,-639000000,-115500000,-1397400000,-15600000,-3800000,-420700000,-52900000,-4900000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,1200000,339000,183000,1511000,118000,111635000,10829000,30200000,185000000,8500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-30500000,-31100000,- -,- -,- -,- -,- -,-49752000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7400000,-12000000,- -
93,Dividends Paid,- -,- -,- -,- -,-20600000,-10300000,-10300000,-9800000,-8700000,-7700000,-7700000,-7700000,-7700000,-7800000,-7507000,-7358000,-7432000,-7446000,-7532000,-8447000,-8600000,-9500000,-10400000,-10500000,-10600000,-10600000,-10600000,-10700000,-10800000,-10900000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,100000,111300000,-50500000,37200000,7800000,-27800000,106926000,214895000,-79481000,-115216000,-11476000,-40504000,-257000000,-47700000,1928800000,138300000,1162100000,869200000,433200000,48600000,653800000,13500000,1616800000,5900000,2500000,431800000,50100000,105800000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-20600000,-10300000,-10300000,-40300000,-39700000,103600000,-58200000,29500000,500000,-34400000,50006000,207720000,-85402000,-122544000,92627000,-38122000,-235400000,127800000,1926900000,-506500000,-204400000,-125900000,-83200000,-256400000,4000000,-112900000,219400000,-9700000,-1300000,3700000,-14800000,100900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-100000,100000,300000,-700000,100000,- -,300000,- -,- -,- -,-130000,-55000,-250000,3714000,1813000,-3933000,6100000,10700000,-4600000,5800000,- -,-3200000,1200000,-2800000,-5600000,-6600000,900000,2400000,-2800000,200000,5100000,-4100000
97,Net Change In Cash,- -,- -,- -,- -,-20600000,-10300000,-10300000,-40300000,-39700000,103600000,-58200000,29500000,500000,-500000,3886000,9598000,4454000,16933000,131447000,53096000,-55800000,190200000,-193900000,-67200000,-20000000,-15100000,4800000,-18300000,13100000,-4600000,6500000,49300000,17300000,59000000,-70600000,-53300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,13983000,23581000,28035000,44968000,176415000,229511000,173700000,363900000,173000000,105800000,83700000,68600000,73400000,54900000,68000000,63400000,69900000,119200000,140300000,199300000,128700000,75400000
99,Cash at the Beginning of Period,- -,- -,- -,- -,17200000,9100000,20100000,31900000,37300000,4100000,15100000,14400000,11900000,10600000,10097000,13983000,23581000,28035000,44968000,176415000,229500000,173700000,366900000,173000000,103700000,83700000,68600000,73200000,54900000,68000000,63400000,69900000,123000000,140300000,199300000,128700000
100,Free Cash Flow,- -,- -,- -,- -,10100000,200000,23200000,52400000,31700000,-2800000,56100000,31600000,-3100000,27600000,49632000,77354000,61543000,118886000,12577000,51819000,226500000,118600000,158700000,266100000,173200000,-49300000,89400000,212400000,13500000,29900000,-218200000,49000000,-544700000,-88400000,-61400000,35800000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61986/000006198696000011/0000061986-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/61986/000006198697000009/0000061986-97-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/61986/000006198699000003/0000061986-99-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/61986/000006198601500007/0000061986-01-500007-index.html,https://www.sec.gov/Archives/edgar/data/61986/000006198602000014/0000061986-02-000014-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198603000016/0000061986-03-000016-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465904007206/0001104659-04-007206-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465905011319/0001104659-05-011319-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465906012708/0001104659-06-012708-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465907015404/0001104659-07-015404-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465908014359/0001104659-08-014359-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465909013556/0001104659-09-013556-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465910010997/0001104659-10-010997-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465911011464/0001104659-11-011464-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465912014383/0001104659-12-014383-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198613000007/0000061986-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198614000009/0000061986-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198615000014/0000061986-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198616000073/0000061986-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198617000007/0000061986-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459018002976/0001564590-18-002976-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459019002823/0001564590-19-002823-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459020004745/0001564590-20-004745-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459021005680/0001564590-21-005680-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000095017022001624/0000950170-22-001624-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
