,https://roic.ai/company/REX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
57,Other Non-Current Liabilities,800000,700000,700000,700000,12800000,15700000,17800000,18800000,19900000,7700000,7200000,6200000,5200000,20500000,19376000,18623000,16118000,14341000,- -,- -,12213000,13825000,28579000,25447000,4474000,7802000,602000,1141000,1862000,1658000,987000,2096000,3367000,4928000,10963000,273000,5926000
58,Total Non-Current Liabilities,6200000,6700000,15900000,25400000,12800000,15700000,20700000,21700000,30800000,46900000,56300000,75600000,75800000,76000000,65576000,99885000,93321000,78767000,66310000,42204000,33675000,45061000,63803000,129386000,137559000,81191000,118965000,99588000,84975000,44426000,39291000,43231000,25073000,9113000,15297000,11425000,12316000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15623000,12314000,- -
61,Total Liabilities,33100000,35000000,36100000,57800000,32700000,42100000,46400000,59100000,76700000,103200000,132300000,145300000,154700000,158100000,144199000,179691000,159356000,151818000,129479000,102397000,79663000,92976000,124658000,187655000,176409000,105758000,156206000,131047000,117115000,63983000,58926000,65750000,46938000,26122000,46896000,42162000,12316000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000,116000,274000,277000,283000,290000,294000,295000,298000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000
64,Retained Earnings,19000000,26500000,30300000,33400000,7700000,5800000,-1900000,13600000,22200000,34800000,49400000,56800000,64200000,75400000,93663000,112399000,134708000,157640000,185080000,212629000,240898000,252249000,285629000,282332000,290984000,296053000,324323000,322028000,357101000,444438000,475874000,508207000,547913000,579558000,586985000,589986000,642350000
65,Other Comprehensive Income/Loss,-1700000,-3000000,-4600000,-6400000,-2800000,-2800000,-3600000,-3900000,-3900000,-3900000,-8700000,-11600000,-15000000,-18100000,-22022000,-25883000,-29559000,-33056000,-36922000,-39023000,-42276000,-42834000,-24530000,-24743000,-26777000,-25842000,-46077000,-60533000,-71819000,-86178000,-99994000,-117787000,-138506000,-161071000,-183438000,- -,- -
66,Other Total Stockholders Equity,54300000,55600000,41500000,39800000,20500000,20600000,30200000,19800000,37300000,58500000,61600000,57500000,56600000,52900000,88081000,44562000,42550000,34243000,35491000,34658000,15289000,21079000,-4806000,-18828000,-17883000,-25578000,-26034000,-15442000,-6300000,-8588000,-64916000,-50284000,-28214000,-25849000,-2839000,-205502000,- -
