,https://roic.ai/company/DBD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,81400000,76300000,- -,78300000,100100000,81100000,80200000,60700000,52100000,42000000,105900000,79063000,110374000,74503000,82639000,12418000,40178000,81735000,57433000,303410000,221411000,383927000,311437000,375834000,520318000,517007000,176100000,241200000,296200000,317800000,241700000,214600000,287700000
88,Other Investing Activites,- -,- -,- -,- -,-5700000,-3100000,83500000,-4100000,-5100000,-99100000,-22000000,-10100000,-42600000,-29400000,-46100000,-72752000,-77771000,7700000,-24309000,-33111000,-9278000,-30495000,-25834000,-84342000,-67360000,-49114000,-48309000,-43303000,-35355000,-62807000,-56100000,294200000,-110500000,-88400000,-56200000,-18900000,-49600000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-54700000,-33700000,-29600000,-58800000,-63300000,-40600000,-43200000,-52500000,-102700000,-96500000,-281800000,-215357000,-138531000,-6850000,-82075000,-184312000,-120413000,-182080000,-80370000,-142484000,-93234000,-164756000,-90706000,-72831000,-52719000,13799000,-64900000,-561400000,-128800000,34400000,-6800000,-82600000,-49200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-624040000,-387473000,-569928000,-650136000,-780538000,-177901000,-175501000,-168700000,-840500000,-458800000,-337700000,-500700000,-1049900000,-19400000
91,Common Stock Issued,- -,- -,- -,- -,900000,600000,2500000,2900000,1600000,2300000,1200000,1200000,4800000,4600000,3900000,9399000,5081000,7703000,20119000,8418000,- -,11716000,8544000,- -,1514000,3332000,4043000,16679000,16723000,14607000,3500000,300000,300000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-600000,-500000,- -,- -,- -,- -,-8300000,-1200000,-2300000,-12780000,-1467000,-12371000,-71897000,-138208000,-148057000,- -,- -,- -,-25769000,-111815000,-3452000,-4063000,-1918000,-3000000,-2200000,-5000000,-3000000,-1500000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-18500000,-19800000,-21200000,-22500000,-24200000,-26700000,-29300000,-31200000,-34500000,-38600000,-41700000,-44271000,-45774000,-47528000,-49242000,-53240000,-57770000,-57408000,-62442000,-66563000,-69451000,-71900000,-72901000,-72830000,-73997000,-74946000,-75600000,-64600000,-30600000,-7700000,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-200000,-1100000,-3800000,-3000000,-3600000,2000000,-1500000,-5000000,19500000,-16200000,117000000,144219000,49465000,-35186000,-78440000,79148000,223198000,169687000,-81378000,602914000,324422000,553165000,707274000,803914000,34789000,156604000,286000000,1788600000,430400000,359300000,286700000,1066800000,15800000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-17800000,-20300000,-22500000,-23200000,-26700000,-22400000,-29600000,-35000000,-10200000,-58500000,78000000,107047000,-4008000,-76478000,-119934000,-37571000,27220000,-24062000,-135276000,-87689000,-130988000,-111100000,-123535000,-36227000,-204449000,-81154000,42200000,881600000,-63700000,10900000,-215500000,16900000,-3600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3233000,1505000,6615000,3329000,183000,1632000,17752000,-19416000,11874000,2735000,4106000,8422000,-5139000,-28243000,-23900000,-8000000,37900000,-18700000,-1100000,-3200000,-5700000
97,Net Change In Cash,- -,- -,- -,- -,-17800000,-20300000,-22500000,-23200000,-26700000,-22400000,-29600000,-35000000,-10200000,-58500000,-15200000,37885000,8584000,81678000,14505000,14094000,23855000,45914000,-47634000,35102000,86990000,232000,5262000,34872000,-138083000,91308000,-12500000,339100000,-117500000,-84800000,-177500000,43600000,64400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27300000,65184000,73768000,155446000,169951000,184045000,207900000,253814000,206334000,241436000,328426000,328658000,333920000,368792000,230709000,322017000,313600000,652700000,535200000,458400000,280900000,324500000,388900000
99,Cash at the Beginning of Period,- -,- -,- -,- -,42500000,36500000,33600000,30000000,34400000,39000000,17300000,15700000,21900000,20300000,42500000,27299000,65184000,73768000,155446000,169951000,184045000,207900000,253968000,206334000,241436000,328426000,328658000,333920000,368792000,230709000,326100000,313600000,652700000,543200000,458400000,280900000,324500000
100,Free Cash Flow,- -,- -,- -,- -,56600000,28900000,39300000,74500000,76300000,18700000,35900000,60000000,43600000,146400000,-10800000,103501000,85700000,113163000,137079000,171410000,54260000,206147000,107001000,226759000,255051000,201177000,160644000,85766000,88777000,125453000,-15600000,-11100000,-32300000,-162600000,92900000,-26700000,72000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28823/000002882321000059/0000028823-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/28823/000002882322000058/0000028823-22-000058-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
