,https://roic.ai/company/POOL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10706000,-17862000,-21080000,-22734000,-24431000,-25310000,-25746000,-26470000,-29135000,-33808000,-37600000,-43117000,-49749000,-58029000,-69430000,-83772000,-91929000,-119581000
94,Other Financing Activites,- -,- -,- -,- -,2000000,-8200000,-2700000,-11300000,-6200000,-6000000,13225000,44100000,40175000,-43337000,9674000,100149000,83386000,91161000,-19000000,506345000,454771000,750293000,612410000,734503000,845057000,914617000,1208333000,1107700000,1163055000,1288174000,1092321000,1776884000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,2000000,12300000,-2700000,11400000,-6000000,-9400000,10647000,30267000,-6219000,-42351000,-34938000,69518000,-41586000,-63957000,-44726000,-99344000,-85158000,-40554000,-102644000,-89485000,-81983000,-107804000,-99672000,-114449000,-97571000,-244486000,-244371000,526131000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-336000,30000,434000,2020000,1604000,-636000,3883000,4042000,-7315000,4280000,-672000,-1205000,-250000,-199000,-5197000,-2046000,-1344000,-658000,-509000,198000,-1376000,186000
97,Net Change In Cash,- -,- -,- -,- -,2000000,12300000,-2700000,11400000,-6000000,-900000,-527000,93000,1608000,7680000,8950000,5104000,-10132000,-909000,-63000,81000,-6122000,7766000,-5024000,-4457000,6824000,-1593000,8719000,7984000,-13582000,12225000,5545000,-9807000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,3431000,3524000,5132000,12812000,21762000,26866000,16734000,15825000,15762000,15843000,9721000,17487000,12463000,8006000,14830000,13237000,21956000,29940000,16358000,28583000,34128000,24321000
99,Cash at the Beginning of Period,- -,- -,- -,- -,900000,800000,2000000,4600000,22300000,4900000,3958000,3431000,3524000,5132000,12812000,21762000,26866000,16734000,15825000,15762000,15843000,9721000,17487000,12463000,8006000,14830000,13237000,21956000,29940000,16358000,28583000,34128000
100,Free Cash Flow,- -,- -,- -,- -,- -,-100000,6800000,6200000,-12300000,7700000,14014000,20428000,52729000,69783000,49889000,29724000,54233000,61018000,86279000,106082000,85881000,55649000,102807000,86346000,104487000,116955000,131026000,135921000,87076000,265414000,375879000,275832000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945841/000094584102000008/pool10k2001.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584103000005/pool10k2002.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584104000045/pool10k03.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584105000053/pool10kparen.htm,https://www.sec.gov/Archives/edgar/data/945841/000119312506047003/d10k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584107000018/pool10k2006.htm,- -,https://www.sec.gov/Archives/edgar/data/945841/000094584109000010/0000945841-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584110000036/0000945841-10-000036-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584111000020/pool201010k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584112000018/0000945841-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584113000019/0000945841-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584114000019/pool-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584115000034/pool-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584116000190/0000945841-16-000190-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584117000028/0000945841-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584118000020/0000945841-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584119000013/0000945841-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584120000041/0000945841-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584121000022/0000945841-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584122000023/0000945841-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
