,https://roic.ai/company/NAII,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,-1100000,-167000,- -,- -,- -,- -,- -,- -,-82000,-724000,- -,- -,-426000,-405000,-703000,-60000,-2021000,-648000,-712000,-510000,-1367000,-3747000,-4147000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,700000,-800000,200000,400000,-200000,200000,-300000,-200000,-100000,7488000,-3681000,-4035000,2293000,1716000,-832000,11506000,-10683000,-1319000,89000,- -,-103000,-49000,- -,- -,- -,- -,- -,- -,- -,10000000,-10000000
95,Cash Used/Provided by Financing Activities,- -,- -,700000,1300000,200000,2900000,-200000,700000,100000,1400000,-100000,7356000,-3646000,-3981000,2326000,2044000,-404000,11969000,-9680000,-1849000,-1374000,-1217000,-501000,-454000,-666000,-60000,-2021000,-648000,-712000,-510000,-1329000,6253000,-14112000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,700000,1300000,200000,2900000,-200000,700000,100000,1400000,-3600000,-248000,-316000,141000,4842000,2013000,-5579000,241000,2719000,-577000,477000,4552000,6914000,-983000,2219000,2815000,-961000,1196000,8096000,-4230000,1427000,5438000,1655000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,815000,499000,640000,5482000,7495000,1916000,2157000,4876000,3518000,3995000,8547000,15461000,14478000,16697000,19512000,18551000,19747000,27843000,23613000,25040000,30478000,32133000
99,Cash at the Beginning of Period,- -,- -,700000,500000,1200000,1100000,800000,2500000,1900000,3500000,4700000,1063000,815000,499000,640000,5482000,7495000,1916000,2157000,4095000,3518000,3995000,8547000,15461000,14478000,16697000,19512000,18551000,19747000,27843000,23613000,25040000,30478000
100,Free Cash Flow,- -,- -,-700000,-100000,100000,-3500000,1700000,-1500000,1600000,-300000,-2600000,-6810000,3424000,3727000,2318000,-38000,-5188000,-6111000,12329000,1316000,357000,4555000,7370000,-529000,2849000,2668000,970000,-1156000,8783000,-2248000,1237000,-850000,15699000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/787253/000093639296000812/0000936392-96-000812-index.html,https://www.sec.gov/Archives/edgar/data/787253/000093639297001256/0000936392-97-001256-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/787253/000089843002003502/0000898430-02-003502-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312503050762/d10k.htm,https://www.sec.gov/Archives/edgar/data/787253/000119312504156242/d10k.htm,https://www.sec.gov/Archives/edgar/data/787253/000119312505182282/0001193125-05-182282-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312506191942/d10k.htm,https://www.sec.gov/Archives/edgar/data/787253/000119312507218421/d10k.htm,https://www.sec.gov/Archives/edgar/data/787253/000119312508199297/0001193125-08-199297-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312509198370/0001193125-09-198370-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312510212298/0001193125-10-212298-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312511254365/0001193125-11-254365-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312512399915/0001193125-12-399915-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312513371742/0001193125-13-371742-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774914017442/0001437749-14-017442-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774915017483/0001437749-15-017483-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774916038893/naii20160531_10k.htm,https://www.sec.gov/Archives/edgar/data/787253/000143774917016018/0001437749-17-016018-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774918017202/0001437749-18-017202-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774919018974/0001437749-19-018974-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774920019951/0001437749-20-019951-index.htm,https://www.sec.gov/Archives/edgar/data/787253/000143774921022419/0001437749-21-022419-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
