,https://roic.ai/company/SLGN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49538000,72059000,-19875000,-53091000,34584000,20387000,3652000,12287000,-10867000,-37107000,516000,3800000,-49415000,-81500000
79,Inventory,-16741000,10852000,20300000,-5100000,-24300000,-900000,-18366000,1220000,-10209000,28109000,1449000,563000,-37511000,11451000,37923000,-7894000,-51800000,-28093000,56828000,25060000,-54002000,-97576000,19960000,-17228000,20366000,53000,11363000,-109500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66464000,-62547000,4342000,29658000,-6216000,604000,86357000,43822000,52752000,84102000,61095000,16453000,21303000,35900000
81,Other Working Capital,76800000,74200000,58000000,164600000,98900000,81900000,147700000,119900000,234400000,194500000,211500000,200300000,284800000,280300000,267500000,489900000,440387000,738200000,675900000,462100000,470900000,264045000,100353000,333645000,211066000,388279000,607573000,- -
82,Other Non-Cash Items,31967000,161929000,77600000,-47100000,117900000,68100000,-73031000,59725000,-74729000,133862000,95793000,63845000,-12891000,156759000,194645000,-60207000,-72125000,-120795000,250446000,389736000,149343000,401270000,357156000,82741000,398699000,127440000,-187506000,16400000
83,Cash Provided by Operating Activities,47333000,209629000,125200000,117900000,147400000,143300000,95145000,142983000,163293000,234906000,277738000,209115000,221414000,279709000,345406000,322774000,187315000,359582000,351662000,350705000,344988000,335406000,394551000,389765000,506520000,507355000,602507000,556800000
84,CAPEX,-29184000,-51897000,-56900000,-105000000,-280100000,-87400000,-89227000,-93042000,-119160000,-105912000,-102868000,-89132000,-318231000,-154946000,-122902000,-99584000,-105395000,-173009000,-119241000,-103136000,-140429000,-237302000,-191893000,-174429000,-190973000,-230944000,-224177000,-232300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-124015000,- -,- -,-207793000,- -,- -,-121672000,-7846000,-14542000,- -,-47946000,-290751000,-319090000,-281667000,-17714000,-690000,- -,-1023848000,- -,- -,-940875000,-745700000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-7026000,-3039000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,32388000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
