,https://roic.ai/company/AMWD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,-6500000,-9300000,-13100000,-17000000,-21400000,-25800000,-30000000,-33400000,-37500000,-41700000,-43100000,-44400000,-46200000,-50100000,-50100000,-63777000,-72499000,-8306000,-7283000,-12301000,-5605000,-13759000,-8063000,-14685000,-21478000,-21938000,-27607000,-32150000,-25980000,-40857000,-47285000,-40417000,-49069000,-49491000,-51173000,-54568000
66,Other Total Stockholders Equity,7000000,20100000,29800000,33800000,36600000,41000000,45200000,48600000,54900000,59200000,60700000,44400000,46200000,50100000,50100000,63777000,72218000,- -,- -,- -,53590000,72591000,76346000,82608000,87675000,92470000,96598000,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,10700000,27800000,33200000,40800000,31300000,28700000,24700000,24200000,26400000,31800000,35800000,46298000,59137000,78337000,92612000,109513000,145169000,160099000,193145000,215191000,241661000,226097000,214634000,203682000,175318000,153965000,130020000,146195000,190545000,229842000,280761000,352449000,581665000,620353000,700538000,742896000
68,Total Liabilities And Stockholders Equity,46200000,64000000,84700000,90800000,83700000,78900000,82300000,78500000,72300000,74400000,76300000,87157000,106481000,140609000,166656000,180368000,234222000,262728000,307051000,361168000,377543000,348695000,314799000,303737000,282433000,268370000,265121000,293993000,330064000,398904000,466693000,501273000,1645345000,1529931000,1622806000,1636514000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,46200000,64000000,84700000,90800000,83700000,78900000,82300000,78500000,72300000,74400000,76300000,87157000,106481000,140609000,166656000,180368000,234222000,262728000,307051000,361168000,377543000,348695000,314799000,303737000,282433000,268370000,265121000,293993000,330064000,398904000,466693000,501273000,1645345000,1529931000,1622806000,1636514000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794619/0000794619-96-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794619/000079461900500009/0000794619-00-500009-index.html,https://www.sec.gov/Archives/edgar/data/794619/000095010901502222/d10k405.txt,https://www.sec.gov/Archives/edgar/data/794619/000091664102001084/0000916641-02-001084-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312503018991/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312504117768/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312505141904/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312506145097/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312507153789/0001193125-07-153789-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312508149242/0001193125-08-149242-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312509141647/0001193125-09-141647-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312510151335/0001193125-10-151335-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461911000012/0000794619-11-000012-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461912000019/awcfy1210k.htm,https://www.sec.gov/Archives/edgar/data/794619/000079461913000024/0000794619-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461914000016/0000794619-14-000016-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461915000137/0000794619-15-000137-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461916000374/0000794619-16-000374-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461917000087/0000794619-17-000087-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461918000077/0000794619-18-000077-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461919000046/0000794619-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461920000047/0000794619-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/794619/000079461921000046/0000794619-21-000046-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,600000,-2600000,-4000000,-500000,2200000,5400000,3800000,10548000,13031000,17509000,14467000,17420000,32155000,32704000,31707000,35591000,33210000,32561000,4271000,-3234000,-22341000,-20018000,-20786000,9758000,20461000,35499000,58723000,71199000,63141000,83688000,74861000,58763000
74,Depreciation and Amortization,- -,- -,- -,- -,5800000,5500000,5600000,6800000,7200000,7800000,7800000,7810000,7759000,9690000,14712000,19635000,23792000,27717000,27696000,33405000,37012000,35909000,35204000,35100000,30876000,26703000,23387000,14431000,14545000,14526000,16456000,18682000,45004000,94446000,98513000,100289000
75,Deferred Income Tax,- -,- -,- -,- -,-400000,-100000,-1400000,-600000,400000,300000,-300000,-645000,-208000,79000,121000,2187000,-337000,3825000,697000,1787000,-1352000,1225000,-5631000,-5715000,-5800000,-8265000,-12290000,5771000,7124000,2448000,6661000,9899000,21404000,-7805000,-11499000,-13668000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4877000,4392000,3995000,3413000,3509000,3295000,3497000,3609000,3469000,3097000,3040000,3989000,4598000
77,Change in Working Capital,- -,- -,- -,- -,3100000,-3600000,-6900000,-1900000,3200000,4500000,1200000,8042000,7925000,-1881000,-7435000,609000,3454000,22440000,20784000,4774000,26414000,-4778000,-8394000,8017000,-21906000,-3893000,2309000,36929000,40187000,47708000,13191000,27835000,-43819000,-37467000,13121000,-44619000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1533000,-6825000,-7546000,288000,-9938000,-7780000,-18786000,9719000,21018000,-42829000
79,Inventory,- -,- -,- -,- -,3700000,100000,-1700000,3500000,2500000,900000,200000,-384000,-1653000,-5532000,-5566000,-4183000,-5067000,-10635000,-10182000,-11349000,-3963000,11572000,7961000,9976000,7302000,331000,115000,-7068000,-2875000,-5605000,-4276000,-4925000,2802000,-4852000,-4486000,-31196000
