,https://roic.ai/company/FCX,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,171800000,126500000,63300000,-12600000,27400000,49400000,-64790000,-80157000,100107000,468351000,762385000,653404000,1178588000,2034000000,2075000000,4431000000,6088000000,7107000000,6954000000,5199000000,3873000000,3155000000,6170000000,5741000000,7391000000,4706000000,5886000000,- -
82,Other Non-Cash Items,- -,- -,17300000,-19000000,-71300000,4900000,31300000,-118400000,38000000,209300000,68800000,-54600000,57000000,220513000,60350000,-156137000,-335484000,-446108000,439638000,-363551000,1416588000,17052000000,-2082000000,-1255000000,401000000,517000000,4786000000,9048000000,18087000000,4704000000,3540000000,62000000,4284000000,-556000000,2727000000
83,Cash Provided by Operating Activities,- -,- -,146000000,146300000,80400000,252600000,158500000,336200000,393100000,600500000,513600000,478800000,568800000,516020000,508983000,512732000,572072000,341355000,1552545000,1866424000,6225000000,3370000000,4397000000,6273000000,6620000000,3774000000,6139000000,5631000000,3220000000,3729000000,4682000000,3863000000,1482000000,3017000000,7715000000
84,CAPEX,- -,- -,-138400000,-187500000,-246500000,-367800000,-453100000,-743500000,-586900000,-492200000,-594500000,-292100000,-160800000,-176676000,-166972000,-188004000,-139186000,-140999000,-142986000,-250540000,-1755000000,-2708000000,-1587000000,-1412000000,-2534000000,-3494000000,-5286000000,-7215000000,-6353000000,-2813000000,-1410000000,-1971000000,-2652000000,-1961000000,-2115000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13313000000,-1000000,- -,- -,- -,29000000,-5441000000,283000000,- -,996000000,- -,-3043000000,452000000,- -,-33000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1945000,- -,- -,- -,-500000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47938000,73629000,21804000,- -,- -,- -,430000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-91600000,- -,-211900000,-10400000,- -,-6200000,3500000,1900000,5000000,800000,-4538000,-133832000,-8227000,-67261000,55223000,8647000,28987000,207000000,-2747000000,-1601000000,43000000,-1000000,-3492000000,-5467000000,-4084000000,-6246000000,2554000000,-1363000000,-1975000000,-2555000000,-1264000000,-1931000000
89,Cash Used for Investing Activites,- -,- -,-138400000,-279100000,-246500000,-579700000,-463500000,-743500000,-618100000,-488700000,-592600000,-287100000,-160000000,-181214000,-300804000,-148293000,-132818000,-63972000,-134339000,-223498000,-14861000000,-2318000000,-1601000000,-1869000000,-2535000000,-3463000000,-10908000000,-3801000000,-6246000000,3550000000,-1363000000,-5018000000,-2103000000,-1264000000,-1964000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-766000000,-1380000000,-1724000000,-1313000000,-3186000000,-5476000000,-10306000000,-6677000000,-7625000000,-3812000000,-2717000000,-3197000000,-3724000000,-1461000000
91,Common Stock Issued,- -,- -,- -,91500000,- -,174100000,561100000,253000000,- -,- -,- -,- -,- -,- -,- -,7777000,68776000,1070196000,5081000,15280000,5619000000,- -,740000000,- -,- -,- -,- -,- -,1936000000,1515000000,- -,3500000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-111400000,-141600000,- -,-177800000,-221000000,-438400000,-259200000,-19800000,-211838000,-13822000,-11671000,-227081000,-995018000,-80442000,-99783000,-14000000,-500000000,- -,- -,- -,- -,-228000000,- -,- -,- -,- -,- -,- -,- -,-488000000
93,Dividends Paid,- -,- -,-95000000,-118900000,-100200000,- -,- -,-170300000,-227100000,-272200000,-252700000,-83700000,-51700000,-103651000,-43398000,-37294000,-77038000,-245699000,-637647000,-976275000,-596000000,-948000000,-229000000,-980000000,-1814000000,-1129000000,-2281000000,-1305000000,-605000000,-6000000,-2000000,-218000000,-291000000,-73000000,-331000000
94,Other Financing Activites,- -,- -,83500000,144300000,302600000,555500000,-472600000,355000000,612600000,391600000,742000000,148100000,-336400000,-18047000,-151340000,-323002000,251905000,-19064000,-493049000,-438283000,4346000000,408000000,-143000000,-618000000,126000000,2887000000,11034000000,8260000000,8132000000,2950000000,759000000,335000000,1932000000,3669000000,940000000
95,Cash Used/Provided by Financing Activities,- -,- -,-11500000,116900000,202400000,618200000,-53100000,437700000,207700000,-101600000,50900000,-194800000,-407900000,-333536000,-208560000,-364190000,16562000,-189585000,-1206057000,-1499061000,9355000000,-1806000000,-1012000000,-3322000000,-3001000000,-1428000000,3049000000,-3351000000,2786000000,-3166000000,-3055000000,900000000,-1556000000,-128000000,-1340000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-11500000,116900000,202400000,618200000,-53100000,437700000,207700000,-101600000,50900000,-194800000,800000,1270000,-381000,249000,455816000,87798000,212149000,143865000,719000000,-754000000,1784000000,1082000000,1084000000,-1117000000,-1720000000,-1521000000,-240000000,4068000000,202000000,-255000000,-2177000000,1625000000,4411000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,7968000,7587000,7836000,463652000,551450000,763599000,907464000,1626000000,872000000,2656000000,3738000000,4822000000,3705000000,1985000000,464000000,224000000,4245000000,4447000000,4455000000,2278000000,3903000000,8314000000
99,Cash at the Beginning of Period,- -,- -,64200000,60300000,44400000,80800000,371800000,13800000,44300000,26900000,37100000,9000000,5900000,6698000,7968000,7587000,7836000,463652000,551450000,763599000,907000000,1626000000,872000000,2656000000,3738000000,4822000000,3705000000,1985000000,464000000,177000000,4245000000,4710000000,4455000000,2278000000,3903000000
100,Free Cash Flow,- -,- -,7600000,-41200000,-166100000,-115200000,-294600000,-407300000,-193800000,108300000,-80900000,186700000,408000000,339344000,342011000,324728000,432886000,200356000,1409559000,1615884000,4470000000,662000000,2810000000,4861000000,4086000000,280000000,853000000,-1584000000,-3133000000,916000000,3272000000,1892000000,-1170000000,1056000000,5600000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831259/000083125904000007/0000831259-04-000007-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125905000021/0000831259-05-000021-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125906000004/0000831259-06-000004-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125907000029/0000831259-07-000029-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125908000026/0000831259-08-000026-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125909000018/0000831259-09-000018-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125910000010/0000831259-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125911000014/0000831259-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125912000014/0000831259-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125913000014/0000831259-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125914000006/0000831259-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125915000016/0000831259-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125916000062/0000831259-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125917000012/0000831259-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125918000008/0000831259-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125919000009/0000831259-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125920000004/0000831259-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125921000009/0000831259-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125922000009/0000831259-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
