,https://roic.ai/company/FIZZ,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,7200000,8300000,8300000,8000000,10200000,12100000,14800000,14900000,- -,17800000,15200000,16600000,16500000,15600000,- -,14200000,14300000,13900000,15245000,- -,12087000,14502000,15987000,14823000,- -
44,Other Non-Current Assets,27900000,1700000,1700000,700000,4000000,-3400000,-4200000,-2600000,-2000000,-4000000,-6100000,-8500000,-11000000,6778000,-6300000,-3500000,-7400000,-8200000,-7900000,6180000,-8700000,-8600000,-8400000,-10166000,5135000,-6335000,-9204000,-11327000,-10160000,4832000
45,Total Non-Current Assets,85500000,70100000,67400000,63800000,75400000,74700000,75000000,76300000,84100000,83600000,81800000,81800000,78400000,84741000,82300000,84100000,81800000,79400000,75800000,76277000,76900000,77700000,79700000,80021000,81827000,85662000,105865000,130736000,187934000,192295000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,161500000,158900000,162600000,162600000,177600000,170900000,182300000,180400000,197800000,203900000,205700000,218200000,199900000,224587000,218300000,257600000,239100000,265700000,240400000,182810000,223000000,208600000,222800000,247750000,305498000,353983000,458832000,452193000,648646000,557237000
48,Accounts Payable,26900000,40900000,38800000,35900000,38200000,28500000,37100000,30200000,37200000,37700000,30800000,35000000,37100000,38012000,38000000,54300000,49800000,48000000,48400000,49257000,54900000,44300000,45600000,44896000,49391000,58100000,74853000,66202000,74369000,88754000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16980000,14800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1875000,- -,- -,- -,- -,- -,- -,314000,127000,132000,82000,34000,44000,98000,28000,89000,99000,402000,7863000,89000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1616000,1678000,1622000,- -,1940000,2209000,2895000,3262000,3367000,- -,3550000,3665000,2685000,4348000,- -,3906000,14502000,15987000,14823000,- -
52,Other Current Liabilities,28000000,18100000,25500000,29600000,19800000,20000000,19800000,16400000,21600000,20100000,21284000,18772000,17778000,19872000,21060000,19291000,15205000,17238000,19933000,26346000,17750000,15435000,16215000,17007000,26223000,25200000,15315000,14848000,35516000,43640000
53,Total Current Liabilities,54900000,59000000,64300000,65500000,58000000,48500000,56900000,46600000,58800000,57800000,53700000,56600000,56500000,57884000,61000000,75800000,67900000,68500000,71700000,75603000,76200000,63400000,64500000,66251000,75614000,87206000,104670000,97037000,141688000,147194000
54,Long-Term Debt,73200000,70400000,51700000,43200000,62600000,55000000,41600000,40300000,33900000,24100000,11000000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,30000000,10000000,- -,- -,- -,- -,32159000,28837000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7700000,7900000,7300000,6400000,6800000,- -,- -,- -,- -,- -,- -,- -,- -,15958000,- -,- -,- -,- -,- -,14548000,14214000,14327000,13873000,15245000,14474000,15993000,14502000,15987000,- -,17294000
57,Other Non-Current Liabilities,- -,2600000,3000000,3600000,3100000,10700000,13800000,11500000,11400000,13500000,15300000,18000000,18000000,7449000,26500000,24500000,26600000,27200000,27100000,12323000,10986000,10573000,8227000,8472000,9258000,5166000,8220000,7560000,22462000,7915000
58,Total Non-Current Liabilities,80900000,80900000,62000000,53200000,72500000,65700000,55400000,51800000,45300000,37600000,26300000,18300000,18000000,23407000,26500000,24500000,26600000,27200000,27100000,26871000,25200000,74900000,52100000,33717000,23732000,21159000,22722000,23547000,54621000,54046000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49139000,43637000
61,Total Liabilities,135800000,139900000,126300000,118700000,130500000,114200000,112300000,98400000,104100000,95400000,80000000,74900000,74500000,81291000,87500000,100300000,94500000,95700000,98800000,102474000,101400000,138300000,116600000,99968000,99346000,108365000,127392000,120584000,196309000,201240000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,150000,150000,-4950000,150000,150000,150000,150000,150000,150000,550000,390000,270000,150000,150000,150000,150000,150000,150000
63,Common Stock,- -,- -,- -,- -,- -,200000,200000,200000,200000,200000,200000,200000,400000,410000,400000,500000,500000,500000,500000,503000,500000,500000,500000,504000,506000,506000,507000,507000,508000,1016000
64,Retained Earnings,22400000,15700000,28400000,36000000,44200000,54900000,68000000,81100000,94700000,109700000,126300000,143800000,124200000,141057000,125300000,149900000,135500000,160200000,130800000,65207000,109200000,37800000,80700000,129773000,190733000,227928000,307824000,313430000,443402000,337672000
65,Other Comprehensive Income/Loss,-29400000,-34500000,-41000000,-47500000,-53900000,-56600000,-62400000,-67800000,-71900000,-77900000,-83600000,-89400000,-97300000,-105901000,-106400000,-114000000,-117800000,-121800000,3000,2751000,-642000,-964000,-205000,-2524000,-1807000,-604000,4601000,-1543000,-5420000,3017000
66,Other Total Stockholders Equity,32700000,37800000,48900000,55400000,56800000,58200000,64200000,68500000,70700000,76500000,82800000,88542000,97926000,107580000,116510000,120811000,126275000,130962000,10119000,11725000,12428000,32430000,24816000,19759000,16570000,17638000,18358000,19065000,13697000,14142000
67,Total Stockholders Equity,25700000,19000000,36300000,43900000,47100000,56700000,70000000,82000000,93700000,108500000,125700000,143292000,125376000,143296000,130860000,157361000,144625000,170012000,141572000,80336000,121636000,70316000,106201000,147782000,206152000,245618000,331440000,331609000,452337000,355997000
68,Total Liabilities And Stockholders Equity,161500000,158900000,162600000,162600000,177600000,170900000,182300000,180400000,197800000,203900000,205700000,218192000,199876000,224587000,218360000,257661000,239125000,265712000,240372000,182810000,223036000,208616000,222801000,247750000,305498000,353983000,458832000,452193000,648646000,557237000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,24000,- -,-60000,-61000,-25000,-12000,28000,- -,-36000,-16000,-1000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,161500000,158900000,162600000,162600000,177600000,170900000,182300000,180400000,197800000,203900000,205700000,218200000,199900000,224587000,218300000,257600000,239100000,265700000,240400000,182810000,223000000,208600000,222800000,247750000,305498000,353983000,458832000,452193000,648646000,557237000
