,https://roic.ai/company/SR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,43700000,28200000,41300000,54100000,48900000,43100000,3046000,37899000,83844000,-9029000,84117000,103092000,-8218000,81291000,-36532000,228753000,106915000,167187000,128101000,163914000,122600000,322400000,328300000,288300000,456600000,450900000,469900000,249800000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39200000,-45800000,-41200000,-42800000,-47300000,-48700000,-51635000,-46952000,-52999000,-51112000,-51309000,-60203000,-63416000,-58870000,-56621000,-52384000,-56997000,-67638000,-108843000,-130788000,-171000000,-289800000,-293300000,-438100000,-499400000,-823300000,-638400000,-624800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,84000000,- -,- -,- -,- -,-975000000,-1281000000,-8000000,-318000000,4000000,-28000000,-8000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1393000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,-500000,-3100000,- -,-5500000,- -,-3325000,-6470000,-41067000,-414000,-336000,-1190000,-3012000,153000,954000,- -,-3776000,631000,3439000,-2511000,14400000,-900000,-1400000,600000,-4300000,-7000000,-631600000,-622000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40500000,-46300000,-44300000,-45600000,-52800000,-48700000,-54960000,-53422000,-94066000,-51526000,-51645000,-61393000,-72428000,-58717000,26940000,-52254000,-60773000,-67007000,-105404000,-1108299000,-1437600000,-298700000,-612700000,-433500000,-531700000,-838300000,-631600000,-622000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86100000,-150000,-109195000,-5900000,-25000000,-80000000,-34800000,-80000000,-393800000,-105000000,-184100000,-242200000,-115400000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,3000000,- -,1800000,24100000,- -,- -,1009000,3954000,49497000,5375000,4188000,6569000,8799000,3674000,1806000,2549000,4311000,431682000,460000000,3100000,137100000,146900000,154700000,19500000,41100000,1000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136000,-136000,-395000,-8000,-5000,-244000,-63000,-159000,- -,-1197000,-406000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19100000,-20000000,-22000000,-22700000,-23200000,-24000000,-25387000,-25383000,-25365000,-25500000,-26494000,-28896000,-29808000,-31193000,-32430000,-33806000,-34851000,-35821000,-36896000,-42518000,-61900000,-79000000,-85200000,-96200000,-108700000,-122400000,-142800000,-148000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,13800000,38000000,24800000,14400000,24500000,11200000,72300000,40050000,44620000,76530000,-48907000,-25775000,151094000,4177000,-4624000,622000,-213000,-1355000,-32000,605745000,960000000,84700000,303900000,490500000,148100000,658800000,503900000,641800000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,18000000,5800000,-8300000,3100000,11300000,46777000,14531000,19869000,54976000,-25909000,-49540000,125411000,-20606000,-28255000,-116807000,-33814000,-143822000,-38517000,969909000,1278100000,-26000000,275800000,147400000,89100000,371800000,160000000,379400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,2800000,100000,-800000,5700000,-5137000,-992000,9647000,-5579000,6563000,-7841000,44765000,1968000,-37847000,59692000,12328000,-43642000,-15820000,25524000,-36900000,-2300000,-8600000,2200000,14000000,-15600000,-1700000,7200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1600000,4400000,4500000,3700000,9400000,4215000,3223000,12870000,7291000,13854000,6013000,50778000,52746000,14899000,74591000,86919000,43277000,27457000,52981000,16100000,13800000,5200000,7400000,21400000,5800000,4100000,11300000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,1600000,1600000,4400000,4500000,3700000,9352000,4215000,3223000,12870000,7291000,13854000,6013000,50778000,52746000,14899000,74591000,86919000,43277000,27457000,53000000,16100000,13800000,5200000,7400000,21400000,5800000,4100000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,-17600000,100000,11300000,1600000,-5600000,-48589000,-9053000,30845000,-60141000,32808000,42889000,-71634000,22421000,-93153000,176369000,49918000,99549000,19258000,33126000,-48400000,32600000,35000000,-149800000,-42800000,-372400000,-168500000,-375000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126956/000106880002000370/0001068800-02-000370-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000106880003000679/0001068800-03-000679-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000106880004000659/0001068800-04-000659-index.html,- -,https://www.sec.gov/Archives/edgar/data/1126956/000112695606000040/form10k2006group.htm,https://www.sec.gov/Archives/edgar/data/1126956/000112695607000051/0001126956-07-000051-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695608000059/0001126956-08-000059-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695609000012/0001126956-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695610000033/0001126956-10-000033-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695611000074/0001126956-11-000074-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695612000080/0001126956-12-000080-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695613000067/0001126956-13-000067-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695614000066/0001126956-14-000066-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695615000077/0001126956-15-000077-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695616000144/0001126956-16-000144-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695617000063/0001126956-17-000063-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695618000065/0001126956-18-000065-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000156459019044464/0001564590-19-044464-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000156459020054448/0001564590-20-054448-index.htm,https://www.sec.gov/Archives/edgar/data/1126956/000156459021057844/0001564590-21-057844-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
