,https://roic.ai/company/TROW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,10100000,5300000,-1800000,1500000,-18300000,39800000,11000000,24600000,24400000,25300000,24900000,-274184000,13998000,-9787000,-995781000,266087000,-304457000,-385136000,-285000000,1630900000,-251900000,-205100000,-86300000,-107000000,-707200000,-311100000,363500000,-1352900000,-2299600000,-90700000,-1496000000,-1449600000,549800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,33000000,32400000,34300000,45100000,38300000,111100000,101800000,141200000,197800000,232000000,296900000,322735000,290354000,269298000,296955000,374280000,539482000,593200000,758000000,741800000,535600000,732800000,948400000,902800000,1233200000,1291300000,1506400000,170500000,229500000,1619900000,1522700000,1918900000,3452000000
84,CAPEX,- -,- -,- -,- -,-2800000,-10400000,-4500000,-18600000,-12200000,-17400000,-23900000,-58800000,-70100000,-56600000,-77400000,-85612000,-41375000,-26047000,-31742000,-43069000,-51802000,-94400000,-145600000,-144100000,-133900000,-118000000,-82300000,-76900000,-105800000,-126200000,-151300000,-148300000,-186100000,-168500000,-204600000,-214600000,-239000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-783194000,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2450000000
86,Purchases of Investments,- -,- -,- -,- -,-28700000,-9000000,-7000000,-9800000,-33900000,-42800000,-20500000,-21300000,-28700000,-32500000,-16100000,-61384000,-35968000,-15547000,-96013000,-79763000,-71318000,-303100000,-241200000,-170900000,-136600000,-225600000,-127200000,-529600000,-405900000,-471900000,-164800000,-100000,-81100000,-1147800000,-258100000,-326300000,-48000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,23600000,27000000,- -,2200000,1900000,5100000,6800000,3600000,14200000,21700000,1300000,67068000,88968000,7261000,74096000,6897000,31786000,239600000,41400000,199700000,110900000,78000000,53900000,314900000,85700000,166600000,434500000,175100000,334700000,352400000,131400000,454100000,- -
88,Other Investing Activites,- -,- -,- -,- -,-2800000,-58500000,12600000,5600000,34600000,1600000,2100000,7200000,4900000,-200000,-26000000,2036000,-20595000,-60638000,- -,40070000,-297000,-263301000,700000,-9700000,-7100000,-11300000,-9400000,-18500000,-11500000,-11900000,-9400000,79500000,-28500000,88400000,6800000,50500000,1639000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-10700000,-50900000,1100000,-20600000,-9600000,-53500000,-35500000,-69300000,-79700000,-67600000,-118200000,-861086000,-8970000,-94971000,-53659000,-75865000,-91631000,-421200000,-344700000,-125000000,-166700000,-276900000,-165000000,-310100000,-437500000,-443400000,109000000,106200000,39000000,-875500000,-324500000,-36300000,-1098000000
90,Debt Repayment,- -,- -,- -,- -,-1000000,-1000000,-7500000,-1700000,-300000,-300000,-12600000,- -,- -,- -,- -,-5000000,-205000000,-49366000,-56699000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,-1100000,-1600000,- -,1600000,3000000,-26400000,-9700000,5100000,15100000,12900000,10000000,19279000,13102000,25320000,27169000,75149000,47973000,105100000,91600000,100400000,47700000,83000000,50600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1300000,-5000000,-2300000,- -,- -,-19700000,-9700000,-36400000,-67400000,- -,-30923000,-95773000,-19963000,-18334000,-75853000,-171000000,-403700000,-614200000,-71000000,-240000000,-479700000,-135200000,-14100000,-415500000,-987800000,-676900000,-458100000,-1090400000,-705800000,-1201900000,-1138000000
93,Dividends Paid,- -,- -,- -,- -,-6800000,-8600000,-9200000,-10400000,-12100000,-15100000,-18300000,-24100000,-30100000,-40400000,-61700000,-62880000,-73838000,-78701000,-83672000,-96164000,-119534000,-147600000,-180300000,-312500000,-256900000,-278900000,-317900000,-603400000,-396700000,-462100000,-1059000000,-540800000,-563100000,-694300000,-733900000,-845800000,-1701000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-100000,-800000,-2000000,-4700000,-2000000,-4300000,- -,-7600000,-17100000,14900000,309006000,14490000,55870000,14984000,4151000,3402000,10900000,91200000,43500000,35500000,49800000,48400000,127100000,134000000,137800000,97600000,1041300000,1482700000,545200000,607000000,561400000,-68000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-8900000,-11300000,-18800000,-17500000,-16400000,-43800000,-44900000,-38700000,-32300000,-81000000,-104200000,260405000,-282169000,-142650000,-118181000,-35198000,-144012000,-202600000,-401200000,-782800000,-244700000,-386100000,-698600000,-611500000,-276800000,-739800000,-1949200000,-176400000,461500000,-1239500000,-832700000,-1486300000,-2988000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2100000,5300000,-15400000,-2500000,1900000,2000000
97,Net Change In Cash,- -,- -,- -,- -,-8900000,-11300000,-18800000,-17500000,-16400000,-43800000,-44900000,-38700000,-32300000,-81000000,74700000,-277946000,-785000,31677000,125115000,263217000,303839000,-30600000,12100000,-166000000,124200000,69800000,84800000,-18800000,518900000,108100000,-333800000,98200000,735300000,-510500000,363000000,398200000,-632000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358500000,80526000,79741000,111418000,236533000,499750000,803589000,773000000,785100000,619100000,743300000,813100000,897900000,879100000,1398000000,1506100000,1172300000,1270500000,2005800000,1495300000,1858300000,2256500000,1624000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,26600000,40000000,10200000,26900000,34000000,46200000,60000000,81400000,114600000,200400000,283800000,358472000,80526000,79741000,111418000,236533000,499750000,803600000,773000000,785100000,619100000,743300000,813100000,897900000,879100000,1398000000,1506100000,1172300000,1270500000,2005800000,1495300000,1858300000,2256000000
100,Free Cash Flow,- -,- -,- -,- -,30200000,22000000,29800000,26500000,26100000,93700000,77900000,82400000,127700000,175400000,219500000,237123000,248979000,243251000,265213000,331211000,487680000,498800000,612400000,597700000,401700000,614800000,866100000,825900000,1127400000,1165100000,1355100000,22200000,43400000,1451400000,1318100000,1704300000,3213000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1113169/000095013302000917/0000950133-02-000917-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095013303000699/0000950133-03-000699-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095013304000683/0000950133-04-000683-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095013305000815/0000950133-05-000815-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095013306000779/w17533e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113169/000095013307000416/w29775e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113169/000095013308000389/w47962e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113169/000095013309000237/0000950133-09-000237-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095012310009025/0000950123-10-009025-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095012311010348/w81368e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113169/000119312512038736/0001193125-12-038736-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316913000010/0001113169-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316914000007/a201310k.htm,https://www.sec.gov/Archives/edgar/data/1113169/000111316915000007/a201410k.htm,https://www.sec.gov/Archives/edgar/data/1113169/000111316916000033/0001113169-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316917000014/0001113169-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316918000009/0001113169-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316919000011/0001113169-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316920000008/0001113169-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316921000006/0001113169-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1113169/000111316922000005/0001113169-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
