,https://roic.ai/company/LOW,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
74,Depreciation and Amortization,- -,- -,- -,- -,46100000,51400000,58300000,69800000,80500000,112900000,153600000,199800000,241100000,272200000,337822000,409511000,534102000,645000000,781000000,920000000,1051000000,1237000000,1464000000,1667000000,1733000000,1684000000,1579000000,1623000000,1562000000,1586000000,1587000000,1590000000,1540000000,1607000000,1410000000,1594000000,1882000000
75,Deferred Income Tax,- -,- -,- -,- -,2400000,200000,-25300000,8200000,5900000,18100000,32900000,17000000,7600000,14300000,13439000,23284000,41658000,208000000,178000000,109000000,-33000000,-6000000,2000000,69000000,-123000000,-133000000,54000000,-140000000,-162000000,-124000000,-68000000,28000000,53000000,-151000000,177000000,-108000000,135000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102000000,115000000,107000000,100000000,100000000,119000000,117000000,90000000,99000000,74000000,98000000,155000000,- -
77,Change in Working Capital,- -,- -,- -,- -,5500000,- -,- -,- -,- -,611300000,42500000,-150800000,157300000,160700000,503000000,-78000000,657000000,87000000,329000000,-1064000000,701000000,-181000000,-840000000,294000000,1148000000,471000000,-667000000,-105000000,-656000000,-917000000,-434000000,-43000000,650000000,-945000000,405000000,3460000000,-4255000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-28300000,-53100000,-142000000,8600000,-259500000,-278600000,-134800000,-338800000,-108700000,-390300000,-427661000,-473009000,-325406000,-357000000,-648000000,-1389000000,-795000000,-509000000,-464000000,-611000000,-28000000,-64000000,-33000000,-244000000,-396000000,170000000,-582000000,-178000000,-791000000,-1289000000,-600000000,-2967000000,-1413000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000000,60000000,-5000000,303000000,291000000,127000000,524000000,653000000,-92000000,1720000000,-637000000,3211000000,466000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,611300000,653800000,503000000,660300000,821000000,1324000000,1246000000,1903000000,1990000000,2319000000,1255000000,1956000000,1775000000,935000000,1229000000,2377000000,2848000000,2181000000,2076000000,1420000000,503000000,69000000,26000000,676000000,-269000000,136000000,3596000000,-659000000
82,Other Non-Cash Items,- -,- -,- -,- -,-1700000,-43500000,54000000,88100000,-92500000,-606900000,-151700000,184800000,-98600000,-232400000,-356373000,-35086000,-642711000,285000000,-12000000,892000000,-642000000,347000000,912000000,-103000000,-589000000,-295000000,1437000000,325000000,981000000,1567000000,1036000000,859000000,-724000000,3294000000,-2075000000,113000000,12351000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,127200000,79200000,93500000,250800000,125700000,359000000,303300000,543000000,664900000,696800000,1170888000,1129709000,1613049000,2696000000,3153000000,3033000000,3842000000,4502000000,4347000000,4122000000,4054000000,3852000000,4349000000,3762000000,4111000000,4929000000,4784000000,5617000000,5065000000,6193000000,4296000000,11049000000,10113000000
84,CAPEX,- -,- -,- -,- -,-91700000,-91000000,-133800000,-243300000,-336900000,-414100000,-520400000,-677200000,-772800000,-928000000,-1472348000,-2331922000,-2199108000,-2362000000,-2444000000,-2927000000,-3379000000,-3916000000,-4010000000,-3266000000,-1799000000,-1329000000,-1829000000,-1211000000,-940000000,-880000000,-1197000000,-1167000000,-1123000000,-1174000000,-1484000000,-1791000000,-1853000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-219000000,-376000000,-241000000,-125000000,-2356000000,-509000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-35100000,-11400000,-1200000,-29300000,-83400000,- -,- -,- -,- -,-50998000,-13951000,-31000000,-227000000,-381000000,-156000000,-2183000000,-842000000,-2508000000,-1358000000,-1827000000,-2605000000,-1665000000,-1444000000,-759000000,-820000000,-934000000,-1295000000,-981000000,-1373000000,-743000000,-3094000000,-3065000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,30400000,- -,- -,- -,18500000,111000000,30600000,19800000,- -,76488000,2878000,- -,332000000,718000000,1857000000,987000000,2345000000,1425000000,1784000000,1822000000,2120000000,1837000000,709000000,805000000,884000000,1433000000,1114000000,1393000000,695000000,2926000000,3293000000
88,Other Investing Activites,- -,- -,- -,- -,4100000,8100000,3800000,-4400000,12100000,-32400000,54000000,-12200000,10300000,2500000,21312000,19724000,27896000,11000000,-50000000,108000000,31000000,56000000,50000000,-27000000,-44000000,-72000000,-63000000,-1077000000,-860000000,-832000000,-1168000000,-1143000000,-1065000000,-1100000000,-1321000000,-1726000000,-1874000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-87600000,-118000000,-111000000,-248900000,-354100000,-529900000,-447900000,-578400000,-731900000,-905700000,-1502034000,-2249661000,-2199334000,-2578000000,-2543000000,-2257000000,-3674000000,-3715000000,-4123000000,-3226000000,-1886000000,-2184000000,-1437000000,-903000000,-1286000000,-1088000000,-1343000000,-3361000000,-1441000000,-1080000000,-1369000000,-1894000000,-1646000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37000000,-552000000,-37000000,-591000000,-47000000,-434000000,-552000000,-1173000000,-2849000000,-741000000,-1113000000,-5618000000,-2118000000
91,Common Stock Issued,- -,- -,- -,- -,2000000,6000000,1200000,1000000,1500000,316800000,- -,- -,200000,12100000,379273000,27020000,115870000,115000000,148000000,151000000,290000000,176000000,149000000,174000000,75000000,104000000,100000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,132000000
92,Common Stock Repurchased,- -,- -,- -,- -,-6000000,-26500000,-1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000000,-774000000,-1737000000,-2275000000,-8000000,-504000000,-2618000000,-2937000000,-4393000000,-3710000000,-3905000000,-3925000000,-3595000000,-3192000000,-3037000000,-4313000000,-4971000000,-13012000000
93,Dividends Paid,- -,- -,- -,- -,-18200000,-19300000,-20000000,-21200000,-23600000,-27400000,-30500000,-34700000,-28700000,-50800000,-47558000,-53479000,-59884000,-66000000,-86000000,-116000000,-171000000,-276000000,-428000000,-491000000,-391000000,-571000000,-647000000,-704000000,-733000000,-822000000,-957000000,-1121000000,-1288000000,-1455000000,-1618000000,-1704000000,-1984000000
94,Other Financing Activites,- -,- -,- -,- -,-22200000,38100000,49300000,41200000,274800000,-41400000,88600000,46600000,250300000,275200000,261679000,1110947000,873480000,-113000000,-79000000,-82000000,380000000,991000000,2247000000,-614000000,-944000000,1986000000,972000000,2355000000,1521000000,1400000000,1941000000,3797000000,3722000000,109000000,4309000000,7102000000,4966000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-44400000,-1700000,28600000,21000000,252700000,248000000,58100000,11900000,221800000,236500000,593394000,1084488000,929466000,-64000000,-17000000,-1047000000,-275000000,-846000000,-307000000,-939000000,-1801000000,-1651000000,-2549000000,-3333000000,-2969000000,-3761000000,-3493000000,-2092000000,-3607000000,-5124000000,-2735000000,-5191000000,-12016000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,20000000,3000000,-1000000,1000000,-6000000,-5000000,-9000000,-11000000,13000000,-12000000,1000000,10000000,-8000000
97,Net Change In Cash,- -,- -,- -,- -,-44400000,-1700000,28600000,21000000,252700000,248000000,58100000,11900000,221800000,236500000,262248000,-35464000,343181000,54000000,593000000,-271000000,-107000000,-59000000,-83000000,-36000000,387000000,20000000,362000000,-473000000,-150000000,75000000,-61000000,153000000,30000000,-77000000,205000000,3974000000,-3557000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491122000,455658000,798839000,853000000,1446000000,642000000,423000000,364000000,281000000,245000000,632000000,652000000,1014000000,541000000,391000000,466000000,405000000,558000000,588000000,511000000,716000000,4690000000,1133000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,60300000,55600000,15000000,26100000,48900000,73300000,150300000,63900000,40400000,195100000,228874000,491122000,455658000,799000000,853000000,913000000,530000000,423000000,364000000,281000000,245000000,632000000,652000000,1014000000,541000000,391000000,466000000,405000000,558000000,588000000,511000000,716000000,4690000000
100,Free Cash Flow,- -,- -,- -,- -,35500000,-11800000,-40300000,7500000,-211200000,-55100000,-217100000,-134200000,-107900000,-231200000,-301460000,-1202213000,-586059000,334000000,709000000,106000000,463000000,586000000,337000000,856000000,2255000000,2523000000,2520000000,2551000000,3171000000,4049000000,3587000000,4450000000,3942000000,5019000000,2812000000,9258000000,8260000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60667/000006066795000003/0000060667-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066796000005/0000060667-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066797000013/0000060667-97-000013-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066798000007/0000060667-98-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60667/000006066702000003/0000060667-02-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/60667/000006066704000188/form10k1302004.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066705000099/lowesform10k01282005.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066706000079/lowesform10k02032006.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066707000052/0000060667-07-000052-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066708000067/0000060667-08-000067-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066709000036/0000060667-09-000036-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066710000059/0000060667-10-000059-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066711000061/lowesform10k01282011.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066712000096/0000060667-12-000096-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066713000045/0000060667-13-000045-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066714000054/lowesform10k.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066715000057/lowesform10k.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066716000276/0000060667-16-000276-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066717000076/0000060667-17-000076-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066718000051/0000060667-18-000051-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066719000042/0000060667-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066720000036/0000060667-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066721000026/0000060667-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066722000038/0000060667-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
