,https://roic.ai/company/CWT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,3800000,31200000,21000000,31100000,17500000,16110000,36334000,23536000,-6313000,-21494000,92901000,-31822000,68234000,78986000,-35054000,-44390000,78428000,50603000,-64372000,8241000,-33244000,103439000,132789000,-106035000,49204000,64249000,-6336000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,25500000,29800000,33200000,39400000,37500000,42700000,34627000,38587000,33415000,44431000,55411000,86259000,60967000,50054000,95730000,72424000,75510000,111272000,131914000,124173000,128133000,144631000,159700000,147842000,179019000,168794000,117924000,231718000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28300000,-27300000,-35700000,-32900000,-34600000,-44500000,-37161000,-62049000,-88361000,-74253000,-68573000,-94517000,-114414000,-101343000,-107804000,-110608000,-123926000,-118546000,-127681000,-122988000,-132015000,-176833000,-228938000,-259194000,-271707000,-273770000,-298651000,-293194000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2300000,-6094000,-900000,-471000,-509000,-1479000,-24924000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40483000,-6451000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1813000,-1891000,-1744000,-3294000,-3281000,-3207000,-2032000,-2857000,-5605000,-4925000,-2216000,-4600000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,495000,1558000,3491000,- -,- -,1000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3006000,4803000,14000,2316000,353000,2495000,32851000,-2294000,3203000,-2978000,2044000,1073000,453000,607000,461000,56589000,59000,28000,-2335000,-295421000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28300000,-27300000,-35700000,-32900000,-34600000,-44500000,-37161000,-62049000,-87655000,-75544000,-69459000,-92672000,-114570000,-100327000,-99877000,-114715000,-122614000,-123268000,-128931000,-125196000,-134769000,-178258000,-230839000,-206652000,-273082000,-275958000,-346069000,-300872000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60811000,-93880000,-2963000,-59037000,-160523000,-93705000,-148003000,-88611000,-113829000,-377532000,-555568000,-162241000,-540353000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,700000,1400000,- -,- -,- -,644000,- -,- -,43781000,37538000,720000,79545000,372000,- -,614000,912000,965000,- -,110688000,- -,- -,- -,- -,- -,20423000,83575000,197723000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3718000,- -,- -,- -,- -,- -,- -,- -,- -,-1505000,-1645000,-2497000,-1679000,-1767000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11700000,-12900000,-13200000,-13500000,-13700000,-13900000,-16388000,-17071000,-17157000,-17724000,-20083000,-21106000,-21966000,-24124000,-24349000,-24476000,-24753000,-25674000,-26387000,-29619000,-31063000,-32066000,-33081000,-34563000,-36043000,-38023000,-41768000,-47398000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3400000,14600000,9400000,7400000,9600000,16100000,19864000,38245000,71507000,6849000,12557000,17512000,46802000,20447000,39349000,122961000,197236000,24594000,94028000,69193000,123485000,202946000,209486000,277991000,461698000,678412000,352089000,496473000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,2400000,-2400000,-6100000,-4100000,2200000,4120000,21174000,54350000,32906000,30012000,-2874000,104381000,-3305000,11282000,38288000,79515000,-3078000,8604000,-10261000,-1283000,22877000,87794000,128094000,46478000,102747000,229976000,104678000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,5000000,-4900000,300000,-1100000,300000,1586000,-2288000,110000,1793000,15964000,-9287000,50779000,-53578000,7135000,-4003000,32411000,-15074000,11587000,-11284000,-7919000,-10750000,16655000,69284000,-47585000,-4417000,1831000,35524000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,6300000,1400000,1700000,600000,1400000,3241000,953000,1063000,2856000,18820000,9533000,60312000,6734000,13869000,9866000,42277000,27203000,38790000,27506000,19587000,8837000,25492000,94776000,47715000,43298000,45129000,80653000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1300000,6300000,1400000,1700000,1100000,1655000,3241000,953000,1063000,2856000,18820000,9533000,60312000,6734000,13869000,9866000,42277000,27203000,38790000,27506000,19587000,8837000,25492000,95300000,47715000,43298000,45129000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2800000,2500000,-2500000,6500000,2900000,-1800000,-2534000,-23462000,-54946000,-29822000,-13162000,-8258000,-53447000,-51289000,-12074000,-38184000,-48416000,-7274000,4233000,1185000,-3882000,-32202000,-69238000,-111352000,-92688000,-104976000,-180727000,-61476000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035201/000095014999000416/0000950149-99-000416-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095000500000471/0000950005-00-000471-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1035201/000095000503000382/0000950005-03-000382-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095000504000266/0000950005-04-000266-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095000505000264/0000950005-05-000264-index.html,- -,https://www.sec.gov/Archives/edgar/data/1035201/000089161807000159/f28120e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035201/000095013408003723/f37770e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035201/000095013409004228/0000950134-09-004228-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095012310018557/0000950123-10-018557-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095012311020033/f57499e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035201/000104746912001921/0001047469-12-001921-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000104746913001968/0001047469-13-001968-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000104746914001487/a2218379z10-k.htm,https://www.sec.gov/Archives/edgar/data/1035201/000104746915001307/a2223126z10-k.htm,https://www.sec.gov/Archives/edgar/data/1035201/000103520116000009/0001035201-16-000009-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520117000003/0001035201-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520118000003/0001035201-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520119000003/0001035201-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520120000002/0001035201-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520121000003/0001035201-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1035201/000103520122000002/0001035201-22-000002-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
