,https://roic.ai/company/SBUX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-7000000,-30000000,-97600000,-17600000,-175600000,-211200000,-187000000,-148800000,-336300000,-373232000,-433053000,-485340000,-499258000,-632193000,-221308000,-841040000,-1201951000,-1086600000,-421100000,-789500000,-1019500000,-974000000,-1411200000,-817700000,-1520300000,-2222900000,-850000000,-2361500000,-1010800000,-1711500000,-319500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23017200000,-6600000,-4300000,- -,-35200000,- -,-610100000,- -,-400000000,- -,-350000000,-967700000,-1896300000
91,Common Stock Issued,- -,48800000,8000000,2600000,172200000,16500000,25500000,25400000,43200000,68721000,59639000,107467000,107183000,137590000,163555000,159249000,176937000,112300000,57300000,127900000,235400000,236600000,247200000,139700000,191800000,160700000,150800000,153900000,409800000,298800000,246200000
92,Common Stock Repurchased,- -,- -,-3300000,- -,- -,- -,- -,- -,- -,- -,-49788000,-52248000,-75710000,-203413000,-1113647000,-854045000,-996798000,-311400000,- -,-285600000,-555900000,-549100000,-588100000,-758600000,-1436100000,-1995600000,-2042500000,-7133500000,-10222300000,-1698900000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171000000,-389500000,-513000000,-628900000,-783100000,-928600000,-1178000000,-1450400000,-1743400000,-1761300000,-1923500000,-2119000000
94,Other Financing Activites,4200000,-8000000,79700000,7800000,4600000,163300000,4400000,12200000,47300000,-9368000,4970000,12211000,-710000,-722000,276265000,539470000,647974000,14600000,22317700000,-10700000,106300000,80000000,896800000,778700000,526500000,1262900000,740500000,5480200000,1866900000,6004600000,118100000
95,Cash Used/Provided by Financing Activities,4200000,40800000,84400000,10400000,176800000,179800000,29900000,37600000,90500000,59353000,14821000,67430000,30763000,-66545000,-673827000,-155326000,-171887000,-184500000,-642200000,-346000000,-608000000,-745500000,-108200000,-623300000,-2256500000,-1750000000,-3001600000,-3242800000,-10056900000,1713300000,-3651000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-297000,-174000,1560000,3278000,3111000,283000,3530000,11272000,900000,4300000,-5200000,-800000,9700000,-1800000,-34100000,-150600000,-3500000,10800000,-39500000,-49000000,64700000,86200000
97,Net Change In Cash,4200000,40800000,84400000,10400000,176800000,179800000,29900000,37600000,-35300000,4398000,42420000,61335000,101230000,98221000,28756000,138797000,-31345000,-11500000,330000000,564200000,-15900000,40500000,1387100000,-867300000,-178300000,598700000,333500000,6294000000,-6069700000,1664300000,2104800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,66400000,70817000,113237000,174572000,200907000,299128000,173809000,312606000,281261000,269800000,599800000,1164000000,1148100000,1188600000,2575700000,1708400000,1530100000,2128800000,2462300000,8756300000,2686600000,4350900000,6455700000
99,Cash at the Beginning of Period,1300000,1100000,20800000,17100000,8400000,20900000,126200000,70100000,101700000,66419000,70817000,113237000,99677000,200907000,145053000,173809000,312606000,281300000,269800000,599800000,1164000000,1148100000,1188600000,2575700000,1708400000,1530100000,2128800000,2462300000,8756300000,2686600000,4350900000
100,Free Cash Flow,-8000000,-7000000,-30500000,-86800000,-118000000,-25100000,-68700000,-59000000,-66800000,2124000,76611000,102211000,209165000,407672000,279619000,360403000,250873000,274200000,943400000,1264200000,1080500000,894100000,1757100000,-553100000,2445400000,3134800000,2654900000,9961400000,3240400000,114200000,4519100000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829224/000088755796000023/0000887557-96-000023-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829224/000089102000002203/0000891020-00-002203-index.html,https://www.sec.gov/Archives/edgar/data/829224/000089102001500442/0000891020-01-500442-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829224/000089102005000350/v13039e10vk.htm,https://www.sec.gov/Archives/edgar/data/829224/000089102006000406/v24294e10vk.htm,https://www.sec.gov/Archives/edgar/data/829224/000095013407024667/0000950134-07-024667-index.html,https://www.sec.gov/Archives/edgar/data/829224/000095013408021134/0000950134-08-021134-index.html,https://www.sec.gov/Archives/edgar/data/829224/000095012309064772/0000950123-09-064772-index.html,https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/0001193125-10-266333-index.html,https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/0001193125-11-317175-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922412000007/0000829224-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922413000044/0000829224-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922414000041/0000829224-14-000041-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922415000038/0000829224-15-000038-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922416000083/0000829224-16-000083-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922417000049/0000829224-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/0000829224-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/0000829224-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922420000078/0000829224-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922421000086/0000829224-21-000086-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
