,https://roic.ai/company/ASTE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-2500000,-2000000,1800000,300000,-3000000,-3500000,-5900000,-1400000,-1800000,-3700000,-11100000,-18901256,-4446613,6527167,6291914,-21471263,-11291802,-26815069,-42594820,-70789928,36570000,-7373000,-32017000,-40133000,-36561000,-41933000,-6499000,30839000,-19618000,30757000,61297000,44700000,-53800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3909243,-16124000,7351000,9002000,-6425000,1028000,10755000,-11409000,8836000,630000,9843000,-12968000,-8600000,30800000
81,Other Working Capital,32600000,36200000,- -,52800000,60200000,49800000,31200000,33700000,40800000,53000000,58000000,69900000,71400000,81900000,127600000,155736006,161866781,173223843,81001103,106488556,137980647,178148471,204838587,251262945,278058000,317395000,331532000,355497000,388880000,392062000,399785000,407972000,423823000,371760000,333537000,395500000,11500000
82,Other Non-Cash Items,-1800000,-5900000,- -,-25700000,-15300000,25000000,17300000,-6700000,-10400000,-23400000,-9100000,-22900000,12500000,-14500000,-62700000,-47003360,-22547760,11584992,121748057,-40872878,-36832897,-53637040,-52923782,-121793570,-1127055,-30357000,-41515000,-65915000,-88078000,-41223000,-32078000,47232000,-40418000,78017000,97799000,-7963000,10100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-8600000,2400000,5900000,5200000,9100000,16100000,6200000,-900000,34700000,28500000,27600000,23288120,1451919,32837440,8178896,20886318,32106969,39024163,45744161,10037810,49201000,62036000,32307000,28633000,5861000,18863000,30866000,134806000,41881000,-29785000,112434000,141500000,7400000
84,CAPEX,- -,- -,- -,- -,-6100000,-1800000,-2100000,-2500000,-8800000,-21900000,-15200000,-8700000,-25300000,-18500000,-53600000,-75418005,-36058830,-33978800,-3588297,-11167772,-11629597,-30879114,-38451380,-39932447,-17463000,-11336000,-36130000,-26018000,-27673000,-24851000,-21202000,-27367000,-20046000,-27440000,-23360000,-15400000,-20100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19655696,-18282018,-475000,- -,-33407000,42940000,- -,-34965000,178000,-39764000,-26443000,- -,- -,-23400000,-1000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10304855,- -,- -,- -,- -,- -,-15000000,- -,- -,- -,-891000,-360000,- -,- -,-1000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,700000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16249000,378000,290000,- -,- -,- -,200000,1800000
88,Other Investing Activites,- -,- -,- -,- -,1500000,1700000,25800000,1800000,-400000,1700000,- -,-3000000,-5300000,-20800000,-32300000,38623601,23963789,19652176,34009372,25206752,12737328,1340767,151208,16776089,283000,202000,760000,375000,424000,743000,10054000,614000,480000,375000,1820000,17700000,-18200000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4600000,600000,23800000,-600000,-9200000,-20200000,-15200000,-11800000,-30600000,-39300000,-85900000,-36794404,-12095041,-14326624,30421075,14038980,1107731,-29538347,-68260723,-41438376,-17655000,-11134000,-68777000,17297000,-42249000,-42824000,-10592000,-66227000,-46900000,-27425000,-21540000,-20900000,-18400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-912091,-3427000,- -,- -,- -,- -,-103000,-104567000,-5903000,-7242000,-91964000,-224034000,-5900000,-6200000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,300000,27100000,- -,- -,- -,100000,1400000,1400000,1005502,748153,698540,382014,4288364,18846357,54092,15046162,4669132,880000,1431000,812000,514000,112000,282000,72000,- -,- -,377000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-7800000,- -,- -,- -,- -,-87888,-744776,-2048858,-84199,- -,- -,-196311,-78000,-25000,- -,-373000,- -,-95000,-653000,-153000,-106000,-24138000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22790000,-6856000,-9167000,-9193000,-9217000,-9226000,-9625000,-9916000,-10000000,-10200000
94,Other Financing Activites,- -,- -,- -,- -,13000000,-2500000,-25200000,-8400000,-25700000,11000000,1600000,13700000,3200000,11900000,55300000,16185969,9758503,4200951,-58895997,-37659688,-37684357,12925304,-3111304,4063591,-585000,620000,73000,177000,158000,11523000,108279000,4253000,-218000,148044000,165865000,5500000,4300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,13000000,-2500000,-25200000,-8100000,1400000,11000000,1600000,12900000,-4500000,13300000,56700000,17191471,10506656,4811603,-59258759,-35420182,-18922199,12979396,11934858,7624321,-3210000,2026000,885000,-22472000,-6586000,2440000,-6062000,-11020000,-16792000,22694000,-68085000,-10400000,-12100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-356929,-246684,348574,52154,92477,-43498,-184780,340048,-1186685,2419000,1240000,-1507000,-34000,-2391000,-1020000,-2173000,-250000,1720000,-1943000,227000,-500000,-1100000
97,Net Change In Cash,- -,- -,- -,- -,13000000,-2500000,-25200000,-8100000,1400000,11000000,-7400000,12900000,-4500000,13300000,-1700000,3328258,-383150,23670993,-20606634,-402407,14249003,22280432,-10241656,-24962930,30755000,54168000,-37092000,23424000,-45365000,-22541000,12039000,57309000,-20091000,-36459000,23036000,109700000,-24200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,- -,- -,- -,3700000,7053328,6670178,30341171,9734537,8348693,22597696,44878128,34636472,9673542,40429000,94597000,57505000,80929000,35564000,13023000,25062000,82371000,62280000,25821000,48857000,158600000,134400000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1000000,800000,1300000,5800000,2200000,3500000,10500000,3100000,3400000,2900000,5400000,3725070,7053328,6670178,30341171,8751100,8348693,22597696,44878128,34636472,9674000,40429000,94597000,57505000,80929000,35564000,13023000,25062000,82371000,62280000,25821000,48900000,158600000
100,Free Cash Flow,- -,- -,- -,- -,-14700000,600000,3800000,2700000,300000,-5800000,-9000000,-9600000,9400000,10000000,-26000000,-52129885,-34606911,-1141360,4590599,9718546,20477372,8145049,7292781,-29894637,31738000,50700000,-3823000,2615000,-21812000,-5988000,9664000,107439000,21835000,-57225000,89074000,126100000,-12700000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/792987/000079298795000003/0000792987-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/792987/000079298796000011/0000792987-96-000011-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/792987/000079298702000035/0000792987-02-000035-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298703000049/0000792987-03-000049-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298704000027/0000792987-04-000027-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298705000047/0000792987-05-000047-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298706000031/0000792987-06-000031-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298707000049/0000792987-07-000049-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298708000008/0000792987-08-000008-index.htm,- -,https://www.sec.gov/Archives/edgar/data/792987/000079298710000006/0000792987-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298711000008/0000792987-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298712000007/0000792987-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298713000008/0000792987-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298714000012/0000792987-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298715000010/0000792987-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298716000063/0000792987-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298717000008/0000792987-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298718000008/0000792987-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298719000019/0000792987-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000114036120006100/0001140361-20-006100-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298721000016/0000792987-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298722000013/0000792987-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
