,https://roic.ai/company/BIIB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2356000,- -,16795000,38145000,126783000,123129000,146207000,160902000,167826000,113005000,118566000,136293000,155302000,161400000,154800000,128000000,157500000,182300000,198300000,238600000
77,Change in Working Capital,- -,- -,- -,- -,-7400000,-5500000,87000000,47100000,35400000,-30744000,40058000,60892000,124377000,86872000,160901000,-12706000,95535000,86906000,544148000,-763543000,364749000,94667000,-950480000,1355546000,230875000,-275355000,572240000,-475566000,-160336000,1026365000,1669599000,1189700000,-807200000,-159400000,-827700000,-373100000,-145500000
78,Accounts Receivable,- -,- -,- -,- -,-4200000,-7400000,-5200000,-15000000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,11788000,22618000,-76529000,6252000,-37009000,-70701000,-57565000,- -,-99227000,-73374000,3571000,-126753000,-512389000,29000000,-241400000,-435600000,-205200000,68800000,2800000,324800000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50290000,-8720000,-90804000,-32732000,-36637000,-83192000,-54204000,-42772000,-4527000,-59219000,-140309000,-243960000,-185917000,-174400000,-165600000,-94500000,-52100000,-19200000,-316300000,-462400000
80,Accounts Payable,- -,- -,- -,- -,-1600000,6600000,1600000,9600000,5500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,113600000,108100000,195100000,242200000,277600000,246856000,286914000,347806000,472183000,559055000,719956000,707250000,802785000,889691000,1433839000,670296000,1035045000,1129712000,179232000,1534778000,1765653000,1490298000,2062538000,1586972000,1426636000,2453001000,4122600000,5312300000,4505100000,4345700000,3518000000,3144900000,86300000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,12300000,-83200000,-35200000,-13500000,62471000,-47185000,-64606000,-157670000,-89800000,-116181000,-18959000,-70673000,-108636000,492748000,1001216000,13864000,132774000,911076000,-1042938000,-577621000,454238000,-704441000,608116000,220117000,-1554264000,-2116699000,-1032600000,1518400000,634000000,1087800000,-202200000,1929800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-7500000,10700000,5900000,43100000,47600000,34886000,9449000,46539000,97632000,167845000,272288000,365939000,316358000,267077000,219213000,727986000,889503000,841268000,1020635000,1564492000,1074898000,1624673000,1727741000,1879897000,2345078000,2942115000,3716100000,4522400000,4551000000,6187700000,7078600000,4229800000,3639900000
84,CAPEX,- -,- -,- -,- -,-3100000,-11100000,-8400000,-9400000,-10800000,-43670000,-50309000,-65636000,-35550000,-33611000,-86327000,-199115000,-195534000,-221555000,-301248000,-369763000,-318376000,-198312000,-284106000,-275954000,-165646000,-173055000,-252175000,-261182000,-3509000000,-287751000,-643000000,-727700000,-1962800000,-886100000,-669500000,-551800000,-294900000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,136793000,- -,- -,-303451000,-95789000,-25000000,- -,-157428000,-5000000,-72401000,-15000000,-375000000,-1048800000,-1200000000,-1200000000,-2176600000,-120700000,-565500000,28100000
86,Purchases of Investments,- -,- -,- -,- -,-52000000,-15300000,-37300000,-11600000,-53200000,-26625000,-349025000,-369893000,-481783000,-574021000,-1120218000,-627168000,-827807000,-467256000,-1233251000,-3213051000,-1454147000,-1959365000,-2968916000,-3184197000,-3592205000,-1992886000,-3713319000,-3334434000,-3278091000,-3583150000,-6864900000,-7913200000,-5355200000,-8157700000,-5252600000,-6838700000,-3808700000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307021000,370252000,373130000,453952000,1006465000,726286000,770426000,405301000,1118775000,3200386000,1782134000,1787139000,3253779000,2941060000,3332829000,2668694000,2317993000,2759616000,5190052000,2718923000,4063000000,7378900000,5565900000,9173700000,6486300000,7374300000,3498900000
88,Other Investing Activites,- -,- -,- -,- -,4200000,-3100000,-2600000,-2900000,-2700000,-3130000,-2311000,-20380000,-17654000,-9562000,-13799000,-9713000,-4781000,-1214000,- -,-8750000,408130000,74216000,-191540000,178218000,29991000,- -,-41948000,-48575000,-3255348000,-15998000,-59900000,-134400000,-1106400000,-115100000,-128000000,-153900000,-23900000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-50900000,-29500000,-48300000,-23900000,-66700000,-70295000,-92313000,-82051000,-155203000,-158680000,-210080000,-104997000,-252915000,-289510000,-278931000,-382428000,417741000,-599773000,-286572000,-365873000,-395031000,345325000,-1650294000,-950342000,-1604668000,-1542976000,-4553600000,-2484800000,-2963100000,-2046300000,470500000,-608600000,-563700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-833000,-1666000,-4082000,-29703000,-4887000,-4888000,-4888000,-4887000,- -,- -,-746416000,- -,-18605000,-1512474000,-10867000,-18073000,-11459000,-2428000,-452340000,-2674000,-2100000,-2700000,-560900000,-3200000,- -,-1500000000,-170000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,15545000,- -,19996000,24453000,41175000,171871000,35955000,35034000,27379000,24439000,273535000,119619000,146959000,489180000,178486000,47810000,183486000,314650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,-65550000,-197717000,-300192000,-88284000,-8384000,- -,-734427000,-322590000,-320268000,-2991184000,-738938000,-751170000,-2077579000,-497975000,-984715000,-400309000,-886779000,-5000000000,-1000000000,-1365400000,-4352600000,-5868300000,-6679100000,-1800000000
93,Dividends Paid,- -,- -,- -,- -,-2700000,-5900000,-2900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,67200000,4100000,89400000,10000000,7800000,- -,74785000,33444000,52526000,- -,- -,- -,- -,153000,- -,9931000,864000,24899000,1785389000,836254000,-9924000,127247000,-125078000,109665000,136121000,133580000,5988500000,14900000,-453700000,-116200000,7900000,2906400000,-116200000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,64500000,-1800000,86500000,10000000,7800000,15545000,73952000,51774000,65897000,-54078000,-30733000,-269125000,-58138000,14261000,24439000,-450961000,-948523000,-148410000,-735220000,-1236672000,-724151000,-1784919000,-319862000,-877478000,-716528000,-755873000,986400000,-987800000,-2380000000,-4472000000,-5860400000,-5272700000,-2086200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-757000,- -,- -,- -,124000,-558000,776000,3788000,-7370000,-2641000,4102000,7959000,-40904000,-45800000,-31300000,39400000,-18600000,400000,69000000,-59800000
97,Net Change In Cash,- -,- -,- -,- -,64500000,-1800000,86500000,10000000,7800000,-19864000,-8912000,16262000,8326000,-44913000,31475000,-8183000,5305000,-8929000,-35279000,-105403000,358721000,93209000,-1715000,-37277000,-40496000,177709000,-245056000,56179000,31841000,602362000,103100000,1018500000,-752700000,-349200000,1689100000,-1582500000,930200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,54682000,45770000,62032000,70358000,25445000,56920000,48737000,54042000,45113000,314850000,209447000,568168000,661377000,659662000,622385000,581889000,759598000,514542000,570721000,602562000,1204924000,1308000000,2326500000,1573800000,1224600000,2913700000,1331200000,2261400000
99,Cash at the Beginning of Period,- -,- -,- -,- -,27300000,33200000,12600000,56600000,85900000,74546000,54682000,45770000,62032000,70358000,25445000,56920000,48737000,54042000,350129000,314850000,209447000,568168000,661377000,659662000,622385000,581889000,759598000,514542000,570721000,602562000,1204900000,1308000000,2326500000,1573800000,1224600000,2913700000,1331200000
100,Free Cash Flow,- -,- -,- -,- -,-10600000,-400000,-2500000,33700000,36800000,-8784000,-40860000,-19097000,62082000,134234000,185961000,166824000,120824000,45522000,-82035000,358223000,571127000,642956000,736529000,1288538000,909252000,1451618000,1475566000,1618715000,-1163922000,2654364000,3073100000,3794700000,2588200000,5301600000,6409100000,3678000000,3345000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875045/000091205702012961/0000912057-02-012961-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000104746903011017/0001047469-03-011017-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013504001180/0000950135-04-001180-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013505001792/0000950135-05-001792-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013506001384/0000950135-06-001384-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013507000981/0000950135-07-000981-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013508001029/0000950135-08-001029-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013509000730/0000950135-09-000730-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095012310010528/0000950123-10-010528-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095012311009300/0000950123-11-009300-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000119312512039072/0001193125-12-039072-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504513000006/0000875045-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504514000004/0000875045-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504515000005/0000875045-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504516000042/0000875045-16-000042-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504517000009/0000875045-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000005/0000875045-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000006/0000875045-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504520000005/0000875045-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504521000010/0000875045-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504522000007/0000875045-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
