,https://roic.ai/company/UFI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,16900000,-14300000,304800000,-58700000,-9800000,29000000,-137100000,19900000,-6200000,6900000,-201200000,48100000,97842000,22358000,16800000,20400000,-41500000,14200000,-8500000,-9500000,-1300000,38500000,-46500000,-4615000,-10985000,-12660000,-1656000,30999000,21708000,1598000,8610000,24145000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-858000,4514000,4491000,-88000,1586000,-7529000,-2923000,- -,-40059000
79,Inventory,- -,- -,- -,- -,8700000,-1000000,-4900000,-19700000,4900000,-42800000,13600000,-10000000,-800000,16300000,-18088000,17221000,9899000,-4027000,2452000,35364000,-5844000,6451000,14144000,27681000,-19221000,-19269000,13140000,-394000,-2677000,-6171000,6843000,-8519000,-18198000,-15838000,15792000,-28069000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-498000,1083000,-3612000,-5710000,-1207000,8674000,-5813000,- -,40909000
81,Other Working Capital,- -,- -,- -,- -,82300000,68000000,372800000,314100000,304300000,333300000,196200000,216100000,209900000,216800000,15600000,63700000,161542000,183900000,200700000,221100000,179600000,193800000,185300000,175800000,174500000,213000000,166500000,161885000,150900000,138240000,136584000,167583000,189291000,190889000,199499000,223644000
82,Other Non-Cash Items,- -,- -,- -,- -,900000,7400000,-315500000,60800000,-12900000,-73200000,189100000,-56900000,-18300000,52100000,188447000,59637000,-47383000,32210000,20758000,24170000,40482000,92234000,11279000,40861000,-17707000,-78899000,58107000,5608000,17230000,-7983000,-2796000,-48049000,-38686000,-23454000,77710000,-40897000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,62900000,49300000,90100000,192400000,130800000,155300000,201500000,183800000,181700000,209800000,126467000,151632000,89661000,95709000,4580000,36477000,26751000,10897000,13087000,16619000,20581000,11880000,43309000,50509000,56357000,38903000,55975000,46062000,37335000,7284000,52724000,36681000
84,CAPEX,- -,- -,- -,- -,-17300000,-17300000,-66900000,-135000000,-104700000,-88900000,-182400000,-143200000,-275900000,-146000000,-58609000,-42337000,-10401000,-23527000,-12114000,-9422000,-11988000,-7840000,-12809000,-15259000,-13112000,-20539000,-6354000,-8809000,-19091000,-25966000,-52337000,-33190000,-25029000,-24871000,-18509000,-24783000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7953000,-2159000,- -,- -,- -,-1358000,-30634000,-43165000,-1063000,8500000,-4800000,- -,-356000,- -,- -,- -,- -,- -,- -,- -,60000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1800000,-134000000,-115600000,-151600000,-93700000,-60500000,- -,-39500000,- -,-16069000,-15537000,-11191000,- -,- -,- -,- -,- -,- -,-219000,- -,-867000,-360000,-1743000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2900000,- -,127100000,198900000,94400000,149000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1266000,8750000,1000,- -,- -,14000,694000,447000,124000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1100000,500000,900000,-5100000,3200000,22600000,13800000,1600000,-300000,-13600000,4499000,59811000,343000,11949000,4779000,6235000,35420000,6233000,3561000,17023000,-4125000,-16529000,-6156000,-8722000,-17316000,-22665000,-52892000,-33382000,-26875000,-24936000,-18426000,-24621000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-16200000,-15700000,-200000000,-128600000,-54200000,-65600000,-80100000,-141600000,-315700000,-159600000,-78132000,-222000,-21249000,-11578000,-7335000,-4545000,-7202000,-43506000,-1561000,25305000,-8925000,-17396000,-6858000,-9771000,-16869000,-22541000,-52892000,-33382000,-26875000,-24936000,41574000,-24621000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97345000,-7943000,-206212000,-153969000,-143530000,-176119000,-179261000,-166590000,-133150000,-118760000,-131319000,-157635000,-13646000
91,Common Stock Issued,- -,- -,- -,- -,100000,400000,- -,500000,900000,700000,200000,5800000,4800000,700000,14000,- -,105000,- -,- -,104000,176000,- -,411000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-39600000,- -,- -,-2100000,-83800000,-55600000,-121000000,-20200000,-39300000,-48909000,-16574000,-16000,-2939000,-8380000,-2000,- -,- -,- -,- -,-4995000,-1000,- -,-19315000,-38205000,-10360000,-6211000,- -,-206000,-802000,-2516000,-111000
93,Dividends Paid,- -,- -,- -,- -,- -,-7400000,-21300000,-25900000,-39100000,-27700000,-34200000,-27900000,-34300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-13800000,-4000000,246900000,-103100000,-32100000,100000,-67500000,87000000,183400000,26600000,-20960000,-149816000,-55753000,-26194000,601000,-20000,-90350000,35866000,-35417000,80586000,-368000,192184000,104135000,120912000,181914000,171431000,176443000,139654000,120269000,127495000,122229000,882000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-13700000,-50600000,225600000,-128500000,-72400000,-110700000,-157100000,-56100000,133700000,-12000000,-69855000,-166390000,-55664000,-29133000,-7779000,82000,-90174000,35866000,-35006000,-16759000,-13306000,-14029000,-49834000,-41933000,-32410000,-18190000,3642000,6504000,1303000,-4626000,-37922000,-12875000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,500000,-2200000,1600000,-3500000,400000,700000,-100000,-1000000,-900000,-2100000,-4135000,2836000,-277000,2698000,-1046000,8386000,321000,1457000,3697000,-2754000,1682000,4344000,-3221000,-936000,74000,-4066000,-92000,-405000,-2298000,-384000,-3337000,3801000
97,Net Change In Cash,- -,- -,- -,- -,-13700000,-50600000,225600000,-128500000,-72400000,-110700000,-157100000,-56100000,133700000,36000000,-25655000,-12144000,12471000,57696000,-11580000,40400000,-70304000,4714000,-19783000,22411000,32000,-15201000,-16604000,-2131000,7152000,-5894000,6633000,18779000,9465000,-22662000,53039000,2986000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44400000,18778000,6634000,19105000,76801000,65221000,105621000,35317000,40031000,20248000,42659000,42691000,27490000,10886000,8755000,15907000,10013000,16646000,35425000,44890000,22228000,75267000,78253000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2400000,36000000,127800000,137800000,76100000,80700000,60400000,24500000,9500000,8400000,44433000,18778000,6634000,19105000,76801000,65221000,105621000,35317000,40031000,20248000,42659000,42691000,27490000,10886000,8755000,15907000,10013000,16646000,35425000,44890000,22228000,75267000
100,Free Cash Flow,- -,- -,- -,- -,45600000,32000000,23200000,57400000,26100000,66400000,19100000,40600000,-94200000,63800000,67858000,109295000,79260000,72182000,-7534000,27055000,14763000,3057000,278000,1360000,7469000,-8659000,36955000,41700000,37266000,12937000,3638000,12872000,12306000,-17587000,34215000,11898000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100726/000090660194000011/0000906601-94-000011-index.html,https://www.sec.gov/Archives/edgar/data/100726/000090660195000012/0000906601-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/100726/000090660196000015/0000906601-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/100726/000090660197000006/0000906601-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/100726/000090660198000003/0000906601-98-000003-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095016899002495/0000950168-99-002495-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095013100005477/0000950131-00-005477-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014401507120/0000950144-01-507120-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014402009873/0000950144-02-009873-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014403010968/0000950144-03-010968-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014404009181/0000950144-04-009181-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014405009800/g97237e10vk.htm,https://www.sec.gov/Archives/edgar/data/100726/000095014406008601/unifiinc.htm,https://www.sec.gov/Archives/edgar/data/100726/000095014407008447/0000950144-07-008447-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014408007030/0000950144-08-007030-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095012309042629/0000950123-09-042629-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095012310085111/0000950123-10-085111-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774911006738/0001437749-11-006738-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774912009028/0001437749-12-009028-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774913011848/0001437749-13-011848-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774914016793/0001437749-14-016793-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774915016818/0001437749-15-016818-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774916038127/ufi20160625_10k.htm,https://www.sec.gov/Archives/edgar/data/100726/000156459017018240/0001564590-17-018240-index.html,https://www.sec.gov/Archives/edgar/data/100726/000156459018022208/0001564590-18-022208-index.html,https://www.sec.gov/Archives/edgar/data/100726/000156459019033600/ufi-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/100726/000156459020041350/0001564590-20-041350-index.htm,https://www.sec.gov/Archives/edgar/data/100726/000156459021045705/0001564590-21-045705-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
