,https://roic.ai/company/AMS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1265000,1265000
40,Intangible Assets,- -,- -,6600000,6700000,10300000,9700000,9100000,8500000,2600000,2100000,1400000,1200000,1038000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000,78000
41,Intangible Assets,- -,- -,6600000,6700000,10300000,9700000,9100000,8500000,2600000,2100000,1400000,1200000,1038000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1343000,1343000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2617000,2617000,2617000,2656000,2687000,2701000,2709000,579000,579000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,478000
44,Other Non-Current Assets,300000,400000,900000,3200000,4000000,3800000,2300000,1000000,1800000,1200000,1600000,600000,563000,183000,235000,209000,243000,231000,174000,162000,2969000,5614000,3969000,254000,241000,288000,997000,1003000,9954000,536000,405000,300000,792000,862000,1561000,137000,-386000
45,Total Non-Current Assets,9100000,7400000,22100000,23400000,51400000,55900000,61100000,51000000,42100000,35400000,22700000,25200000,21703000,11962000,22291000,24958000,27597000,31409000,33002000,34434000,37959000,39780000,48195000,46734000,46147000,50265000,56920000,57367000,64036000,53281000,48107000,52210000,49283000,47556000,43041000,32803000,30343000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13300000,10700000,36000000,61400000,75700000,74400000,75700000,61400000,50200000,44300000,31300000,33000000,30209000,26919000,36986000,40209000,42385000,44830000,46304000,47106000,48668000,50905000,63044000,62196000,60621000,65340000,74535000,73323000,71742000,67528000,54114000,60598000,58176000,57502000,53783000,43653000,45430000
48,Accounts Payable,- -,- -,- -,- -,3200000,4400000,5300000,5100000,8200000,4500000,3500000,3700000,3693000,338000,101000,81000,412000,145000,371000,282000,555000,340000,795000,262000,318000,337000,278000,263000,572000,421000,375000,319000,359000,435000,557000,683000,746000
49,Short-Term Debt,3400000,2900000,8100000,4000000,12300000,14300000,10400000,34100000,45400000,26800000,9500000,13200000,10929000,1885000,2545000,4126000,4305000,5490000,6803000,6562000,6377000,9876000,12372000,14133000,6705000,6073000,7616000,7674000,8771000,14888000,7005000,7078000,7273000,6526000,5989000,7407000,1450000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000,373000,96000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140000
52,Other Current Liabilities,600000,700000,5200000,6400000,3000000,3500000,2900000,4400000,11100000,11000000,2400000,1800000,1923000,3646000,924000,889000,720000,611000,860000,1111000,1354000,1450000,935000,1272000,954000,1034000,2050000,1716000,2442000,942000,1318000,1284000,1375000,2513000,1668000,4290000,3555000
53,Total Current Liabilities,4000000,3600000,13300000,10400000,18500000,22200000,18600000,43600000,64700000,42300000,15400000,18700000,16545000,5869000,3570000,5096000,5437000,6246000,8034000,7955000,8286000,11666000,14102000,15667000,7977000,7444000,9944000,9653000,11785000,16251000,8698000,8681000,9007000,9474000,8214000,12380000,5891000
54,Long-Term Debt,4900000,2600000,16700000,38900000,48200000,46800000,49700000,19800000,3100000,24200000,26100000,23900000,11936000,8792000,19887000,20300000,21615000,22006000,20114000,18924000,18705000,11378000,21285000,16386000,19736000,8803000,11428000,22387000,19580000,8586000,6923000,5106000,3598000,3332000,1954000,6995000,14682000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,874000,719000,610000,504000,382000,286000,210000,140000
56,Deferred Tax Liabilities,- -,- -,100000,300000,200000,200000,200000,200000,200000,200000,200000,200000,164000,- -,- -,- -,383000,590000,1096000,366000,828000,1996000,2245000,2538000,2920000,3182000,3435000,3280000,3372000,3473000,3404000,4176000,2910000,2958000,2514000,418000,478000
57,Other Non-Current Liabilities,- -,-100000,-100000,100000,- -,100000,- -,- -,- -,-100000,- -,100000,9929000,431000,- -,- -,- -,- -,- -,- -,- -,3811000,2719000,4667000,7233000,22867000,24557000,13173000,12950000,12190000,9190000,14852000,12272000,10308000,9004000,- -,4346000
58,Total Non-Current Liabilities,4900000,2500000,16700000,39300000,48400000,47100000,49900000,20000000,3300000,24300000,26300000,24200000,22029000,9223000,19887000,20300000,21998000,22596000,21210000,19290000,19533000,17185000,26249000,23591000,29889000,34852000,39420000,38840000,35902000,25123000,20236000,24744000,19284000,16980000,13758000,7623000,19646000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3811000,2719000,5959000,9044000,16966000,20383000,16915000,16917000,16293000,13521000,19725000,17086000,14715000,12992000,9805000,- -
61,Total Liabilities,8900000,6100000,30000000,49700000,66900000,69300000,68500000,63600000,68000000,66600000,41700000,42900000,38574000,15092000,23457000,25396000,27435000,28842000,29244000,27245000,27819000,28851000,40351000,39258000,37866000,42296000,49364000,48493000,47687000,41374000,28934000,33425000,28291000,26454000,21972000,20003000,25537000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11089000,11087000,10036000,9746000,9240000,9173000,9198000,9238000,9306000,- -,- -,- -,- -,- -,- -,8578000,8578000,10376000,10376000,10596000,10711000,10711000,10753000,10753000,10758000
64,Retained Earnings,200000,400000,1300000,2800000,- -,-3600000,-1600000,-11100000,-26700000,-31900000,-24600000,-24900000,-23386000,-3335000,-628000,684000,1391000,2055000,2670000,3898000,4740000,5441000,5916000,6393000,6205000,6262000,6768000,6806000,6494000,5542000,4020000,4950000,6873000,7896000,8555000,1497000,1691000
65,Other Comprehensive Income/Loss,-5200000,-6900000,-7800000,-10000000,-28300000,-32800000,-28700000,-30000000,-35200000,-18200000,-14000000,-18500000,-21983000,-5097000,-5397000,-7237000,-7360000,-10858000,-15137000,-20001000,-25409000,-31314000,-31982000,-33897000,-36898000,-36660000,-35336000,-357000,-442000,- -,-47661000,-53549000,-51666000,-54008000,-55461000,- -,- -
66,Other Total Stockholders Equity,9400000,11100000,12500000,18900000,37100000,41500000,37500000,38900000,44100000,27800000,28200000,33500000,25915000,9172000,9518000,11620000,11679000,14170000,18598000,24411000,29683000,47927000,48759000,50442000,53448000,53442000,53739000,4902000,4990000,5508000,53395000,59498000,57938000,60503000,62186000,7024000,7444000
67,Total Stockholders Equity,4400000,4600000,6000000,11700000,8800000,5100000,7200000,-2200000,-17800000,-22300000,-10400000,-9900000,-8365000,11827000,13529000,14813000,14950000,14540000,15329000,17546000,18320000,19009000,19540000,19728000,19404000,19571000,20202000,19929000,19620000,21426000,20130000,21495000,23856000,25102000,26033000,19274000,19893000
68,Total Liabilities And Stockholders Equity,13300000,10700000,36000000,61400000,75700000,74400000,75700000,61400000,50200000,44300000,31300000,33000000,30209000,26919000,36986000,40209000,42385000,43382000,44573000,44791000,46139000,47860000,59891000,58986000,57270000,61867000,69566000,68422000,67307000,62800000,49064000,54920000,52147000,51556000,48005000,39277000,45430000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1448000,1731000,2315000,2529000,3045000,3153000,3210000,3351000,3473000,4969000,4901000,4435000,4728000,5050000,5678000,6029000,5946000,5778000,4376000,- -
70,Total Liabilities & Equity,13300000,10700000,36000000,61400000,75700000,74400000,75700000,61400000,50200000,44300000,31300000,33000000,30209000,26919000,36986000,40209000,42385000,44830000,46304000,47106000,48668000,50905000,63044000,62196000,60621000,65340000,74535000,73323000,71742000,67528000,54114000,60598000,58176000,57502000,53783000,43653000,45430000
