,https://roic.ai/company/AZN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,553605185,185247558,142568972,13312822,-78170192,-10816491,-145562900,517423792,552742966,-225888120,-570558012,433457187,-202000000,-115000000,239000000,131000000,1044000000,403000000,150000000,-115000000,-933000000,-201000000,-3616000000,-1066000000,-1452000000,-160000000,768000000,1329000000,2215000000,906000000,-501000000,-455000000
89,Cash Used for Investing Activites,-65583890,-203959433,-266937649,-389030235,-450260307,-648989431,-548001507,-573629571,-906299278,-1006503171,-1293463974,-1899745376,-1543000000,-1517000000,-941000000,-1182000000,-272000000,-14887000000,-3896000000,-2476000000,-2340000000,-2022000000,-1859000000,-2889000000,-7032000000,-4239000000,-3969000000,-2328000000,963000000,-657000000,-285000000,-11058000000
90,Debt Repayment,-555534123,-260095056,-109201765,-1270634874,-903647421,-20087768,-61650170,-64471335,-162669101,-53973081,-103058908,-273762434,- -,- -,- -,- -,- -,-1165000000,- -,-787000000,-1749000000,- -,-1750000000,- -,-750000000,-1514000000,-303000000,-1414000000,-1498000000,-1500000000,-1609000000,-4759000000
91,Common Stock Issued,- -,- -,- -,1998402461,4690212,9271278,5137514,24796667,11619222,21989453,19416896,122363512,- -,- -,102000000,143000000,985000000,218000000,159000000,135000000,494000000,409000000,429000000,482000000,279000000,43000000,47000000,43000000,34000000,3525000000,30000000,29000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-182910573,-353984944,-1545098586,-1154000000,-1107000000,-2110000000,-3001000000,-4147000000,-4170000000,-610000000,- -,-2604000000,-6015000000,-2635000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1234000000,-1222000000,-1378000000,-1717000000,-2220000000,-2641000000,-2739000000,-2977000000,-3361000000,-3764000000,-3665000000,-3461000000,-3521000000,-3486000000,-3561000000,-3519000000,-3484000000,-3592000000,-3572000000,-3856000000
94,Other Financing Activites,- -,-1871187,200203237,-56209692,93804231,84986711,-10275028,-13224889,-8299444,32983370,37340184,325611380,-924000000,426000000,-237000000,3000000,16000000,13809000000,-3172000000,- -,- -,49000000,2698000000,-68000000,1287000000,5835000000,2493000000,1954000000,2904000000,-198000000,2948000000,12235000000
95,Cash Used/Provided by Financing Activities,-555534123,-261966244,91001471,671557896,-805152979,74170221,-66787684,-52899557,-159349324,-181910832,-400286773,-1370886128,-3312000000,-1903000000,-3623000000,-4572000000,-5366000000,6051000000,-6362000000,-3629000000,-7220000000,-9321000000,-4923000000,-3047000000,-2705000000,878000000,-1324000000,-2936000000,-2044000000,-1765000000,-2203000000,3649000000
96,Effect of Forex Changes on Cash,3857876,7484750,-31850515,-8875214,-9380423,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,-21000000,39000000,64000000,-88000000,71000000,33000000,-25000000,-4000000,-65000000,-152000000,-76000000,21000000,-66000000,-38000000,5000000,12000000,-62000000
97,Net Change In Cash,189035917,46779686,-1516691,979231998,-639432172,10816491,172962976,120677114,-185907544,-279861201,642251165,-564116531,-22000000,-4000000,309000000,968000000,2094000000,-1262000000,-1604000000,5705000000,1153000000,-3547000000,162000000,1399000000,-2831000000,-113000000,-1127000000,-1752000000,1499000000,552000000,2323000000,-1508000000
98,Cash at the End of Period,254619806,293776431,236603825,1209987575,639432172,-166882996,46237627,895986246,336957424,2907569238,4238857689,5006534211,726000000,733000000,1055000000,4895000000,6989000000,5727000000,4123000000,9828000000,10981000000,7434000000,7596000000,8995000000,6164000000,6051000000,4924000000,3172000000,4671000000,5223000000,7546000000,6038000000
99,Cash at the Beginning of Period,65583890,246996744,238120516,230755577,1278864343,-177699487,-126725348,775309132,522864968,3187430439,3596606524,5570650742,748000000,737000000,746000000,3927000000,4895000000,6989000000,5727000000,4123000000,9828000000,10981000000,7434000000,7596000000,8995000000,6164000000,6051000000,4924000000,3172000000,4671000000,5223000000,7546000000
100,Free Cash Flow,266193434,119755997,-200203237,242589196,132889327,154521293,148987910,-8265556,34857665,-1843094021,875253913,443826976,3493000000,2134000000,3810000000,5933000000,6354000000,5831000000,4703000000,8782000000,8499000000,6524000000,2329000000,5342000000,4306000000,536000000,1831000000,1958000000,1247000000,509000000,2193000000,3763000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/901832/000095010304000383/0000950103-04-000383-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010305000478/0000950103-05-000478-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010306000565/0000950103-06-000565-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010307000768/0000950103-07-000768-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010308000636/0000950103-08-000636-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010309000555/0000950103-09-000555-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010310000863/0000950103-10-000863-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010311001574/0000950103-11-001574-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010312001564/0000950103-12-001564-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010313001915/0000950103-13-001915-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010314001994/0000950103-14-001994-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010315001933/0000950103-15-001933-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010316011733/0000950103-16-011733-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010317002275/0000950103-17-002275-index.htm,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
