,https://roic.ai/company/HUBB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-3600000,-5200000,9300000,-21000000,3500000,-17300000,-12300000,1300000,-27300000,-2200000,25000000,-11400000,58500000,68300000,52900000,-9100000,-13200000,-86300000,24200000,6900000,98700000,-32600000,-16400000,-11800000,-25900000,-46900000,-80800000,18400000,-90300000,34200000,12200000,50700000,-138000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21500000,-41200000,22600000,195000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,112800000,305200000,335800000,339900000,219800000,209400000,130600000,224400000,341600000,420900000,483100000,459600000,432100000,368500000,494100000,499400000,781100000,861400000,1008800000,1165400000,1130200000,784700000,961700000,898000000,804400000,729300000,639400000,814000000
82,Other Non-Cash Items,- -,- -,- -,- -,2600000,-3000000,16100000,-16000000,43300000,-137800000,-200500000,-20800000,-17500000,87800000,-20700000,7300000,20800000,-71100000,-15800000,-97900000,-14300000,-57500000,134000000,-105400000,99100000,-341600000,-115300000,-192500000,-191100000,-15300000,303900000,-194900000,91800000,28900000,92300000,201900000,-207600000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,95900000,99400000,129300000,85200000,118500000,121800000,152600000,189200000,148600000,190400000,176000000,123800000,199300000,179400000,243600000,185000000,184100000,139900000,335200000,319200000,397700000,266200000,335000000,349100000,381800000,391500000,331100000,398200000,379000000,517100000,591600000,648000000,513000000
84,CAPEX,- -,- -,- -,- -,-21500000,-55900000,-23100000,-62900000,-25100000,-163200000,-38200000,-39100000,-81700000,-164500000,-92000000,-48600000,-28600000,-21900000,-27600000,-39100000,-73400000,-86800000,-55900000,-49400000,-29400000,-47300000,-55400000,-49100000,-58800000,-60300000,-77100000,-67200000,-79700000,-96200000,-93900000,-88400000,-90000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43600000,-13700000,-270200000,- -,- -,-54300000,-145700000,-52900000,-267400000,-355800000,- -,-29600000,-83900000,-96500000,-183800000,-163400000,-173400000,-184100000,-1118000000,-37400000,-239600000,- -
86,Purchases of Investments,- -,- -,- -,- -,-10700000,-4900000,-48500000,-103900000,-41300000,-11500000,-13600000,-9800000,-50800000,-31600000,- -,-5600000,-104900000,-53100000,-71300000,-415000000,-238600000,-153600000,-41200000,-16600000,-5200000,-25400000,-23800000,-9500000,-11100000,-17600000,-24500000,-20000000,-20900000,-16600000,-14100000,-35100000,-11000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,13100000,5300000,24700000,3500000,17000000,47200000,47400000,15200000,15400000,39800000,- -,19400000,162200000,97800000,82300000,329000000,319700000,317400000,38600000,20800000,14700000,14900000,9400000,19400000,10500000,12100000,13800000,13300000,17400000,20500000,12500000,28900000,-11000000
88,Other Investing Activites,- -,- -,- -,- -,-100000,1300000,-52400000,-2400000,-21700000,1400000,2100000,-40500000,14800000,-40600000,25800000,92900000,17600000,9900000,11000000,16400000,16200000,2000000,5700000,-43200000,-26800000,-44200000,-42500000,-42100000,-54000000,-53300000,-75100000,-49900000,-58000000,-87300000,-89900000,-83000000,-50000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-19200000,-54200000,-99300000,-165700000,-71100000,-126100000,-2300000,-74200000,-102300000,-196900000,-66200000,14500000,32600000,-237500000,-5600000,-108700000,-30400000,-66700000,-105700000,-306400000,-373100000,-54700000,-86500000,-116100000,-151100000,-242600000,-249200000,-230000000,-245600000,-1201400000,-128900000,-328800000,-72000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39400000,- -,-204400000,- -,-3100000,-100000,-800000,-2000000,-51500000,-311600000,-206800000,-225800000,-334900000,-300000000
91,Common Stock Issued,- -,- -,- -,- -,2700000,6300000,2800000,2200000,1900000,3500000,3100000,5900000,8400000,10900000,9900000,4100000,5800000,11500000,26500000,30500000,32800000,38500000,48000000,- -,122000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-12200000,-9800000,- -,-4700000,- -,-200000,-6600000,-5600000,-21800000,-82800000,-57400000,-142800000,-9900000,- -,-5300000,-6200000,-62700000,-95100000,-193100000,-96600000,- -,-23300000,-137700000,-75600000,-31000000,-105500000,-79100000,-246800000,-92500000,-40000000,-35000000,-41300000,-11000000
93,Dividends Paid,- -,- -,- -,- -,-33000000,-39500000,-44500000,-48700000,-50600000,-52600000,-58600000,-65300000,-73700000,-79700000,-82200000,-81200000,-77400000,-77800000,-78400000,-79900000,-80600000,-80100000,-78400000,-76900000,-78900000,-86700000,-90100000,-122300000,-109500000,-121200000,-133700000,-144000000,-157600000,-172300000,-186600000,-201400000,-216000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-100000,100000,68300000,17300000,48200000,-40100000,-2600000,-18400000,113000000,13800000,132400000,-191800000,131000000,- -,- -,-71600000,-2900000,23100000,306600000,6700000,359900000,29500000,39300000,9700000,11900000,-156300000,395500000,347400000,925600000,-23600000,333400000,94000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-42500000,-43100000,-41600000,17100000,-31400000,-1100000,-102200000,-67600000,-105500000,-38600000,-115900000,-87500000,-273300000,64700000,-57200000,-55600000,-182100000,-139600000,-200400000,93700000,49800000,45500000,-198300000,-161700000,-130900000,-215600000,-371100000,-46800000,-214300000,506500000,-471000000,-244200000,-433000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,-900000,1100000,3100000,-5800000,5900000,5200000,-1300000,4100000,-4100000,-20100000,-21200000,-27300000,18300000,-8200000,1300000,2600000,-3000000
97,Net Change In Cash,- -,- -,- -,- -,-42500000,-43100000,-41600000,17100000,-31400000,-1100000,-102200000,-67600000,-105500000,-38600000,-6100000,50800000,-41400000,6600000,180800000,21700000,-29300000,-65300000,32200000,100700000,80300000,262200000,48900000,75400000,95700000,-86800000,-310400000,94100000,-62600000,-186000000,-7000000,77600000,28000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,74800000,33400000,40000000,220800000,125900000,110600000,45300000,77500000,178200000,258500000,520700000,569600000,645000000,740700000,653900000,343500000,437600000,375000000,189000000,182000000,259600000,286000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,66800000,101400000,103300000,91600000,28300000,44200000,38900000,87000000,134400000,75200000,30100000,24000000,74800000,33400000,40000000,104200000,139900000,110600000,45300000,77500000,178200000,258500000,520700000,569600000,645000000,740700000,653900000,343500000,437600000,375000000,189000000,182000000,258000000
100,Free Cash Flow,- -,- -,- -,- -,74400000,43500000,106200000,22300000,93400000,-41400000,114400000,150100000,66900000,25900000,84000000,75200000,170700000,157500000,216000000,145900000,110700000,53100000,279300000,269800000,368300000,218900000,279600000,300000000,323000000,331200000,254000000,331000000,299300000,420900000,497700000,559600000,423000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/48898/0000950123-95-000657-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/48898/000095012399002453/0000950123-99-002453-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/48898/000095012302002711/0000950123-02-002711-index.html,https://www.sec.gov/Archives/edgar/data/48898/000095012303003143/0000950123-03-003143-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012304002915/0000950123-04-002915-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012305002855/0000950123-05-002855-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012306002794/0000950123-06-002794-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012307002818/0000950123-07-002818-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012308002047/0000950123-08-002047-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012309003185/0000950123-09-003185-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012310014554/0000950123-10-014554-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012311014739/0000950123-11-014739-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000130817912000024/0001308179-12-000024-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000130817913000027/0001308179-13-000027-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000130817914000038/0001308179-14-000038-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828015000853/0001628280-15-000853-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828016011342/0001628280-16-011342-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828017001423/0001628280-17-001423-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828018001740/0001628280-18-001740-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828019001446/0001628280-19-001446-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828020001557/0001628280-20-001557-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828021001868/0001628280-21-001868-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828022002255/0001628280-22-002255-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
