,https://roic.ai/company/JOUT,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,100000,-22300000,-9200000,-6300000,-32200000,-8200000,-45000000,16700000,29400000,22100000,-16600000,60026000,-46322000,-34118000,-21723000,20852000,12668000,-8136000,-13671000,16286000,82858000,-9597000,-10018000,-11076000,-3353000,-3236000,3850000,13340000,-23547000,-39623000,-63844000,-60107000,850000
83,Cash Provided by Operating Activities,- -,- -,15000000,12000000,5500000,14200000,-3800000,7500000,-6300000,-6500000,20000000,20500000,27800000,1675000,15472000,33804000,-3483000,22157000,26257000,7530000,1394000,4900000,30615000,19751000,30980000,31764000,30003000,33218000,18056000,43434000,46350000,63358000,45844000,61493000,58318000
84,CAPEX,- -,- -,-10500000,-37500000,-29700000,-9400000,-5300000,-12300000,-40200000,-10700000,-10800000,-27000000,-27900000,-14075000,-9765000,-7697000,-9767000,-7844000,-6803000,-8865000,-13418000,-12424000,-8321000,-9966000,-9367000,-12032000,-16333000,-13263000,-10409000,-11702000,-11613000,-19152000,-16786000,-15600000,-21409000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-864000,-573000,- -,- -,-28187000,- -,-9863000,-9409000,-6329000,-1005000,- -,-3969000,- -,-15420000,- -,- -,-9152000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46607000,-34789000,-7124000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52682000,35838000,- -,- -
88,Other Investing Activites,- -,- -,-1700000,1800000,4000000,-3700000,-100000,48100000,- -,3600000,-20700000,2700000,700000,34964000,730000,64477000,187000,532000,422000,139000,78000,534000,-6598000,695000,13000,1243000,-16333000,-11887000,-10394000,-11589000,-11401000,-17845000,-16725000,-15587000,-21381000
89,Cash Used for Investing Activites,- -,- -,-12200000,-35700000,-25700000,-13100000,-5400000,35800000,-40200000,-7100000,-31500000,-24300000,-27200000,20025000,-9608000,56780000,-9580000,-35499000,-6381000,-18589000,-22749000,-18219000,-15924000,-9271000,-13323000,-10789000,-31753000,-11887000,-10394000,-20741000,-58008000,48000,11989000,-15587000,-21381000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000000,-17001000,-20803000,-60022000,-7883000,-1292000,-6112000,-528000,-542000,-360000,-332000,-7376000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,400000,300000,300000,300000,500000,1600000,100000,100000,- -,- -,100000,97000,71000,1536000,1994000,1887000,1230000,- -,- -,- -,- -,484000,323000,963000,712000,638000,202000,271000,47000,153000,79000,126000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107000,-886000,-605000,-865000,-1506000,-663000,-675000,-708000,-460000,-495000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-498000,-2000000,-501000,- -,- -,- -,- -,-2955000,-2966000,-3169000,-3559000,-4350000,-5557000,-6773000,-8400000
94,Other Financing Activites,- -,- -,-4500000,17300000,22700000,-5700000,10000000,-34300000,39400000,17500000,7300000,8200000,-1000000,-12618000,-7927000,-9968000,-8044000,-9572000,-16223000,182000,22753000,38331000,27805000,-173000,-7679000,- -,-339000,-34000,- -,- -,- -,-63000,- -,- -,-138000
95,Cash Used/Provided by Financing Activities,- -,- -,-4100000,17600000,23000000,-5400000,10500000,-32700000,39500000,17600000,6900000,7800000,-900000,-12521000,-7856000,-8432000,-6050000,-7685000,-14993000,-12818000,5254000,15528000,-32718000,-7572000,-8648000,-5256000,-1041000,-3498000,-3989000,-4736000,-11551000,-4935000,-6186000,-7107000,-9033000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-300000,800000,-500000,500000,300000,-300000,-1000000,300000,-600000,-1790000,698000,2609000,7193000,1689000,-2344000,3455000,3644000,350000,4131000,2513000,2189000,-1329000,-419000,-2734000,-5307000,178000,-275000,-404000,-1142000,1256000,107000
97,Net Change In Cash,- -,- -,-4100000,17600000,23000000,-5400000,10500000,-32700000,39500000,17600000,6900000,7800000,-900000,7389000,-1294000,84761000,-11920000,-19338000,2539000,-20422000,-12457000,2559000,-13896000,5421000,11198000,14390000,-3210000,15099000,-1634000,18135000,-23484000,58067000,50505000,40055000,28011000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10600000,17363000,16069000,100830000,88910000,69572000,72111000,51689000,39232000,41791000,27895000,33316000,44514000,58904000,55694000,70793000,69159000,87294000,63810000,121877000,172382000,212437000,240448000
99,Cash at the Beginning of Period,- -,- -,12800000,15700000,9600000,12100000,3500000,4400000,15600000,8900000,12700000,7100000,11500000,9974000,17363000,16069000,100830000,88910000,69572000,72111000,51689000,39232000,41791000,27895000,33316000,44514000,58904000,55694000,70793000,69159000,87294000,63810000,121877000,172382000,212437000
100,Free Cash Flow,- -,- -,4500000,-25500000,-24200000,4800000,-9100000,-4800000,-46500000,-17200000,9200000,-6500000,-100000,-12400000,5707000,26107000,-13250000,14313000,19454000,-1335000,-12024000,-7524000,22294000,9785000,21613000,19732000,13670000,19955000,7647000,31732000,34737000,44206000,29058000,45893000,36909000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/788329/000089706994000123/0000897069-94-000123-index.html,https://www.sec.gov/Archives/edgar/data/788329/000095012495004168/0000950124-95-004168-index.html,https://www.sec.gov/Archives/edgar/data/788329/000089706996000437/0000897069-96-000437-index.html,https://www.sec.gov/Archives/edgar/data/788329/000089706997000511/0000897069-97-000511-index.html,https://www.sec.gov/Archives/edgar/data/788329/000089706998000629/0000897069-98-000629-index.html,- -,https://www.sec.gov/Archives/edgar/data/788329/000089706900000629/0000897069-00-000629-index.html,https://www.sec.gov/Archives/edgar/data/788329/000089706901500687/0000897069-01-500687-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/788329/000089706904002137/cmw1083.htm,https://www.sec.gov/Archives/edgar/data/788329/000104216705000492/johnsonoutsept302005form10k.htm,https://www.sec.gov/Archives/edgar/data/788329/000104216706000487/josept292006form10k.htm,https://www.sec.gov/Archives/edgar/data/788329/000104216707000367/0001042167-07-000367-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216709000004/0001042167-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216709000208/0001042167-09-000208-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216710000260/0001042167-10-000260-index.html,- -,https://www.sec.gov/Archives/edgar/data/788329/000104216712000163/0001042167-12-000163-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216713000205/0001042167-13-000205-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216714000166/0001042167-14-000166-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216715000175/0001042167-15-000175-index.html,https://www.sec.gov/Archives/edgar/data/788329/000114036116089543/0001140361-16-089543-index.html,https://www.sec.gov/Archives/edgar/data/788329/000114036117045474/0001140361-17-045474-index.html,https://www.sec.gov/Archives/edgar/data/788329/000114036118044715/0001140361-18-044715-index.html,https://www.sec.gov/Archives/edgar/data/788329/000114036119022062/0001140361-19-022062-index.html,https://www.sec.gov/Archives/edgar/data/788329/000114036120028143/0001140361-20-028143-index.htm,https://www.sec.gov/Archives/edgar/data/788329/000114036121041217/0001140361-21-041217-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
