,https://roic.ai/company/BBBY,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55612000,-80877000,-86287000,-85482000,-23108000
94,Other Financing Activites,600000,-41300000,13300000,3500000,-11900000,-5000000,- -,- -,- -,- -,- -,- -,-21215000,-6667000,-3985000,7334000,5990000,3652000,106033000,128644000,176251000,61398000,62104000,1538307000,11833000,21907000,9879000,- -,2346000,228710000
95,Cash Used/Provided by Financing Activities,600000,-5500000,14100000,5100000,-8800000,2900000,7900000,18300000,7797000,37756000,25753000,24216000,53382000,-325738000,-567276000,-250275000,-705531000,-26750000,11176000,-558961000,-1041705000,-965393000,-1221891000,-712290000,-1088752000,-580727000,-323431000,-238584000,-182846000,-632304000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13269000,-7801000,3624000,-4035000,-7181000,-977000,5075000
97,Net Change In Cash,600000,-5500000,14100000,5100000,-8800000,2900000,7900000,18300000,53635000,95297000,190168000,86174000,309345000,-72392000,25589000,-34316000,10703000,444125000,427891000,87487000,-180421000,-438195000,-198455000,509058000,-360001000,-27244000,-142189000,162831000,493679000,383574000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,144031000,239328000,429496000,515670000,825015000,222108000,247697000,213381000,224084000,668209000,1096100000,1183587000,1003166000,564971000,366516000,875574000,515573000,488329000,346140000,529971000,1023650000,1407224000
99,Cash at the Beginning of Period,100000,600000,10100000,2700000,6500000,10300000,38800000,53300000,90396000,144031000,239328000,429496000,515670000,294500000,222108000,247697000,213381000,224084000,668209000,1096100000,1183587000,1003166000,564971000,366516000,875574000,515573000,488329000,367140000,529971000,1023650000
100,Free Cash Flow,-200000,15000000,-21500000,-1300000,12600000,25600000,6600000,18700000,45838000,57541000,216324000,284063000,435443000,425668000,440041000,296131000,256326000,368111000,751727000,803933000,981910000,838308000,1066006000,855211000,683789000,668214000,483896000,592912000,313540000,85031000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886158/000095012300005455/0000950123-00-005455-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/886158/000095012303006624/0000950123-03-006624-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465904014261/0001104659-04-014261-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465905022926/0001104659-05-022926-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465906034196/0001104659-06-034196-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465907034862/0001104659-07-034862-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465908028282/0001104659-08-028282-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465909026769/0001104659-09-026769-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465910022152/0001104659-10-022152-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465911022393/0001104659-11-022393-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465912027814/0001104659-12-027814-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465913035115/0001104659-13-035115-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184314001962/0001171843-14-001962-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184315002257/0001171843-15-002257-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184316009400/0001171843-16-009400-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184317002300/0001171843-17-002300-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184318003340/0001171843-18-003340-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000088615819000012/0000886158-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000088615820000008/0000886158-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000088615821000015/0000886158-21-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
