,https://roic.ai/company/QDEL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,300000,500000,3600000,5500000,1200000,5900000,600000,200000,2907000,1812000,780000,6479000,6484000,5717000,3697000,2792000,3345000,1858000,1151000,59243000,4664000,7928000,4781000,2911000,8575000,25426000,17047000,14782000,9613000,7550000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11564000,-17858000,-19813000,-33512000,-9181000,-626000,-3407000,-2157000,-1956000,-30934000,-20168000,-541000,-4344000,-10728000,-47889000,-103438000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-300000,400000,6900000,-2700000,-700000,-1200000,-200000,- -,-1269000,-670000,-3078000,-454000,-519000,-590000,-537000,358000,6476000,1369000,73852000,12000,61000,1399000,165676000,-152000,-207000,245821000,-54818000,-48777000,-48044000,-77029000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-100000,800000,9400000,2800000,500000,4700000,400000,- -,854000,1142000,-2298000,6025000,5965000,5127000,-8404000,-14708000,-12093000,-30523000,62617000,28349000,-37509000,1790000,168060000,-28684000,-16799000,270608000,-244058000,-98282000,-130277000,-173177000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,-563000,70000,236000,83000,-73000,29000,- -,- -,- -,- -,- -,- -,-5000,2000,-17000,-9000,20000,367000,106000,1002000,-352000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-100000,800000,9400000,2800000,-1300000,4700000,400000,- -,-2771000,1495000,-486000,22717000,10695000,-1392000,1695000,8864000,12419000,31095000,-82215000,54544000,-46476000,-6468000,192507000,-9424000,-21963000,-133422000,7609000,9080000,437166000,312810000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,- -,- -,- -,1901000,3396000,2910000,25627000,36322000,34930000,36625000,45489000,57908000,89003000,6788000,61332000,14856000,8388000,200895000,191471000,169508000,36086000,43695000,52775000,489941000,802751000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,8400000,5700000,5600000,3200000,3900000,2500000,10100000,9700000,4672000,1901000,3396000,2910000,25627000,36322000,34930000,36625000,45489000,57908000,89003000,6788000,61332000,14856000,8388000,200895000,191471000,169508000,36086000,43695000,52775000,489941000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-4100000,-800000,-9200000,-1800000,-1500000,3300000,1600000,-2400000,-1562000,174000,1895000,16328000,4510000,-1935000,9762000,23593000,24463000,65743000,-20770000,26195000,-8089000,3181000,24445000,19277000,-94000,10199000,104656000,107256000,564836000,513145000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/353569/000119312513071645/0001193125-13-071645-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000119312514073364/0001193125-14-073364-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356915000010/0000353569-15-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/353569/000035356917000012/0000353569-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356918000021/0000353569-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356919000013/0000353569-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356920000018/0000353569-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356921000028/0000353569-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356922000026/0000353569-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
