,https://roic.ai/company/JNJ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-736000000,- -,453000000,-207000000,-9000000,-632000000,-247000000,- -,-433000000,-633000000,-1185000000,-289000000,- -,774000000
79,Inventory,- -,- -,- -,- -,-82000000,-106000000,-165000000,-142000000,-29000000,- -,-9000000,-242000000,-175000000,- -,-80000000,125000000,-167000000,-109000000,39000000,- -,11000000,-210000000,14000000,-101000000,- -,95000000,-196000000,-1000000,-622000000,-1120000000,- -,-449000000,581000000,-644000000,-277000000,- -,-265000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3550000000,4186000000,5280000000,- -,2970000000,8310000000,10429000000,7817000000,9547000000,- -,13393000000,3814000000,10108000000,13525000000,- -,17810000000,24235000000,21854000000,30732000000,34226000000,- -,32463000000,12551000000,14803000000,9310000000,- -,8744000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,86000000,-257000000,559000000,-236000000,- -,-951000000,-638000000,-1000000000,- -,3130000000,-2149000000,-422000000,2603000000,519000000,- -,-2850000000,17131000000,-2636000000,-4875000000,- -,-2946000000,-7283000000,9905000000,-9520000000,-6474000000,- -,1283000000,36940000000,-2239000000,8280000000,- -,2293000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1250000000,1657000000,1675000000,2141000000,2168000000,- -,3382000000,3891000000,4343000000,- -,4886000000,6563000000,8864000000,8176000000,10595000000,- -,11131000000,14248000000,15249000000,14972000000,- -,16571000000,16385000000,15396000000,17414000000,18471000000,- -,19279000000,21056000000,22201000000,23416000000,- -,23536000000
84,CAPEX,- -,- -,- -,- -,-750000000,-830000000,-987000000,-1103000000,-975000000,- -,-1256000000,-1373000000,-1391000000,- -,-4941000000,-1646000000,-1731000000,-2099000000,-2262000000,- -,-2175000000,-2738000000,-3310000000,-3066000000,- -,-2365000000,-2384000000,-2934000000,-3595000000,-3714000000,- -,-3463000000,-3279000000,-3670000000,-3498000000,- -,-3347000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68000000,-225000000,-478000000,-2812000000,- -,-580000000,-18023000000,-1388000000,-1214000000,- -,-2470000000,-1269000000,-4486000000,-835000000,-2129000000,- -,-954000000,-35151000000,-899000000,-5810000000,- -,-7323000000
86,Purchases of Investments,- -,- -,- -,- -,-87000000,- -,-173000000,- -,-86000000,- -,-151000000,-123000000,-112000000,- -,-769000000,-5383000000,-8188000000,-6923000000,-7590000000,- -,-11617000000,-467000000,-9659000000,-3668000000,- -,-10040000000,-15788000000,-13434000000,-18923000000,-34913000000,- -,-40828000000,-6153000000,-5626000000,-3920000000,- -,-21089000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4670000000,5967000000,7353000000,8062000000,- -,12061000000,426000000,7988000000,3059000000,- -,7232000000,11101000000,14797000000,18058000000,24119000000,- -,34149000000,28117000000,4289000000,3725000000,- -,12137000000
88,Other Investing Activites,- -,- -,- -,- -,-60000000,-238000000,132000000,-70000000,-200000000,- -,311000000,-196000000,-111000000,- -,71000000,59000000,84000000,-50000000,76000000,- -,-36000000,511000000,230000000,702000000,- -,45000000,486000000,1547000000,192000000,4332000000,- -,3361000000,1598000000,2739000000,3309000000,- -,-1203000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-897000000,-1057000000,-1028000000,-1173000000,-1261000000,- -,-1096000000,-1692000000,-1614000000,- -,-5639000000,-2368000000,-4093000000,-2197000000,-4526000000,- -,-2347000000,-20291000000,-6139000000,-4187000000,- -,-7598000000,-7854000000,-4510000000,-5103000000,-12305000000,- -,-7735000000,-14868000000,-3167000000,-6194000000,- -,-20825000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7343000000,- -,-7010000000,-6597000000,-6979000000,-2990000000,-3111000000,- -,-1112000000,-3107000000,-4034000000,-2923000000,- -,-3727000000
91,Common Stock Issued,- -,- -,- -,- -,47000000,71000000,66000000,82000000,43000000,- -,112000000,149000000,225000000,- -,269000000,292000000,514000000,390000000,311000000,- -,642000000,1135000000,1562000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-153000000,-209000000,-222000000,-740000000,-632000000,- -,-322000000,-412000000,-628000000,- -,-930000000,-973000000,-2570000000,-6538000000,-1183000000,- -,-1384000000,-6722000000,-5607000000,-6651000000,- -,-2130000000,-2797000000,-12919000000,-3538000000,-7124000000,- -,-5290000000,-6358000000,-5868000000,-6746000000,- -,-3221000000
93,Dividends Paid,- -,- -,- -,- -,-373000000,-436000000,-513000000,-587000000,-659000000,- -,-827000000,-974000000,-1137000000,- -,-1305000000,-1724000000,-2047000000,-2381000000,-2746000000,- -,-3251000000,-4267000000,-4670000000,-5024000000,- -,-5327000000,-5804000000,-6614000000,-7286000000,-7768000000,- -,-8173000000,-8943000000,-9494000000,-9917000000,- -,-10481000000
94,Other Financing Activites,- -,- -,- -,- -,50000000,311000000,-204000000,468000000,4000000,- -,-697000000,-131000000,-379000000,- -,1868000000,-695000000,-1148000000,1576000000,-245000000,- -,-1155000000,3745000000,3017000000,11554000000,- -,10375000000,10218000000,5950000000,7723000000,5743000000,- -,3729000000,10735000000,886000000,1571000000,- -,11309000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-429000000,-263000000,-873000000,-777000000,-1244000000,- -,-1734000000,-1368000000,-1919000000,- -,-98000000,-3100000000,-5251000000,-6953000000,-3863000000,- -,-5148000000,-6109000000,-5698000000,-7464000000,- -,-4092000000,-4980000000,-20562000000,-6091000000,-12260000000,- -,-10846000000,-7673000000,-18510000000,-18015000000,- -,-6120000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1000000,37000000,-11000000,-35000000,-36000000,- -,13000000,-21000000,-68000000,- -,25000000,-47000000,-40000000,110000000,277000000,- -,190000000,180000000,275000000,-323000000,- -,161000000,-6000000,45000000,-204000000,-310000000,- -,-1489000000,337000000,-241000000,-9000000,- -,89000000
97,Net Change In Cash,- -,- -,- -,- -,-429000000,-263000000,-873000000,-777000000,-1244000000,- -,-1734000000,-1368000000,-1919000000,- -,-98000000,1048000000,-520000000,-864000000,2483000000,- -,3826000000,-11972000000,3687000000,2998000000,- -,5042000000,3545000000,-9631000000,6016000000,-6404000000,- -,-791000000,-1148000000,283000000,-802000000,- -,-3320000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3411000000,3758000000,2894000000,5377000000,- -,9203000000,4083000000,7770000000,10768000000,- -,15810000000,19355000000,14911000000,20927000000,14523000000,- -,13732000000,17824000000,18107000000,17305000000,- -,13985000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,529000000,452000000,826000000,589000000,745000000,- -,636000000,1201000000,2011000000,- -,2753000000,2363000000,4278000000,3758000000,2894000000,- -,5377000000,16055000000,4083000000,7770000000,- -,10768000000,15810000000,24542000000,14911000000,20927000000,- -,14523000000,18972000000,17824000000,18107000000,- -,17305000000
100,Free Cash Flow,- -,- -,- -,- -,500000000,827000000,688000000,1038000000,1193000000,- -,2126000000,2518000000,2952000000,- -,-55000000,4917000000,7133000000,6077000000,8333000000,- -,8956000000,11510000000,11939000000,11906000000,- -,14206000000,14001000000,12462000000,13819000000,14757000000,- -,15816000000,17777000000,18531000000,19918000000,- -,20189000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/200406/000095012399002942/0000950123-99-002942-index.html,- -,https://www.sec.gov/Archives/edgar/data/200406/000095012302002712/0000950123-02-002712-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/200406/000095012305003140/0000950123-05-003140-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000095012307002542/0000950123-07-002542-index.html,https://www.sec.gov/Archives/edgar/data/200406/000095012308002130/0000950123-08-002130-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000095012309003187/0000950123-09-003187-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/200406/000095012310019392/0000950123-10-019392-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000095012311018128/0000950123-11-018128-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040613000038/0000200406-13-000038-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040614000033/0000200406-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/0000200406-15-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/0000200406-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/0000200406-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/0000200406-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/0000200406-20-000010-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/0000200406-21-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
