,https://roic.ai/company/SMP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-26400000,26900000,50400000,31600000,20100000,21100000,800000,-21200000,71700000,108700000,26000000,-953000,40189000,60183000,31463000,3466000,-2238000,33689000,-7796000,44933000,102296000,28078000,75307000,93560000,57616000,46987000,65171000,97805000,64617000,70258000,76928000,97896000,85564000
84,CAPEX,- -,- -,- -,- -,-23200000,-16200000,-12000000,-15300000,-12300000,-12600000,-25600000,-21400000,-15600000,-29300000,-31800000,-16652000,-13740000,-7598000,-8926000,-9774000,-9957000,-10080000,-13995000,-10500000,-7174000,-10806000,-11037000,-11811000,-11410000,-13904000,-18047000,-20921000,-24442000,-20141000,-16185000,-17820000,-25875000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,-4000000,-5000000,-8000000,- -,-65000000,-39000000,-13000000,-38000000,- -,-67000000,-7000000,-10000000,-43000000,- -,-125419000
86,Purchases of Investments,- -,- -,- -,- -,-56900000,-30400000,-3200000,-23400000,-18000000,-13600000,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,63400000,34000000,7900000,23500000,18300000,5800000,6400000,6300000,- -,- -,- -,- -,- -,- -,7200000,- -,- -,- -,- -,- -,3896000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,700000,200000,200000,100000,100000,-7800000,-45100000,-16300000,7500000,8400000,-2061000,-417000,-19335000,-100162000,-1172000,2164000,1114000,4562000,37564000,-7047000,-7888000,-10890000,-10912000,-11762000,-13200000,-18011000,-21018000,-24228000,-19886000,-11812000,-17799000,-25830000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-16700000,-11900000,-7100000,-15000000,-11900000,-20300000,-27000000,-60400000,-31900000,-21800000,-23400000,-18713000,-14157000,-26933000,-101888000,-10946000,-7793000,-5966000,-13433000,22064000,-11151000,-7888000,-75890000,-49912000,-24762000,-51200000,-18011000,-88018000,-31228000,-29886000,-54812000,-17799000,-151249000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-124788000,-15090000,-12410000,-32652000,-19166000,- -,-9301000,- -,- -,-13311000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,2400000,1800000,- -,- -,5100000,500000,100000,200000,200000,1600000,1800000,- -,473000,589000,55835000,972000,169000,738000,4185000,- -,27509000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-16800000,- -,- -,- -,-4500000,-4300000,- -,-100000,-1500000,-2600000,-9800000,-14345000,- -,- -,- -,- -,-11899000,- -,-4997000,- -,- -,- -,-4136000,-4999000,-6864000,-10000000,-19623000,-377000,-24376000,-14886000,-10738000,-13482000,-26862000
93,Dividends Paid,- -,- -,- -,- -,-4200000,-4200000,-4200000,-4200000,-4200000,-4200000,-4200000,-4300000,-4200000,-2100000,-4500000,-4324000,-4236000,-4290000,-5615000,-6955000,-7024000,-6579000,-6683000,-6653000,- -,-4508000,-6381000,-8215000,-10107000,-11905000,-13697000,-15447000,-17287000,-18854000,-20593000,-11218000,-22179000
94,Other Financing Activites,- -,- -,- -,- -,58300000,-6000000,-25800000,-19300000,-9300000,-2300000,38300000,79600000,-21900000,-77000000,26200000,7166000,-21666000,-29008000,24817000,7210000,28453000,-14368000,16818000,-59516000,5802000,185000,23493000,3079000,-3158000,37221000,1466000,8068000,5719000,930000,7953000,-46816000,118053000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,39700000,-8400000,-30000000,-23500000,-12900000,-10300000,34200000,75400000,-27400000,-80100000,13700000,-11503000,-25429000,-32709000,75037000,1227000,9699000,-20209000,9323000,-66169000,-91477000,-19413000,566000,-42787000,-39295000,15316000,-41155000,-7756000,-35944000,-46121000,-23378000,-71516000,69012000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-300000,-100000,600000,-1512000,-806000,1653000,5345000,1540000,-556000,788000,2819000,-7481000,4342000,740000,-1247000,1342000,-1074000,-2934000,-933000,-1035000,82000,-436000,496000,535000,-1060000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16900000,-32681000,-203000,2194000,9957000,-4713000,-888000,8302000,-9088000,-6653000,4010000,1517000,-1264000,2203000,-7515000,8169000,5072000,996000,-2473000,-6185000,-766000,9116000,2267000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40400000,7699000,7496000,9690000,19647000,14934000,14046000,22348000,13261000,6608000,10618000,12135000,10871000,13074000,5559000,13728000,18800000,19796000,17323000,11138000,10372000,19488000,21755000
99,Cash at the Beginning of Period,- -,- -,- -,- -,7400000,4000000,10700000,24000000,17000000,12300000,2800000,10900000,4700000,16800000,23500000,40380000,7699000,7496000,9690000,19647000,14934000,14046000,22349000,13261000,6608000,10618000,12135000,10871000,13074000,5559000,13728000,18800000,19796000,17323000,11138000,10372000,19488000
100,Free Cash Flow,- -,- -,- -,- -,-49600000,10700000,38400000,16300000,7800000,8500000,-24800000,-42600000,56100000,79400000,-5800000,-17605000,26449000,52585000,22537000,-6308000,-12195000,23609000,-21791000,34433000,95122000,17272000,64270000,81749000,46206000,33083000,47124000,76884000,40175000,50117000,60743000,80076000,59689000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93389/0000093389-96-000014-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93389/000090901201000224/0000909012-01-000224-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93389/000090901209000562/0000909012-09-000562-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114420410012767/0001144204-10-012767-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114420411013662/v213589_10k.htm,https://www.sec.gov/Archives/edgar/data/93389/000114036112014478/0001140361-12-014478-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036113011471/0001140361-13-011471-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036114009869/form10k.htm,https://www.sec.gov/Archives/edgar/data/93389/000114036115009241/form10k.htm,https://www.sec.gov/Archives/edgar/data/93389/000114036116055160/0001140361-16-055160-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036117008300/0001140361-17-008300-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036118009555/0001140361-18-009555-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036119003526/0001140361-19-003526-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036120003721/0001140361-20-003721-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036121005993/0001140361-21-005993-index.htm,https://www.sec.gov/Archives/edgar/data/93389/000114036122006370/0001140361-22-006370-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
