,https://roic.ai/company/GTY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-7300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6267000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,19400000,6500000,8500000,500000,- -,- -,- -,1300000,- -,- -,- -,- -,- -,3117000,1303000,- -,- -,- -,- -,- -,- -,2679000,1703000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,4000000,3500000,4600000,3900000,2600000,4300000,3500000,2300000,-4342000,-15441000,1403000,1665000,2914000,1156000,1366000,2536000,326000,-1812000,1058000,-48523000,956000,-195578000,3463000,-580000,23505000,-204037000,20812000,9038000,-75931000,-82553000,-127417000,-169732000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-31000000,-32500000,-9600000,-11900000,-24200000,-18500000,-19600000,-22000000,-7544000,-14142000,-8759000,1665000,179000,-9993000,-27899000,-27037000,-12750000,-84028000,1058000,-50146000,956000,-193649000,3551000,-6847000,23505000,-204724000,12718000,-206217000,-75931000,-82553000,-127417000,-169732000
90,Debt Repayment,- -,- -,- -,- -,-3100000,-12900000,-8900000,-39900000,-11400000,-33700000,-18300000,-10000000,-11660000,-5284000,-6049000,-48972000,-74000,-79000,-335000,-10285000,-30000,-194000,- -,- -,- -,-141633000,-2342000,-244940000,-36305000,-67299000,-27636000,-105342000,-130468000,-175542000,-235650000,-645000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,200000,200000,200000,200000,200000,500000,7200000,- -,- -,131522000,- -,1224000,64000,337000,696000,- -,- -,- -,108205000,91986000,- -,- -,- -,- -,14886000,117840000,30138000,14150000,63187000,92285000
92,Common Stock Repurchased,- -,- -,- -,- -,-6300000,-6100000,- -,- -,- -,- -,- -,- -,- -,- -,-680000,- -,- -,-1224000,- -,- -,- -,- -,- -,- -,- -,- -,-18000,- -,- -,-65000,-290000,-1195000,- -,-115000,-257000,- -
93,Dividends Paid,- -,- -,- -,- -,-3800000,-4800000,-2900000,-500000,- -,- -,- -,-1500000,-1577000,-10554000,-10554000,-83757000,-40451000,-41115000,-41951000,-43025000,-44819000,-45650000,-46294000,-46834000,-52332000,-63436000,-8404000,-24419000,-28675000,-35150000,-36231000,-39299000,-50503000,-56889000,-62626000,-70770000
94,Other Financing Activites,- -,- -,- -,- -,2000000,32900000,29900000,1800000,900000,9900000,-800000,-100000,314000,4546000,10300000,108000,212000,-1069000,24000000,20000000,11000000,86232000,-2241000,45320000,-110680000,247078000,506000,227687000,3314000,258381000,8260000,185090000,191347000,199097000,313326000,31451000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-11200000,9100000,18300000,-38400000,-10300000,-23600000,-18900000,-11100000,-5723000,-11292000,-6983000,-1099000,-40313000,-42263000,-18222000,-32973000,-33153000,40388000,-48535000,-1514000,-54807000,133995000,-10258000,-41672000,-61666000,155867000,-41011000,157094000,40514000,-19299000,77980000,52321000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-11200000,9100000,18300000,-38400000,-10300000,-23600000,-18900000,-11100000,-1351000,-9375000,-6000,36800000,-3797000,-13821000,-4205000,-14453000,-52000,876000,107000,872000,3072000,1576000,9178000,-4841000,-8924000,831000,8581000,7619000,27929000,-25078000,33390000,-30593000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10034000,657000,651000,37523000,33726000,19905000,15700000,1247000,1195000,2071000,2178000,3050000,6122000,7698000,16876000,12035000,3111000,3942000,12523000,20813000,48742000,23664000,57054000,26461000
99,Cash at the Beginning of Period,- -,- -,- -,- -,27000000,31200000,32200000,31300000,38700000,42300000,41600000,19800000,11385000,10032000,657000,723000,37523000,33726000,19905000,15700000,1247000,1195000,2071000,2178000,3050000,6122000,7698000,16876000,12035000,3111000,3942000,13194000,20813000,48742000,23664000,57054000
100,Free Cash Flow,- -,- -,- -,- -,-8000000,-18100000,-32500000,41500000,18600000,18500000,-6400000,6600000,-3320000,-15525000,-9405000,35698000,33516000,24169000,11348000,15984000,17237000,-128336000,41005000,-4408000,52198000,-107015000,11737000,-23496000,11999000,-169838000,36576000,56308000,59552000,76760000,82545000,86547000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1052752/000095013703001769/0000950137-03-001769-index.html,https://www.sec.gov/Archives/edgar/data/1052752/000095013704001787/0000950137-04-001787-index.html,https://www.sec.gov/Archives/edgar/data/1052752/000095013705003144/0000950137-05-003144-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1052752/000117120009000025/0001171200-09-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000117120010000264/0001171200-10-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000095012311026009/0000950123-11-026009-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312512117565/0001193125-12-117565-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312513112263/0001193125-13-112263-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312514102352/0001193125-14-102352-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312515091555/0001193125-15-091555-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312516500301/0001193125-16-500301-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312517067946/0001193125-17-067946-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459018004142/0001564590-18-004142-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459019004983/0001564590-19-004983-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459020007390/0001564590-20-007390-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459021008446/0001564590-21-008446-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459022006773/0001564590-22-006773-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
