,https://roic.ai/company/CNP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,7000000,21600000,55200000,-121800000,51600000,-74603000,-74703000,53822000,-61110000,-8899000,-115000000,-82000000,-102000000,-109000000,236000000,-54000000,11000000,27000000,-22000000,-102000000,28000000,34000000,-7000000,1000000,-52000000,9000000,-140000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-237000000,-34000000,-81000000,-6000000,152000000,-3000000,-224000000,133000000,136000000,220000000,-455000000,2000000,175000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-886300000,-678200000,-1900200000,-2474900000,-2401700000,-4130600000,-5731953000,-3408047000,-1126860000,-245631000,-2350676000,-123000000,-1226000000,-1003000000,187000000,-134000000,-38000000,-256000000,-701000000,-361000000,-207000000,222000000,-157000000,326000000,3723000000,-41000000,-1905000000,-2292000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,788200000,-552600000,1677300000,1228900000,1917200000,440000000,2541369000,-1481119000,1630400000,-948910000,3220413000,-2648676000,1896000000,144000000,-1273000000,778000000,-215000000,-580000000,510000000,-348000000,-661000000,1571000000,536000000,-1120000000,-2920000000,3231000000,3870000000,-719000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1197100000,839400000,914300000,1110800000,1425400000,1161700000,1345624000,1713067000,308409000,933428000,475578000,63000000,991000000,774000000,851000000,1841000000,1386000000,1888000000,1860000000,1613000000,1397000000,1865000000,1928000000,1421000000,2136000000,1638000000,1995000000,22000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-502600000,-339600000,-812900000,-1986200000,-1035900000,-1179500000,-1842385000,-2053383000,-854376000,-647750000,-530227000,-693000000,-1007000000,-1114000000,-1020000000,-1160000000,-1509000000,-1303000000,-1212000000,-1286000000,-1372000000,-1584000000,-1414000000,-1426000000,-1651000000,-2506000000,-2596000000,-3164000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1060000000,-2121481000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-365000000,- -,-1000000,- -,-102000000,-132000000,- -,-5991000000,1215000000,22000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-537100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115000000,-18000000,-12000000,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,32000000,178000000,- -,398000000,- -,- -,1320000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59200000,464500000,-20000000,-20300000,-193900000,-120300000,676048000,-31578000,99414000,-19131000,2239419000,710000000,-49000000,-186000000,-348000000,-781000000,-1402000000,-1194000000,-1238000000,-1309000000,-1383000000,-1419000000,-1122000000,-1125000000,-1605000000,-2424000000,-2480000000,-3193000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-561800000,124900000,-832900000,-1981500000,-1229800000,-2896900000,-3287818000,-2084961000,-754962000,-666881000,1709192000,17000000,-1056000000,-1300000000,-1368000000,-896000000,-1420000000,-1206000000,-1603000000,-1300000000,-1384000000,-1387000000,-1046000000,-1257000000,-1207000000,-8421000000,-1265000000,-1851000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1761000000,-783000000,-909000000,-1944000000,-1580000000,-538000000,-644000000,-1240000000,-1216000000,-2027000000,-1302000000,-3535000000,-3147000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53809000,1796504000,12994000,9349000,12211000,17000000,27000000,22000000,80000000,504000000,- -,- -,4000000,4000000,1000000,- -,- -,- -,1844000000,- -,672000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-91400000,-632600000,-405300000,- -,-90700000,-27306000,-199687000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-368800000,-371700000,-361100000,-153600000,-426300000,-427300000,-426859000,-433918000,-324682000,-137440000,-122881000,-124000000,-187000000,-218000000,-246000000,-276000000,-319000000,-337000000,-346000000,-355000000,-408000000,-458000000,-621000000,-461000000,-897000000,-695000000,-529000000,-492000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250900000,-499900000,908500000,1473300000,208700000,2312600000,2432667000,-825551000,1034451000,-311257000,-1996377000,-64000000,278000000,724000000,721000000,1161000000,595000000,585000000,2455000000,1180000000,1022000000,590000000,1056000000,1432000000,4144000000,4773000000,2558000000,5555000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-639700000,-963000000,-85200000,914400000,-217600000,1794600000,2032311000,337348000,722763000,-439348000,-2107047000,-171000000,118000000,528000000,555000000,-372000000,-507000000,-661000000,169000000,-751000000,77000000,-512000000,-805000000,-245000000,3053000000,2776000000,-834000000,1916000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5088000,-5752000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4500000,1400000,-3800000,43700000,-22000000,59400000,95205000,-40298000,276210000,-172801000,77723000,-91000000,53000000,2000000,38000000,573000000,-541000000,21000000,426000000,-438000000,90000000,-34000000,77000000,-81000000,3982000000,-4007000000,-104000000,87000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,11800000,8000000,51700000,29700000,89100000,175972000,135674000,311710000,131480000,164645000,74000000,127000000,129000000,167000000,740000000,199000000,220000000,646000000,208000000,298000000,264000000,341000000,260000000,4278000000,271000000,167000000,254000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000,10400000,11800000,8000000,51700000,29700000,80767000,175972000,35500000,304281000,86922000,165000000,74000000,127000000,129000000,167000000,740000000,199000000,220000000,646000000,208000000,298000000,264000000,341000000,296000000,4278000000,271000000,167000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,694500000,499800000,101400000,-875400000,389500000,-17800000,-496761000,-340316000,-545967000,285678000,-54649000,-630000000,-16000000,-340000000,-169000000,681000000,-123000000,585000000,648000000,327000000,25000000,281000000,514000000,-5000000,485000000,-868000000,-601000000,-3142000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1130310/000095012903001299/0000950129-03-001299-index.html,- -,https://www.sec.gov/Archives/edgar/data/1130310/000095012905008803/0000950129-05-008803-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1130310/000095013408003670/h54051e10vk.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031009000004/0001130310-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000006/0001130310-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031011000006/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031012000011/0001130310-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031013000006/0001130310-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031014000005/cnp_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031015000008/cnp_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031016000031/0001130310-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031017000006/0001130310-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031018000003/0001130310-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031019000016/0001130310-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031020000016/0001130310-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031021000009/0001130310-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031022000023/0001130310-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
