,https://roic.ai/company/SJM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,21000000,14000000,19700000,36300000,-77892000,-40615000,-34698000,43219000,-2753000,343000,-77516000,27548000,-31372000,-64452000,17626000,-24151000,-137776000,-32042000,-193548000,210636000,-356249000,-701392000,186096000,93493000,376800000,-292900000,1069400000,656300000,-457700000,1490800000,-1107500000,44500000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,27700000,33200000,41400000,56200000,55172000,39076000,47811000,59523000,61041000,43525000,33599000,88196000,67000000,165965000,125936000,194401000,198281000,273424000,191577000,444828000,713478000,391562000,730929000,855800000,856000000,733200000,1458300000,1059000000,1218000000,1141200000,1254800000,1565000000
84,CAPEX,- -,- -,- -,- -,-33600000,-17300000,-17400000,-21000000,-18707000,-18963000,-25585000,-15751000,-29058000,-38693000,-32240000,-29385000,-23464000,-49525000,-100094000,-87576000,-63172000,-57002000,-76430000,-108907000,-136983000,-180080000,-274244000,-206500000,-279500000,-247700000,-201400000,-192400000,-321900000,-359800000,-269300000,-306700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-100195000,-28780000,- -,-5593000,-1406000,-26590000,-9056000,- -,-5714000,-10767000,-9196000,-99062000,8754000,23566000,-217542000,-77335000,19554000,- -,-763861000,- -,-101800000,-1320500000,185600000,- -,- -,-1533500000,- -,564000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86439000,-88803000,-5000000,-20000000,-229405000,- -,- -,-75637000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28957000,67094000,31101000,26272000,257536000,3013000,13519000,57100000,18600000,- -,10000000,- -,- -,40600000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-4000000,1000000,600000,-3900000,119000,1304000,2216000,46089000,1878000,2035000,1478000,1773000,8668000,7313000,4233000,88898000,12470000,123000,3355000,8413000,-533000,5704000,-16359000,20900000,1000000,-27500000,37500000,-37900000,44300000,-30900000,-2200000,53800000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-37600000,-16300000,-16800000,-24900000,-118783000,-46439000,-23369000,24745000,-28586000,-63248000,-39818000,-27612000,-20510000,-52979000,-162539000,-119449000,-15847000,-27041000,-262486000,-174816000,-104443000,-192913000,-1035864000,-185600000,-370300000,-1595700000,21700000,-189700000,-277600000,-1924200000,-271500000,311100000
90,Debt Repayment,- -,- -,- -,- -,-700000,- -,- -,- -,-377000,- -,-6300000,-60800000,- -,- -,-8966000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-625000000,-10000000,- -,-50000000,-50000000,-4216300000,-800000000,-200000000,-1360300000,-700000000,-900000000,-700000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25766000,17247000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-195000,- -,- -,- -,-811000,-17654000,-80964000,-1128000,- -,- -,-16869000,-81717000,-52125000,-152521000,-4025000,-5569000,-389135000,-315780000,-364200000,-508500000,-24300000,-441100000,-437600000,-7000000,-5400000,-4200000,-678400000
93,Dividends Paid,- -,- -,- -,- -,-7600000,-10000000,-11200000,-12400000,-13360000,-14503000,-15123000,-15113000,-15100000,-16246000,-17212000,-16686000,-15568000,-33603000,-45724000,-56057000,-62656000,-63632000,-68074000,-384876000,-166224000,-194024000,-213667000,-222800000,-238000000,-254000000,-316600000,-339300000,-350300000,-377900000,-396800000,-403200000
94,Other Financing Activites,- -,- -,- -,- -,- -,-1000000,-1600000,-4800000,41222000,19119000,1392000,119000,-4065000,9328000,75086000,65325000,10888000,6819000,5686000,-45359000,-24756000,-27634000,253187000,401502000,8245000,422740000,749073000,-4000000,221000000,5357800000,61500000,170800000,795600000,1782300000,612300000,-162300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-8300000,-11000000,-12800000,-17200000,27485000,4421000,-20031000,-75794000,-19165000,-7729000,31254000,-32325000,-5808000,-26784000,-40038000,-118285000,-169129000,-117625000,49839000,12601000,-788548000,-170419000,219626000,-641000000,-575500000,863200000,-1496200000,-806100000,-922000000,699000000,-688700000,-1943900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,200000,- -,- -,-260000,127000,91000,-172000,-897000,-349000,-615000,-907000,107000,3109000,2018000,-3133000,566000,-595000,5126000,2539000,6390000,8045000,-4828000,-2500000,-13100000,-28600000,400000,-6200000,7400000,-7300000,-4800000,11000000
97,Net Change In Cash,- -,- -,- -,- -,-8300000,-11000000,-12800000,-17200000,-36386000,-2815000,6403000,6444000,12393000,-27801000,24420000,27352000,40789000,89311000,-74623000,-46466000,13871000,128163000,-15944000,285152000,-173123000,36275000,-90137000,26700000,-102900000,-27900000,-15800000,57000000,25800000,-91300000,289800000,-56800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,14059000,11244000,17647000,24091000,36484000,8683000,33103000,51125000,91914000,181225000,106602000,58085000,71956000,200119000,184175000,456693000,283570000,319845000,229708000,256400000,153500000,125600000,109800000,166800000,192600000,101300000,391100000,334300000
99,Cash at the Beginning of Period,- -,- -,- -,- -,36700000,18400000,24500000,36300000,50445000,14059000,11244000,17647000,24091000,36484000,8683000,23773000,51125000,91914000,181225000,104551000,58085000,71956000,200119000,171541000,456693000,283570000,319845000,229700000,256400000,153500000,125600000,109800000,166800000,192600000,101300000,391100000
100,Free Cash Flow,- -,- -,- -,- -,-5900000,15900000,24000000,35200000,36465000,20113000,22226000,43772000,31983000,4832000,1359000,58811000,43536000,116440000,25842000,106825000,135109000,216422000,115147000,335921000,576495000,211482000,456685000,649300000,576500000,485500000,1256900000,866600000,896100000,781400000,985500000,1258300000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015294000718/0000950152-94-000718-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095015295001575/0000950152-95-001575-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015201503334/0000950152-01-503334-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015204005304/0000950152-04-005304-index.htm,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015206005568/l20956ae10vk.htm,https://www.sec.gov/Archives/edgar/data/91419/000095015207005388/0000950152-07-005388-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095015208005018/0000950152-08-005018-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095012309017972/0000950123-09-017972-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095012310060708/0000950123-10-060708-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095012311062373/0000950123-11-062373-index.html,https://www.sec.gov/Archives/edgar/data/91419/000119312512282260/d318554d10k.htm,https://www.sec.gov/Archives/edgar/data/91419/000119312513266625/0001193125-13-266625-index.html,https://www.sec.gov/Archives/edgar/data/91419/000119312514245437/0001193125-14-245437-index.html,https://www.sec.gov/Archives/edgar/data/91419/000119312515235197/0001193125-15-235197-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141916000007/0000091419-16-000007-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141917000005/0000091419-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141918000005/0000091419-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141919000005/0000091419-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141920000065/0000091419-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/91419/000009141921000048/0000091419-21-000048-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
