,https://roic.ai/company/LAWS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,25000000,24200000,20000000,13500000,17000000,23000000,21300000,24600000,17000000,16100000,23300000,22885055,6446873,28962000,26418000,25835000,17796000,19885000,11548000,15738000,15944000,14788000,-23278000,-7574000,2234000,1861000,9285000,8460000,7070000,20299000,9196000,32528000,5449000
84,CAPEX,- -,- -,- -,- -,-7900000,-6400000,-4800000,-8200000,-1400000,-6900000,-3000000,-4800000,-5900000,-5400000,-17000000,-3392458,-5228929,-5965000,-4241000,-3784000,-9271000,-5291000,-17694000,-3549000,-2768000,-10048000,-11132000,-18501000,-2908000,-2759000,-2342000,-3112000,-1256000,-2524000,-2028000,-1687000,-8193000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36890933,- -,- -,- -,-14562000,181000,- -,- -,- -,27264000,58000,909000,- -,12125000,-441000,-6030000,-32286000,-5307000,- -,-2300000,-33000000
86,Purchases of Investments,- -,- -,- -,- -,-50400000,-61200000,-76000000,-66100000,-120200000,-246600000,-293600000,-367700000,-143000000,-196300000,-122800000,-75344146,-13267926,-8340000,-5129000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,45600000,50500000,70300000,71000000,111600000,251400000,305200000,376700000,137300000,204800000,130500000,61987598,41916388,9681000,3669000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-300000,-100000,- -,-700000,2100000,300000,800000,-10200000,100000,1000000,500000,7600000,240000,456000,286000,250000,15807000,450000,90000,36000,2179000,2023000,- -,12278000,-219000,8307000,3000,- -,6177000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-13000000,-17200000,-10500000,-4000000,-7900000,-1800000,9400000,-6000000,-11500000,4100000,-8800000,-9149006,-13231400,-4168000,-5415000,-3534000,-8026000,-4660000,-17604000,-3513000,-589000,19239000,-11074000,-5314000,-3127000,17673000,-2780000,-9142000,-27365000,-7831000,-2028000,-3987000,-41193000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7700000,- -,- -,- -,- -,- -,- -,- -,- -,-185000,-271000,-2528000,-222000
91,Common Stock Issued,- -,- -,- -,- -,100000,200000,100000,100000,100000,- -,- -,- -,300000,- -,-10500000,84375,166500,1572000,305000,920000,826000,905000,26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-7300000,- -,- -,-800000,- -,-23100000,-24100000,-8500000,-4100000,-10300000,- -,-11932267,-2201140,-5623000,-620000,-9651000,-14487000,-20918000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,-523000,-4527000,-3254000,-1018000
93,Dividends Paid,- -,- -,- -,- -,-4400000,-4900000,-5400000,-5400000,-5700000,-6300000,-6100000,-6000000,-5900000,-6200000,-5900000,-5951058,-6105987,-6138000,-6075000,-6791000,-7111000,-7189000,-6817000,-6817000,-2727000,-2216000,-4098000,-3084000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,14000000,-14001000,-805000,-1462000,-1573000,- -,11000000,-3300000,-420000,-32000,- -,15496000,-49000,-16025000,975000,-84000,13535000,-3782000,-9092000,15000,11900000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-11600000,-4700000,-5300000,-6100000,-5500000,-29400000,-30200000,-14500000,-9700000,-16500000,-16400000,-17798950,5859373,-24190000,-7195000,-16984000,-22345000,-27202000,4209000,-10117000,-10847000,-2248000,-4098000,12412000,-49000,-16025000,975000,-84000,13515000,-4490000,-13890000,-5767000,10660000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-922000,422000,775000,-511000,336000,320000,72000
97,Net Change In Cash,- -,- -,- -,- -,-11600000,-4700000,-5300000,-6100000,-5500000,-29400000,-30200000,-14500000,-9700000,-16500000,-1900000,-4062901,-925154,604000,13808000,5317000,-12575000,-11977000,-1847000,2108000,4508000,31779000,-38450000,-476000,-942000,3509000,6558000,-344000,-6005000,7467000,-6386000,23094000,-25012000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,7911710,6986556,7591000,21399000,28872000,16297000,4320000,2473000,4581000,9089000,40566000,2116000,1640000,698000,4207000,10765000,10421000,4416000,12683000,6297000,29391000,4379000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4000000,4400000,6800000,11000000,14400000,18000000,9900000,10400000,14500000,10200000,13900000,11974611,7911710,6987000,7591000,23555000,28872000,16297000,4320000,2473000,4581000,8787000,40566000,2116000,1640000,698000,4207000,10765000,10421000,5216000,12683000,6297000,29391000
100,Free Cash Flow,- -,- -,- -,- -,17100000,17800000,15200000,5300000,15600000,16100000,18300000,19800000,11100000,10700000,6300000,19492597,1217944,22997000,22177000,22051000,8525000,14594000,-6146000,12189000,13176000,4740000,-34410000,-26075000,-674000,-898000,6943000,5348000,5814000,17775000,7168000,30841000,-2744000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703604/000091476001000051/0000914760-01-000051-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703604/000095013706003165/c03441e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000095013707003843/c13015e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000095013708003582/c24690e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000095013709001748/0000950137-09-001748-index.html,https://www.sec.gov/Archives/edgar/data/703604/000095012310017134/0000950123-10-017134-index.html,https://www.sec.gov/Archives/edgar/data/703604/000095012311015230/c12720e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000119312512090914/0001193125-12-090914-index.html,https://www.sec.gov/Archives/edgar/data/703604/000144530513000315/0001445305-13-000315-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360414000011/laws-x20131231x10k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/703604/000070360417000018/0000703604-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360418000013/0000703604-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360419000023/0000703604-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360420000016/0000703604-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360421000035/0000703604-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/703604/000070360422000019/0000703604-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
