,https://roic.ai/company/PH,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59318000,73238000,80935000,84996000,103161000,96093000,71293000,80339000,118831000,104078000,111375000,121483000
77,Change in Working Capital,- -,- -,- -,-110400000,- -,- -,- -,- -,514000000,79800000,41400000,148400000,7700000,228900000,-53390000,-183577000,92548000,97299000,304112000,172753000,7928000,3057000,451439000,-794342000,265878000,530308000,97888000,-1118000,807801000,414178000,-391116000,-1457988000,503897000,2633558000,-2784482000,783416000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,598065000,-220349000,-259752000,-91091000,-21206000,-99144000,143179000,17549000,-95347000,-301978000,2452000,578853000,-298511000
79,Inventory,- -,- -,- -,-143400000,-42100000,72200000,69400000,39700000,11200000,-85800000,-15000000,-27000000,-185600000,30600000,17248000,7865000,111041000,106129000,71976000,13829000,17498000,-15018000,-53556000,218595000,53862000,-139062000,-28333000,98518000,-3816000,-70377000,120243000,-73673000,-92209000,-51817000,201164000,-85597000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-304863000,259436000,228164000,59692000,-66082000,92927000,-86750000,-52378000,174761000,125907000,-12397000,-370765000,526781000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,514000000,593800000,635200000,783600000,791300000,1020200000,966810000,783233000,875781000,973080000,1277192000,1449945000,1457873000,1460930000,1912369000,1118027000,1383905000,1914213000,2012101000,2010983000,2818784000,3232962000,2841846000,1383858000,1887755000,4521313000,1736831000,2520247000
82,Other Non-Cash Items,- -,- -,- -,34800000,-97700000,103300000,133600000,64600000,-381600000,-173500000,-80800000,-198600000,-197000000,-288000000,28657000,77914000,97655000,-16874000,-235706000,-205601000,43121000,-144010000,-377086000,1070330000,-5595000,-846258000,-65738000,-175626000,-826680000,-556826000,441669000,1304455000,-507915000,-2988586000,2986492000,-619888000
83,Cash Provided by Operating Activities,- -,- -,- -,138900000,127800000,270700000,235200000,229400000,259200000,240100000,338000000,392300000,320600000,459100000,538040000,532165000,631046000,557489000,662398000,852811000,954639000,955007000,1316610000,1129192000,1218822000,1166933000,1530385000,1190935000,1387893000,1301941000,1169843000,1302471000,1600287000,1730140000,2070949000,2575001000
84,CAPEX,- -,- -,- -,-153400000,-125700000,-112000000,-94100000,-91500000,-99900000,-152000000,-567300000,-220700000,-469900000,-320000000,-230482000,-334748000,-206564000,-158260000,-141546000,-156567000,-198113000,-237827000,-280327000,-270733000,-129222000,-207294000,-218817000,-265896000,-216340000,-215527000,-149407000,-203748000,-247667000,-195089000,-232591000,-209957000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-351011000,-583254000,-388315000,-16648000,-200314000,-558569000,-743266000,-378639000,-921014000,-722635000,-5451000,-60227000,-156256000,-547629000,184905000,18647000,-43227000,-3983587000,177741000,17636000,-5076064000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-624880000,-1747333000,-1351464000,-465666000,-80607000,-181780000,-194742000,-34809000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3222000,14709000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1391396000,1300633000,1279318000,83905000,74908000,275483000,79419000
88,Other Investing Activites,- -,- -,- -,-400000,58600000,-2100000,4900000,-36500000,-20400000,-112200000,6600000,26000000,10800000,6900000,1784000,98174000,-17061000,23014000,71388000,150576000,20136000,36705000,30541000,-238196000,-140722000,-184711000,-219512000,-262216000,-206426000,-241873000,-170581000,-195213000,-160949000,-129274000,-28670000,-44623000
89,Cash Used for Investing Activites,- -,- -,- -,-153800000,-67100000,-114100000,-89200000,-128000000,-120300000,-264200000,-560700000,-194700000,-459100000,-313100000,-579709000,-819828000,-608718000,-137185000,-270472000,-564560000,-921243000,-579761000,-1170800000,-960831000,-146173000,-244938000,-375768000,-809845000,-646401000,-579163000,-264639000,-3365148000,20090000,-218510000,-5023993000,-13000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20671000,-489556000,-376966000,-78718000,-331245000,-518321000,-815708000,-220068000,-381078000,-944629000,-213226000,-740181000,-1211748000
91,Common Stock Issued,- -,- -,- -,1900000,1700000,1900000,5400000,4600000,9100000,11500000,5000000,- -,- -,74100000,1202000,15971000,20250000,9386000,56223000,- -,16931000,- -,33406000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-23000000,- -,- -,- -,- -,- -,-10200000,-96900000,- -,- -,- -,- -,- -,- -,-23724000,- -,-364339000,-584603000,-447800000,-24999000,-693096000,-456969000,-258007000,-204043000,-1398446000,-557575000,-338078000,-381041000,-860052000,-216049000,-218818000
93,Dividends Paid,- -,- -,- -,-41000000,-42000000,-43400000,-44400000,-46100000,-47400000,-50000000,-53300000,-56600000,-66500000,-69500000,-74963000,-79921000,-82838000,-85833000,-89286000,-92612000,-109643000,-121263000,-142260000,-161575000,-162739000,-206084000,-240654000,-255009000,-278244000,-340389000,-341962000,-345380000,-365288000,-412468000,-453838000,-475174000
94,Other Financing Activites,- -,- -,- -,65300000,-29300000,-74000000,-46800000,3300000,-179600000,43400000,273200000,-121300000,264900000,-148400000,154621000,308087000,61711000,-145764000,-415428000,-21202000,-101480000,107073000,694679000,355698000,27298000,360368000,-47179000,1420435000,42493000,1509799000,317182000,2847164000,8986000,2388052000,1859378000,-717599000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,26200000,-69600000,-138500000,-85800000,-38200000,-217900000,4900000,224900000,-188100000,101500000,-143800000,80860000,244137000,-877000,-222211000,-448491000,-137538000,-194192000,-378529000,1222000,-274348000,-649996000,-915778000,-823520000,576174000,-958115000,-1044744000,-802423000,1782628000,-1681972000,902306000,449310000,-2623339000
96,Effect of Forex Changes on Cash,- -,- -,- -,-2200000,1800000,-1000000,1100000,-3200000,500000,1400000,-2000000,-4500000,-1500000,500000,-4008000,-1369000,1368000,1373000,-5438000,1520000,-3731000,4436000,6310000,-32450000,-34738000,75723000,-150246000,-14169000,48766000,-111005000,-61712000,-56718000,-1154000,-16306000,-30519000,95954000
97,Net Change In Cash,- -,- -,- -,26200000,-69600000,-138500000,-85800000,-38200000,-217900000,4900000,224900000,-188100000,101500000,2800000,35183000,-44895000,22819000,199466000,-62003000,152233000,-164527000,1153000,153342000,-138437000,387915000,81940000,180851000,943095000,-167857000,-432971000,41069000,-336767000,-62749000,2397630000,-2534253000,47603000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33300000,68460000,23565000,46384000,245850000,183847000,336080000,171553000,172706000,326048000,187611000,575526000,657466000,838317000,1781412000,1613555000,1180584000,1221653000,884886000,822137000,3219767000,685514000,733117000
99,Cash at the Beginning of Period,- -,- -,- -,20000000,28900000,21800000,38800000,100100000,160000000,81600000,63800000,64000000,69000000,30500000,33277000,68460000,23565000,46384000,245850000,183847000,336080000,171553000,172706000,326048000,187611000,575526000,657466000,838317000,1781412000,1613555000,1180584000,1221653000,884886000,822137000,3219767000,685514000
100,Free Cash Flow,- -,- -,- -,-14500000,2100000,158700000,141100000,137900000,159300000,88100000,-229300000,171600000,-149300000,139100000,307558000,197417000,424482000,399229000,520852000,696244000,756526000,717180000,1036283000,858459000,1089600000,959639000,1311568000,925039000,1171553000,1086414000,1020436000,1098723000,1352620000,1535051000,1838358000,2365044000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76334/000007633494000021/0000076334-94-000021-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633495000021/0000076334-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633496000032/0000076334-96-000032-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76334/000095015200007053/0000950152-00-007053-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000102140801507392/0001021408-01-507392-index.html,https://www.sec.gov/Archives/edgar/data/76334/000102140802010776/0001021408-02-010776-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312503043642/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312504151808/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312505179715/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312506185778/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312507191627/0001193125-07-191627-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312508186353/0001193125-08-186353-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312509182706/0001193125-09-182706-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312510197800/0001193125-10-197800-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312511233381/0001193125-11-233381-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633412000064/0000076334-12-000064-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633413000157/0000076334-13-000157-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633414000114/0000076334-14-000114-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633415000079/0000076334-15-000079-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633416000196/ph630201610-k.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633417000095/0000076334-17-000095-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633418000087/0000076334-18-000087-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633419000096/0000076334-19-000096-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633420000099/0000076334-20-000099-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633421000187/0000076334-21-000187-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
