,https://roic.ai/company/BMI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,15500000,17600000,17500000,18400000,20500000,24200000,24900000,26400000,26400000,28000000,29100000,31100000,39800000,51200000,55100000,54193000,54472000,71083000,70853000,71579000,73303000,60024000,70367000,108829000,104336000,118527000,117715000,169079000,188895000,200053000,206152000,198687000,233104000,228032000,221799000,247529000,269458000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,36000000,40100000,41500000,41800000,46700000,50700000,51200000,53900000,57600000,62000000,60500000,66100000,82300000,96900000,103100000,98710000,98836000,126463000,133851000,142961000,145867000,139383000,150301000,195358000,191016000,215864000,218910000,290453000,316058000,341158000,355480000,349699000,391727000,392691000,421893000,468380000,530818000
48,Accounts Payable,- -,- -,- -,- -,3600000,3100000,2800000,3200000,2800000,4600000,4900000,7100000,7200000,10200000,10500000,7188000,8887000,11040000,14895000,11395000,11484000,10597000,11363000,13230000,10773000,11159000,11365000,15551000,18554000,16059000,19155000,18350000,28601000,22469000,31523000,34923000,41859000
49,Short-Term Debt,1400000,4300000,3800000,3100000,5500000,1900000,9900000,11300000,12600000,10400000,5500000,2600000,11200000,14300000,16600000,23017000,8264000,26334000,9188000,22887000,16278000,17037000,13582000,19670000,8003000,12878000,1790000,66730000,70045000,75927000,71360000,37950000,44550000,18060000,4480000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,507000,610000,931000,1097000,1223000,1449000,1233000,2898000,1082000,1512000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6900000,5800000,6000000,6600000,3300000,3100000,3200000,3200000,3700000,4400000,4800000,7700000,10300000,10400000,9700000,7490000,6631000,11181000,12969000,10965000,11824000,18077000,16264000,17889000,7485000,8642000,9258000,11799000,9442000,15089000,14029000,19538000,19958000,19486000,21244000,30276000,40287000
53,Total Current Liabilities,8300000,10100000,9800000,9700000,12400000,8100000,15900000,17700000,19100000,19400000,15200000,17400000,28700000,34900000,36800000,37695000,23782000,48555000,37052000,45247000,39586000,45711000,41209000,50789000,26261000,32679000,22413000,94080000,98041000,107075000,104544000,75838000,93109000,60015000,57247000,65199000,82146000
54,Long-Term Debt,5700000,7500000,7100000,5300000,5200000,10400000,1900000,1700000,1400000,1200000,1000000,1100000,900000,2600000,11500000,5944000,20498000,13046000,24450000,14819000,15360000,5928000,3129000,5504000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1100000,1400000,2200000,2500000,2700000,2800000,2900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4710000,5699000,7437000,6584000,199000,244000,133000,- -,- -,- -,8692000,9790000,6399000,774000,1901000,3434000,3332000,876000,5696000,5385000
57,Other Non-Current Liabilities,800000,400000,300000,300000,500000,1200000,1200000,9600000,11000000,12000000,12100000,11000000,11200000,11600000,11800000,11752000,11554000,12057000,11479000,11392000,10921000,15726000,13750000,27909000,20294000,14802000,17216000,16434000,11664000,13353000,17887000,15751000,17732000,25841000,32702000,36226000,40217000
58,Total Non-Current Liabilities,7600000,9300000,9600000,8100000,8400000,14400000,6000000,11300000,12400000,13200000,13100000,12100000,12100000,14200000,23300000,17696000,32052000,29813000,41628000,33648000,32865000,21853000,17123000,33546000,20294000,14802000,17216000,25126000,21454000,19752000,18661000,17652000,21166000,29173000,33578000,41922000,45602000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
