,https://roic.ai/company/CVS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,398100000,385300000,346700000,133400000,331800000,307500000,-657200000,75400000,37700000,396000000,- -,746000000,413000000,717000000,- -,847000000,1224700000,1369000000,2637000000,3212100000,3696000000,3427000000,3461000000,3877000000,4592000000,4644000000,5237000000,5317000000,6622000000,-594000000,6634000000,7179000000,7898000000
74,Depreciation and Amortization,- -,- -,- -,- -,97800000,114400000,138500000,201000000,191600000,206300000,228400000,133700000,226200000,249700000,- -,296600000,320800000,310300000,- -,341700000,589100000,733300000,1094600000,1274200000,1389000000,1469000000,1568000000,1753000000,1870000000,1931000000,2092000000,2475000000,2479000000,2718000000,4371000000,4441000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,5900000,10100000,18100000,-93400000,15600000,2000000,-204800000,84100000,-195100000,81800000,- -,43800000,-83500000,71800000,- -,41100000,13500000,98200000,40100000,-3400000,48000000,30000000,144000000,-106000000,-86000000,-58000000,-266000000,153000000,-1334000000,87000000,-654000000,-570000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165000000,150000000,135000000,132000000,141000000,165000000,230000000,222000000,234000000,280000000,453000000,400000000,- -
77,Change in Working Capital,- -,- -,- -,- -,-61600000,-108200000,128900000,21000000,9500000,-62500000,-245600000,28600000,39200000,336000000,- -,255000000,415000000,488000000,- -,132000000,747800000,-417800000,-8000000,-346700000,2200700000,1399000000,2000000,-576000000,3838000000,-2944000000,253000000,-2417000000,-4211000000,653000000,-4235000000,-2647000000,-2151000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86000000,532000000,-748000000,-387000000,-2210000000,-737000000,-1594000000,-243000000,-941000000,-1139000000,-2158000000,-1510000000,- -
79,Inventory,- -,- -,- -,- -,-82100000,-140100000,-180100000,26500000,-86300000,-266100000,-214300000,-247600000,-531000000,-315000000,- -,-98100000,-366800000,-95300000,- -,2100000,-265200000,-624100000,-448000000,-488100000,-1199000000,-352000000,607000000,-858000000,12000000,-770000000,-1141000000,-742000000,-514000000,-1153000000,-1075000000,-973000000,-165783000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,-40000000,1128000000,1147000000,1024000000,1742000000,2834000000,2189000000,1710000000,2489000000,3550000000,2769000000,- -
81,Other Working Capital,- -,- -,- -,- -,1019100000,910900000,1039800000,1060800000,1070300000,1007800000,762200000,790800000,830000000,1166000000,- -,1973000000,2388000000,2876000000,- -,3008000000,3808800000,3391000000,3383000000,3036300000,5237000000,6636000000,6638000000,6062000000,9900000000,6956000000,7209000000,4792000000,581000000,1234000000,-3001000000,-5648000000,-7799000000
82,Other Non-Cash Items,- -,- -,- -,- -,51000000,163700000,-235200000,357300000,-128800000,45100000,1224700000,-188100000,-383200000,-842500000,- -,-561200000,-384700000,-382300000,- -,-392900000,-963000000,-40300000,-534000000,-189100000,-3463700000,-1696000000,546000000,1591000000,-4572000000,4399000000,866000000,4319000000,4217000000,5721000000,6279000000,7062000000,12518000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,491200000,565300000,397000000,619300000,419700000,498400000,345500000,133700000,-275200000,221000000,- -,780200000,680600000,1204800000,- -,968900000,1612100000,1742400000,3229700000,3947100000,4035000000,4779000000,5856000000,6671000000,5783000000,8137000000,8412000000,10069000000,8007000000,8865000000,12848000000,15865000000,18265000000
84,CAPEX,- -,- -,- -,- -,-202600000,-231100000,-253100000,-304300000,-386700000,-421400000,-395000000,-224400000,-312100000,-564500000,- -,-695300000,-713600000,-1108800000,- -,-1121700000,-1495400000,-1768900000,-1805300000,-2179900000,-2548000000,-2005000000,-1872000000,-2030000000,-1984000000,-2136000000,-2367000000,-2224000000,-1918000000,-2037000000,-2457000000,-2437000000,-2520000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-263300000,-159100000,-93500000,- -,-133100000,- -,-4224200000,-1983300000,-2650700000,-101000000,-177000000,-1191000000,-371000000,-415000000,-2439000000,-11475000000,-539000000,-1287000000,-41394000000,-444000000,-26000000,-146000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,-3000000,- -,-226000000,-157000000,-267000000,-65000000,-86000000,-692000000,-7534000000,-9639000000,-9963000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296400000,162300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27500000,1562000000,508000000,60000000,- -,136000000,161000000,243000000,91000000,61000000,817000000,7049000000,6467000000,7246000000
88,Other Investing Activites,- -,- -,- -,- -,-19100000,-396900000,900000,8400000,56400000,50400000,418800000,429800000,340100000,50500000,- -,318100000,335900000,466500000,- -,501200000,583800000,1399900000,706900000,222500000,23000000,34000000,596000000,552000000,654000000,526000000,446000000,267000000,298000000,21000000,47000000,101000000,122000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-221700000,-628000000,-252200000,-295900000,-330300000,-371000000,23800000,501800000,190300000,-514000000,- -,-640500000,-536800000,-735800000,- -,-753600000,-911600000,-4593200000,-3081700000,-4580600000,-1069000000,-1640000000,-2410000000,-1849000000,-1835000000,-4045000000,-13420000000,-2470000000,-2932000000,-43285000000,-3339000000,-5534000000,-5261000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3382000000,-2118000000,-2122000000,-1778000000,-690000000,-3100000000,-3587000000,-5943000000,-598000000,-6078000000,-9056000000,-15631000000,-3195000000
91,Common Stock Issued,- -,- -,- -,- -,367900000,9100000,10700000,15500000,5800000,3200000,- -,27900000,159500000,121100000,- -,97800000,47300000,34000000,- -,38300000,178400000,187600000,552400000,327800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-357500000,-3800000,- -,- -,- -,- -,-26300000,- -,- -,- -,- -,-163200000,-129000000,- -,- -,- -,- -,- -,-5370400000,-23000000,-2477000000,-1500000000,-3001000000,-4330000000,-3976000000,-4001000000,-5001000000,-4461000000,-4361000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-203900000,-211400000,-225300000,-239500000,-229400000,-225500000,-240000000,-132200000,-74600000,-102500000,- -,-104800000,-105200000,-104900000,- -,-105200000,-131600000,-140900000,-322400000,-383000000,-439000000,-479000000,-674000000,-829000000,-1097000000,-1288000000,-1576000000,-1840000000,-2049000000,-2038000000,-2603000000,-2624000000,-2625000000
94,Other Financing Activites,- -,- -,- -,- -,-5600000,11100000,37300000,-32900000,70100000,131000000,-90500000,-236900000,-303300000,262700000,- -,137800000,-57900000,66000000,- -,-5600000,-626200000,2821400000,5518300000,1007500000,3066000000,1299000000,2337000000,2077000000,4526000000,2695000000,15170000000,5555000000,257000000,44935000000,3809000000,10100000000,-5536000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-199100000,-195000000,-177300000,-256900000,-153500000,-91300000,-356800000,-341200000,-218400000,281300000,- -,-32400000,-244800000,-4900000,- -,-72500000,-579400000,2868100000,377900000,929300000,-3232000000,-2798000000,-3460000000,-4860000000,-1237000000,-5694000000,5006000000,-6689000000,-6751000000,36819000000,-7850000000,-8155000000,-11356000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,-6000000,-20000000,2000000,1000000,-4000000,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-199100000,-195000000,-177300000,-256900000,-153500000,36100000,12500000,-341200000,-218400000,281300000,- -,107300000,-101000000,464100000,- -,142800000,121100000,17300000,525900000,295800000,-266000000,341000000,-14000000,-38000000,2714000000,-1608000000,-22000000,912000000,-1675000000,2395000000,1659000000,2176000000,1648000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,117100000,129500000,- -,- -,- -,- -,337300000,236300000,700400000,- -,843200000,513400000,530700000,1056600000,1352400000,1086000000,1427000000,1413000000,1375000000,4089000000,2481000000,2459000000,3371000000,1696000000,4295000000,5954000000,8130000000,12691000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,298400000,368800000,111100000,78700000,145100000,81000000,117000000,129600000,471800000,192500000,- -,230000000,337300000,236300000,- -,700400000,392300000,513400000,530700000,1056600000,1352000000,1086000000,1427000000,1413000000,1375000000,4089000000,2481000000,2459000000,3371000000,1900000000,4295000000,5954000000,11043000000
100,Free Cash Flow,- -,- -,- -,- -,288600000,334200000,143900000,315000000,33000000,77000000,-49500000,-90700000,-587300000,-343500000,- -,84900000,-33000000,96000000,- -,-152800000,116700000,-26500000,1424400000,1767200000,1487000000,2774000000,3984000000,4641000000,3799000000,6001000000,6045000000,7845000000,6089000000,6828000000,10391000000,13428000000,15745000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64803/000089109295000026/0000891092-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/64803/000089109296000050/0000891092-96-000050-index.html,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/64803/000091205701007764/0000912057-01-007764-index.html,https://www.sec.gov/Archives/edgar/data/64803/000110465902000809/j2961_10k405.htm,https://www.sec.gov/Archives/edgar/data/64803/000110465903004471/j8483_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/64803/000119312504040575/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000119312506053756/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000110465907014431/a07-4967_110k.htm,https://www.sec.gov/Archives/edgar/data/64803/000119312508040019/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000119312509041089/0001193125-09-041089-index.html,https://www.sec.gov/Archives/edgar/data/64803/000119312510043086/0001193125-10-043086-index.html,https://www.sec.gov/Archives/edgar/data/64803/000119312511040351/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/0001104659-12-010850-index.html,https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/0001104659-13-011354-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/cvs-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480315000008/cvs-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480316000074/0000064803-16-000074-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480317000006/0000064803-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/64803/000155837018000707/0001558370-18-000707-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480319000013/0000064803-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480320000007/0000064803-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480321000011/0000064803-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480322000008/0000064803-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
