,https://roic.ai/company/ITIC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,-2700000,-1700000,-1200000,-4300000,- -,-3400000,-4834434,-5368139,-9333990,-5379329,-6137907,-7497294,-12073160,-19400017,-23947089,-71757792,-46075256,-57027579,-70482970,-20422662,-18621485,-26980173,-18055579,-25688378,-27474155,-33500590,-28475571,-23943501,-51353748,-110279000,-64138000,-8378000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1100000,800000,1100000,1200000,- -,1700000,2748512,2555478,3254549,3455996,2757277,3539164,3961880,8868262,10244379,58087113,43594373,56181684,64317519,28155992,15954504,23308303,25688238,24840169,20280492,20317722,26367521,25777893,34050338,109265000,54383000,12700000,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,- -,- -,-100000,- -,- -,34128,23729,32229,30928,24520,33825,65168,69551,61119,322804,-1991856,-23593067,-877267,8266,12516,24713,31157,286292,64701,62452,224188,109257,72736,66000,34925000,24065000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1600000,-2700000,-200000,-3300000,- -,-2000000,-2367557,-3092349,-6469323,-3079413,-6433840,-4408456,-8438269,-11154172,-14535829,-14852662,-6369969,-26341581,-7506546,7247915,-2825515,-3964687,7302609,-1480645,-8553070,-15653070,-4699081,-8838598,-20288406,-2807000,25158000,28290000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,15830,33662,179330,414535,324861,2482581,219342,365284,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-224904,-316093,- -,-100000,-1500000,-2103947,-792666,-303146,-986479,-1182654,-3203462,-2278180,-4660259,-5972043,-427875,-378770,-5940463,-3975532,-4262260,-1055765,-5483953,-6219670,-244831,-29000,-19000,-6000,- -
93,Dividends Paid,- -,- -,- -,- -,-100000,-100000,-100000,-100000,-200000,-200000,-228460,-271297,-342689,-342689,-342689,-342689,-342689,-300557,-300411,-374425,-410202,-606423,-595808,-661862,-641577,-639734,-599241,-603334,-657914,-650433,-789907,-1370390,-7073210,-23017000,-18131000,-31716000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,3000000,-1500000,- -,- -,- -,-42709,-47159,-49052,- -,- -,- -,- -,- -,- -,- -,- -,230801,91873,140500,155163,119757,38897,-124958,46863,6032093,-737,-53000,-600000,-1099000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-100000,-100000,-100000,2900000,-1700000,-1600000,-953364,-587390,-185398,-489848,-1891741,-2430806,-1101693,-424373,-872355,-1232218,-1131083,-2665261,-4890783,-6403104,-977579,-878004,-6384541,-4459109,-4881277,-1831156,-6226997,-7557967,-7318778,-23099000,-18750000,-32821000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-100000,-100000,-100000,2900000,-1700000,-1600000,-63063,1717562,-1421393,5318177,-587057,296694,-816258,712032,1343395,-398913,9882038,-11150049,-457670,2154284,3578175,-616190,9925227,2767760,2816743,-7800246,5963553,6138404,-7714004,-1520000,8111000,-5971000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2527008,4244570,2823177,8141354,7554297,7850991,3452455,3781961,5125356,4726443,14608481,3458432,3000762,5155046,8733221,8117031,18042258,20810018,23626761,15826515,21790068,27928472,20214468,18694000,9651000,3680000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,3000000,2300000,1600000,2500000,200000,1700000,2590071,2527008,4244570,2823177,8141354,7554297,4268713,3069929,3781961,5125356,4726443,14608481,3458432,3000762,5155046,8733221,8117031,18042258,20810018,23626761,15826515,21790068,27928472,20214000,1540000,9651000,3680000
100,Free Cash Flow,- -,- -,- -,- -,1000000,200000,1100000,-600000,1800000,4200000,2942095,5093884,4811217,7700430,4660794,6651805,8331547,11598609,15857341,14181180,15485860,15954174,11475831,815792,7210219,3908971,8645952,8138786,14826982,7666601,14147012,20078018,17010448,22527000,1691000,-1537000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720858/000095016802000642/0000950168-02-000642-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/720858/000116923205001699/0001169232-05-001699-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000114420406011038/0001144204-06-011038-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000114420407012108/0001144204-07-012108-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000114420408015783/0001144204-08-015783-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000120677409000436/0001206774-09-000436-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000120677410000522/0001206774-10-000522-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000115752311001475/0001157523-11-001475-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000115752312001393/0001157523-12-001393-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000115752313001407/0001157523-13-001407-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085814000004/0000720858-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085815000004/0000720858-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085816000027/0000720858-16-000027-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085817000008/0000720858-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085818000006/0000720858-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085819000009/0000720858-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085820000009/0000720858-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085821000008/0000720858-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085822000007/0000720858-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
