,https://roic.ai/company/JJSF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-1400000,-900000,-900000,-500000,-800000,-400000,-200000,- -,-1000000,1000000,700000,-4997000,-361000,-207000,-829000,-2423000,-3465000,-2160000,-5722000,-2448000,2993000,-4422000,-6262000,-6463000,-1819000,-2411000,-3504000,-6295000,-7410000,-9639000,-3231000,7877000,-14155000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,14400000,7700000,35100000,28100000,29900000,25000000,28000000,24800000,19200000,14500000,16200000,22069000,26700000,35200000,63100000,90800000,101300000,113155000,100800000,111000000,143400000,149400000,184100000,226600000,181500000,179600000,228436000,252813000,262788000,264898000,385123000,365431000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,900000,10500000,-31300000,8400000,-3300000,4900000,-4600000,4000000,-1500000,3800000,1400000,-9651000,-593000,-8081000,-28966000,-29718000,-7944000,-10852000,10533000,-14119000,-26375000,-20711000,-46604000,-42466000,31752000,-2519000,-54062000,-29325000,-17140000,-22282000,-130022000,33265000,93000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,9200000,14400000,10100000,16500000,20200000,23200000,20600000,21900000,20400000,37200000,48400000,37206000,49454000,51083000,46365000,47144000,52644000,54965000,57843000,54897000,80633000,68008000,80456000,89425000,86548000,106542000,105273000,121225000,125349000,123367000,147499000,92143000,101499000
84,CAPEX,- -,- -,- -,- -,-8600000,-16000000,-13200000,-22500000,-15600000,-18600000,-12900000,-14500000,-19600000,-46600000,-28900000,-34928000,-28457000,-20479000,-19292000,-21644000,-21632000,-19739000,-22765000,-22781000,-27190000,-33531000,-29124000,-42800000,-35821000,-38831000,-50096000,-48709000,-72180000,-60022000,-57128000,-57817000,-53578000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1280000,- -,- -,- -,-12668000,-16088000,-26264000,-52747000,- -,- -,-25185000,-8806000,-7900000,- -,-28360000,-615000,- -,-47698000,- -,-1156000,-57212000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-8700000,-8400000,-12700000,-11900000,-4000000,-7400000,- -,- -,- -,- -,- -,- -,- -,- -,-31725000,-40825000,-60875000,-12970000,-66380000,-50496000,-63293000,-68450000,-111241000,-26932000,-90137000,-41786000,-39923000,-91112000,-26091000,-6103000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2800000,- -,- -,- -,17000000,10600000,7000000,7700000,7900000,700000,300000,1229000,105000,840000,400000,275000,14000000,36050000,78882000,6500000,45404000,67362000,37568000,109744000,25307000,7245000,110117000,13224000,22997000,75302000,39158000,73226000,60891000
88,Other Investing Activites,- -,- -,- -,- -,300000,300000,-200000,800000,-300000,2200000,2500000,-3000000,-18800000,800000,- -,-104000,264000,151000,2390000,1593000,12000,149000,-329000,10397000,341000,395000,-250000,88000,918000,766000,888000,2669000,1485000,2693000,1854000,3443000,2626000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-5500000,-15700000,-22100000,-30100000,-11600000,-17700000,-7400000,-17200000,-30500000,-45100000,-28600000,-35083000,-28088000,-19488000,-16502000,-32444000,-55433000,-50629000,-57834000,-18854000,-47825000,-41455000,-63905000,-9318000,-120837000,-86112000,-29843000,-74602000,-135319000,-73139000,-43363000,-44463000,9939000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93000,-143000,-244000,-312000,-340000,-326000,-243000,-355000,-356000,-370000,-356000,-340000,-144000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,29900000,300000,1200000,800000,300000,200000,900000,2100000,2400000,1352000,2307000,3195000,2238000,3810000,2241000,2809000,4369000,2811000,3971000,3051000,5377000,4228000,3948000,3320000,4663000,6570000,7231000,8894000,14174000,7901000,20256000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1000000,-200000,-2700000,-1900000,-7300000,-9400000,-5000000,- -,- -,-5600000,-9834000,-1431000,- -,-8565000,- -,- -,- -,- -,-3539000,-12510000,-7768000,- -,-8167000,-14500000,-7505000,-8011000,-15265000,-18229000,-2794000,- -,-8972000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3400000,-5273000,-6123000,-6781000,-7108000,-7749000,-8540000,-9549000,-11468000,-20924000,-26154000,-28523000,-30859000,-33066000,-36644000,-42053000,-44785000
94,Other Financing Activites,- -,- -,- -,- -,-1100000,-500000,-4400000,1400000,-100000,-800000,-100000,-100000,100000,7700000,-13800000,1793000,-16184000,-28069000,- -,- -,- -,- -,-15000,-91000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1100000,-1500000,25300000,-1000000,-800000,-7300000,-9200000,-4900000,1000000,9800000,-17000000,-6689000,-15308000,-24874000,-6327000,3810000,-1159000,-2464000,-1769000,-7600000,-15740000,-12609000,-3407000,-13800000,-22360000,-25435000,-29745000,-37573000,-42213000,-27336000,-22826000,-43464000,-24673000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104000,143000,-46000,-42000,3000,-990000,378000,-330000,412000,-204000,-580000,-3756000,-2087000,2493000,-2375000,-394000,-802000,618000
97,Net Change In Cash,- -,- -,- -,- -,-1100000,-1500000,25300000,-1000000,-800000,-7300000,-9200000,-4900000,1000000,9800000,2700000,-4566000,6058000,6721000,23536000,18406000,-3805000,1826000,-1802000,28446000,16078000,14322000,12814000,66719000,-56853000,-5585000,41929000,6963000,-49690000,20517000,80916000,3414000,87383000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,1379000,7437000,14158000,37694000,56100000,15795000,17621000,15819000,44265000,60343000,74665000,87479000,154198000,97345000,91760000,133689000,140652000,90962000,111479000,192395000,195809000,283192000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2200000,4800000,2000000,15200000,600000,8500000,6600000,10700000,10500000,1400000,3200000,5945000,1379000,7437000,14158000,37694000,19600000,15795000,17621000,15819000,44265000,60343000,74665000,87479000,154198000,97345000,91760000,133689000,140652000,90962000,111479000,192395000,195809000
100,Free Cash Flow,- -,- -,- -,- -,600000,-1600000,-3100000,-6000000,4600000,4600000,7700000,7400000,800000,-9400000,19500000,2278000,20997000,30604000,27073000,25500000,31012000,35226000,35078000,32116000,53443000,34477000,51332000,46625000,50727000,67711000,55177000,72516000,53169000,63345000,90371000,34326000,47921000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785956/000078595695000014/0000785956-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595696000006/0000785956-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595697000006/0000785956-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595698000010/0000785956-98-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/785956/000078595600000010/0000785956-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595601500011/0000785956-01-500011-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785956/000095011605003725/ten-k.htm,https://www.sec.gov/Archives/edgar/data/785956/000112528206007681/b415798_10k.htm,https://www.sec.gov/Archives/edgar/data/785956/000089322007003918/0000893220-07-003918-index.html,https://www.sec.gov/Archives/edgar/data/785956/000136110608000491/0001361106-08-000491-index.html,https://www.sec.gov/Archives/edgar/data/785956/000114544309003257/0001145443-09-003257-index.html,https://www.sec.gov/Archives/edgar/data/785956/000114544310002802/0001145443-10-002802-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774911009260/0001437749-11-009260-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774912012188/0001437749-12-012188-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774913015349/0001437749-13-015349-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774914021361/0001437749-14-021361-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774915021364/0001437749-15-021364-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774916042541/0001437749-16-042541-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774917019872/0001437749-17-019872-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774918021339/0001437749-18-021339-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774919023629/0001437749-19-023629-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774920024447/0001437749-20-024447-index.htm,https://www.sec.gov/Archives/edgar/data/785956/000143774921027317/0001437749-21-027317-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
