,https://roic.ai/company/AZO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11441000,-3090000,- -,- -,- -,- -,- -,- -,- -,-116084000,- -,-75744000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159957000,-94615000,-54282000,-48444000,-56156000,-43772000,-45665000,-44469000,-49736000,-49740000,-130170000,-85711000,-104536000,-55538000,-136139000,-105388000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145369000,86921000,50712000,46306000,52620000,43081000,42385000,37944000,46796000,46411000,120472000,82993000,69644000,53140000,84237000,95393000
88,Other Investing Activites,400000,1100000,200000,1400000,1300000,1400000,8700000,2100000,- -,- -,7308000,47153000,52728000,14443000,2590000,3797000,9845000,3453000,4014000,-261584000,-303911000,-318303000,-371481000,-404686000,-445028000,-488838000,-496137000,-550881000,-486968000,-489448000,-445973000,-591783000
89,Cash Used for Investing Activites,-25500000,-40000000,-70600000,-119200000,-171700000,-256700000,-279500000,-295400000,-437200000,-428300000,-242349000,-122143000,-64511000,-167799000,-193721000,-282771000,-268323000,-228715000,-243150000,-263722000,-307447000,-318994000,-374761000,-527295000,-447968000,-567911000,-505835000,-553599000,-521860000,-491846000,-497875000,-601778000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-317740000,-16597000,-222081000,-108021000,-532493000,-532656000,-534986000,-536320000,-490004000,-299004000,-598607000,-1582158000,-309853000
91,Common Stock Issued,- -,79300000,7900000,31600000,14100000,17600000,17700000,14600000,27700000,11600000,5455000,48410000,55676000,45303000,33552000,64547000,38253000,58952000,27065000,39855000,52922000,55846000,75343000,97154000,42034000,66717000,80289000,54686000,89715000,188819000,68392000,187757000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-28700000,-234600000,-639925000,-366097000,-698983000,-891095000,-848102000,-426852000,-578066000,-761887000,-849196000,-1300002000,-1123655000,-1466802000,-1362869000,-1387315000,-1099212000,-1271416000,-1452462000,-1071649000,-1592013000,-2004896000,-930903000,-3378321000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-18300000,-66800000,2100000,-2600000,1100000,9200000,80900000,104000000,73100000,343200000,364910000,-18790000,-32061000,315580000,353642000,-5049000,2137000,81552000,299449000,770991000,203837000,659266000,552114000,975632000,678277000,842983000,855696000,592638000,169148000,740596000,1801033000,- -
95,Cash Used/Provided by Financing Activities,-18300000,12500000,10000000,29000000,15200000,26800000,98600000,118600000,72100000,120200000,-269560000,-336477000,-675368000,-530212000,-460908000,-367354000,-537676000,-621383000,-522682000,-806896000,-883493000,-973771000,-843433000,-847022000,-911557000,-896702000,-1052797000,-914329000,-1632154000,-1674088000,-643636000,-3500417000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,539000,-2945000,262000,553000,-300000,-1596000,585000,-9686000,-4272000,852000,-1724000,-4103000,-4082000,4172000
97,Net Change In Cash,-18300000,12500000,10000000,29000000,15200000,26800000,98600000,118600000,1900000,-700000,1051000,317000,-788000,244000,-16250000,-2042000,16748000,-4904000,155807000,-149755000,5574000,-674000,5487000,39098000,-17706000,50824000,14425000,103536000,-75446000,-41524000,1574515000,-579480000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,6600000,5900000,6969000,7286000,6498000,6742000,76852000,74810000,91558000,86654000,242461000,92706000,98280000,97606000,103093000,142191000,124485000,175309000,189734000,293270000,217824000,176300000,1750815000,1171335000
99,Cash at the Beginning of Period,800000,900000,9000000,57800000,84500000,56200000,10700000,3900000,4700000,6600000,5918000,6969000,7286000,6498000,93102000,76852000,74810000,91558000,86654000,242461000,92706000,98280000,97606000,103093000,142191000,124485000,175309000,189734000,293270000,217824000,176300000,1750815000
100,Free Cash Flow,18000000,-5400000,38500000,-3600000,-44700000,-78000000,-114000000,-120000000,-70100000,-120900000,263303000,289641000,621852000,516013000,453509000,364605000,559167000,620720000,677506000,651561000,880852000,969934000,845927000,1000560000,892006000,1034544000,1078538000,1016780000,1558045000,1632463000,2262372000,2896776000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866787/000095014496008757/0000950144-96-008757-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866787/000086678700500019/0000866787-00-500019-index.html,https://www.sec.gov/Archives/edgar/data/866787/000086678701500047/0000866787-01-500047-index.html,https://www.sec.gov/Archives/edgar/data/866787/000095014402010940/0000950144-02-010940-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095014403011980/0000950144-03-011980-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866787/000114420405032748/0001144204-05-032748-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000114420406043603/0001144204-06-043603-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000114420407055597/0001144204-07-055597-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000136231008006211/0001362310-08-006211-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095012309053232/0000950123-09-053232-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095012310095687/0000950123-10-095687-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095012311091540/0000950123-11-091540-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312512430271/0001193125-12-430271-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312513413428/0001193125-13-413428-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312514383401/0001193125-14-383401-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312515353476/0001193125-15-353476-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312516745160/0001193125-16-745160-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312517319357/0001193125-17-319357-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312518306452/0001193125-18-306452-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312519276201/0001193125-19-276201-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000155837020011748/0001558370-20-011748-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000155837021013446/0001558370-21-013446-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
