,https://roic.ai/company/SJW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,-6000000,-4000000,-4000000,-2000000,-3000000,-2000000,-1000000,-1000000,-1000000,-2000000,-835000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156000,-678000,-4232000,-13000,-1097000,-328000,-116000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3056000,1925000,4509000,- -,4112000,- -,- -,-11421000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,-600000,7500000,-7500000,2588000,3997000,-678000,-1302000,-1352000,4590000,6779000,3256000,2454000,-16984000,4886000,951000,34010000,3000,5237000,8482000,4804000,9000,20271000,39653000,-619000,143000,716000,-248574000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18500000,-21900000,-9300000,-31700000,-36128000,-28365000,-34443000,-49304000,-38948000,-57752000,-35484000,-48513000,-65305000,-91361000,-66651000,-64155000,-74763000,-75719000,-104197000,-95770000,-97640000,-110610000,-122129000,-113874000,-146843000,-1017771000,-214259000,-259995000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27449000,-64890000,-22694000,-4696000,-46939000,-67002000,-76233000,-99074000,-48417000,-1000000,-193455000,-247220000,-76113000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,21000,10000,1298000,890000,- -,- -,- -,- -,35894000,- -,- -,- -,- -,411385000,- -,- -,91028000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3200000,- -,-158000,-7111000,- -,- -,- -,- -,-144000,-185000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6800000,-7000000,-7200000,-7200000,-7419000,-7379000,-7491000,-7834000,-8405000,-8861000,-9319000,-9777000,-10326000,-11089000,-11875000,-12202000,-12603000,-12823000,-13231000,-14443000,-15177000,-15885000,-16559000,-21332000,-23074000,-34134000,-36509000,-40137000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,12800000,4900000,6900000,21005000,11333000,18559000,35922000,13565000,34338000,4318000,14332000,25487000,57687000,26896000,47360000,115403000,72036000,23545000,57610000,114008000,108311000,143801000,64960000,81112000,712587000,385262000,158027000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,5800000,-5500000,-300000,13428000,-3157000,11068000,28088000,5160000,25477000,-5126000,4391000,15171000,47896000,15911000,7709000,37910000,36519000,5618000,32122000,31829000,16193000,28168000,-4789000,468423000,484988000,101533000,132805000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,6100000,4500000,-8100000,4234000,-7942000,659000,4238000,-4697000,9712000,621000,-1501000,-5610000,-1434000,1052000,-1990000,314000,25004000,-24212000,-223000,100000,2840000,20111000,-17551000,412923000,-402778000,-8675000,2850000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,7400000,11900000,3800000,8066000,124000,783000,5021000,324000,10036000,10899000,9398000,3788000,2354000,3406000,1416000,1730000,26734000,2522000,2299000,2399000,5239000,25350000,7799000,420722000,17944000,9269000,12119000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,1300000,7400000,11900000,3832000,8066000,124000,783000,5021000,324000,10278000,10899000,9398000,3788000,2354000,3406000,1416000,1730000,26734000,2522000,2299000,2399000,5239000,25350000,7799000,420722000,17944000,9269000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,3200000,-1800000,-300000,-11782000,-8782000,-9731000,-22548000,-8505000,-20355000,-1032000,-9148000,-27235000,-32346000,-19745000,-9699000,-71534000,-7362000,-32389000,-33595000,-37576000,-13190000,-31509000,-51299000,-56993000,-52909000,-110924000,130040000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/766829/000076682995000004/0000766829-95-000004-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766829/000076682901500013/0000766829-01-500013-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766829/000110465907017528/0001104659-07-017528-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000114036108006293/0001140361-08-006293-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000119312509047816/0001193125-09-047816-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000119312510048821/0001193125-10-048821-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000119312511052239/0001193125-11-052239-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682912000007/0000766829-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682913000005/0000766829-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682914000012/0000766829-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682915000009/0000766829-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682916000053/0000766829-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682917000043/0000766829-17-000043-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682918000058/0000766829-18-000058-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682919000063/0000766829-19-000063-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682920000055/0000766829-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682921000047/0000766829-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682922000060/0000766829-22-000060-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
