,https://roic.ai/company/NNN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-31300000,-78700000,-66574748,-144932000,-184127000,-29572000,-77964000,-3999000,-19836000,-43360000,-215730000,-134565000,-267797000,-352549000,-677101000,-352618000,-44433000,-230928000,-758380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7696000,- -,- -,-1068000,-2183000,- -,- -,- -,- -,- -,- -,1220000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35680000,-520000,-114888000,-120569000,-240548000,-122461000,-17738000,-18371000,-49044000,-31757000,-1410000,-9888000,-11427000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,400000,- -,- -,- -,800000,19400000,- -,6050000,4730000,84195000,186185000,194016000,155501000,16846000,39075000,19862000,68180000,- -,13818000,6837000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,400000,-100000,-17300000,-400000,-943708,-115000,-2275000,-116071000,43158000,-22583000,33803000,17727000,4563000,43638000,28385000,224861000,169566000,59891000,17780000,6738000,10902000,-602979000,-568040000,-541558000,-644544000,-779943000,-625557000,-609371000,-619408000,-142816000,-432177000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,400000,300000,-48600000,-79100000,-67518456,-144247000,-167002000,-145643000,-64436000,-22372000,-24422000,39983000,-257699000,-58955000,-242487000,-106984000,-536717000,-256304000,-28063000,-220260000,-752068000,-601759000,-568040000,-541558000,-644544000,-779943000,-625557000,-609371000,-619408000,-142816000,-432177000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-8900000,-8600000,-32700000,-15048243,-142047000,-98137000,-123438000,-132749000,-82759000,-255045000,-233675000,-368702000,-491413000,-249967000,-541155000,-571365000,-720490000,-175480000,-144428000,-912598000,-1310339000,-977467000,-876051000,-1414435000,-1340162000,-1631710000,-2020538000,-696167000,-770196000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,-600000,76000000,50000000,- -,130875000,111520000,21183000,2180000,578000,61062000,2725000,168579000,13230000,23268000,70392000,355261000,128039000,68060000,17692000,540560000,185223000,267613000,360072000,332117000,278040000,256764000,345324000,542280000,126488000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7500000,- -,- -,-2331000,-48000,- -,- -,- -,-140000,-8000,-203000,-89080000,- -,- -,-1000,-19328000,-92000000,- -,- -,- -,- -,-287500000,- -,-287500000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-1500000,-1600000,-1800000,-3200000,-9900000,-13529860,-18868000,-28381000,-35672000,-37495000,-37760000,-38637000,-55184000,-59984000,-71955000,-74701000,-80834000,-92989000,-116892000,-127593000,-133037000,-140505000,-184923000,-217030000,-239591000,-264133000,-295630000,-315045000,-337491000,-364833000,-374349000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,8400000,- -,43400000,81187596,160680000,148740000,241592000,188842000,91024000,223818000,182209000,466114000,531053000,519252000,633664000,831080000,704026000,126173000,278943000,1101027000,1775662000,1219912000,1009514000,1653556000,2002638000,1888315000,2263070000,810746000,976803000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-1500000,-1600000,-2900000,64200000,50800000,52609493,123140000,133742000,103665000,18447000,-28965000,-8802000,-103925000,206007000,-19225000,217844000,81864000,432907000,-5317000,-108840000,19169000,569156000,373623000,293028000,253944000,307105000,644886000,-89176000,250365000,4526000,-41254000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-1500000,-1600000,-2900000,64200000,50800000,-769186,1109000,750000,-718000,1887000,-1139000,4784000,-5237000,2627000,-3388000,6287000,-6559000,25824000,-24873000,12599000,-13177000,34000,-6000,-591000,9119000,3656000,280280000,-293176000,112903000,-113155000,266124000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300714,1410000,2160000,1442000,3329000,2190000,6974000,1737000,4364000,1947000,8234000,1675000,27499000,2626000,15225000,2048000,2082000,2076000,1485000,10604000,14260000,294540000,1364000,114267000,1112000,267236000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,500000,600000,1000000,500000,19800000,1069900,301000,1410000,2160000,1442000,3329000,2190000,6974000,1737000,5335000,1947000,8234000,1675000,27499000,2626000,15225000,2048000,2082000,2076000,1485000,10604000,14260000,294540000,1364000,114267000,1112000,- -
100,Free Cash Flow,- -,- -,- -,- -,- -,1600000,1500000,2100000,-27500000,-69200000,-52434971,-122716000,-150117000,11688000,-30088000,46199000,18172000,15345000,-161411000,-59773000,-236867000,-333988000,-547467000,-115870000,105069000,-43014000,-575434000,228130000,274421000,296733000,341095000,415337000,421557000,471909000,501727000,450194000,568425000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751364/000075136496000017/0000751364-96-000017-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751364/000075136402000031/k10_2001.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/751364/000095013305001031/w06705e10vk.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312506040125/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312507036172/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312508036431/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312509039243/0001193125-09-039243-index.html,https://www.sec.gov/Archives/edgar/data/751364/000119312510040917/0001193125-10-040917-index.html,https://www.sec.gov/Archives/edgar/data/751364/000119312511045441/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000144530512000439/0001445305-12-000439-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136413000007/0000751364-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136414000007/nnn-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000075136415000008/nnn-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000075136416000103/0000751364-16-000103-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136417000026/0000751364-17-000026-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136418000024/0000751364-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136419000024/0000751364-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136420000021/0000751364-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/751364/000075136421000018/0000751364-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/751364/000095017022000944/0000950170-22-000944-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
