,https://roic.ai/company/AES,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,-121000000,-148000000,-2454000000,-1623000000,-5713000000,-1818000000,-1365000000,-35000000,- -,- -,-85000000,879000000,821000000,193000000,2000000,341000000,-2635000000,530000000,156000000,1075000000,121000000,576000000,-606000000,1809000000,-338000000,-299000000,-990000000
86,Purchases of Investments,- -,- -,- -,- -,-71600000,- -,-66000000,-184000000,-2000000,-98000000,-1721000000,-782000000,-166000000,-83000000,-28000000,-1344000000,-2359000000,-3031000000,-5709000000,-4429000000,-5892000000,-6015000000,-5907000000,-4443000000,-4623000000,-4801000000,-5151000000,-3310000000,-1411000000,-770000000,-653000000,-519000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,36000000,103000000,77000000,94000000,49000000,81000000,670000000,162000000,96000000,83000000,1496000000,2011000000,2492000000,5150000000,4526000000,5786000000,6075000000,6437000000,4361000000,4503000000,4851000000,4904000000,3540000000,1302000000,666000000,627000000,616000000
88,Other Investing Activites,- -,- -,- -,- -,-38600000,-100000000,-518000000,-727000000,206000000,208000000,-130000000,1336000000,534000000,832000000,-149000000,203000000,27000000,-2252000000,-3205000000,-2016000000,-2275000000,-2331000000,-2083000000,-1848000000,-1611000000,-2537000000,-2437000000,-2373000000,-2205000000,-2279000000,-1970000000,-2158000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-119900000,-343000000,-1135000000,-3799000000,-1842000000,-6388000000,-5738000000,-3314000000,-1621000000,-383000000,-986000000,-873000000,-902000000,-1970000000,-3571000000,-1917000000,-2040000000,-4906000000,-1023000000,-1774000000,-656000000,-2366000000,-2108000000,-2749000000,-505000000,-2721000000,-2295000000,-3051000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3651000000,-139000000,-1271000000,-2943000000,-2926000000,-1881000000,-4622000000,-6432000000,-5164000000,-4907000000,-5455000000,-5582000000,-7016000000,-9981000000,-4458000000
91,Common Stock Issued,- -,- -,- -,- -,152500000,- -,2000000,503000000,200000000,1305000000,1449000000,14000000,- -,337000000,16000000,26000000,78000000,58000000,- -,- -,1567000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-143000000,- -,-99000000,-279000000,-301000000,-322000000,-308000000,-482000000,-79000000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-700000,- -,- -,- -,- -,- -,- -,-15000000,- -,- -,- -,- -,- -,- -,- -,-846000000,- -,- -,-30000000,-119000000,-144000000,-276000000,-290000000,-317000000,-344000000,-362000000,-381000000,-401000000
94,Other Financing Activites,- -,- -,- -,- -,-71600000,135000000,897000000,3220000000,1303000000,5064000000,4042000000,1627000000,172000000,-690000000,-952000000,-1221000000,-1395000000,3837000000,644000000,2727000000,769000000,4617000000,473000000,3927000000,5622000000,5950000000,4529000000,5815000000,4283000000,7292000000,10284000000,5656000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,80200000,130000000,899000000,3723000000,1503000000,6369000000,5491000000,1626000000,172000000,-353000000,-936000000,-1195000000,-1317000000,244000000,362000000,610000000,-706000000,1412000000,-1739000000,-1136000000,-1262000000,28000000,-747000000,43000000,-1643000000,-86000000,-78000000,797000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31000000,-81000000,39000000,21000000,12000000,62000000,69000000,-96000000,22000000,8000000,-122000000,5000000,-59000000,-51000000,-52000000,9000000,3000000,-54000000,-18000000,-24000000,-46000000
97,Net Change In Cash,- -,- -,- -,- -,123800000,-16000000,-54000000,117000000,189000000,178000000,212000000,-28000000,-22000000,945000000,-329000000,109000000,254000000,700000000,-1140000000,928000000,772000000,-815000000,275000000,-258000000,-103000000,-277000000,48000000,-295000000,215000000,-431000000,255000000,-343000000
98,Cash at the End of Period,- -,- -,- -,- -,255200000,239000000,185000000,302000000,491000000,669000000,881000000,922000000,780000000,1737000000,1408000000,1390000000,1575000000,2058000000,903000000,1809000000,2554000000,1710000000,1970000000,1642000000,1539000000,1262000000,1305000000,949000000,2003000000,1572000000,1827000000,1484000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,131400000,255000000,239000000,185000000,302000000,491000000,669000000,950000000,802000000,792000000,1737000000,1281000000,1321000000,1358000000,2043000000,881000000,1782000000,2525000000,1695000000,1900000000,1642000000,1539000000,1257000000,1244000000,1788000000,2003000000,1572000000,1827000000
100,Free Cash Flow,- -,- -,- -,- -,153800000,39000000,-324000000,-318000000,11000000,-637000000,-1691000000,-1482000000,-608000000,414000000,680000000,1022000000,951000000,-68000000,-675000000,-307000000,1200000000,454000000,665000000,727000000,-225000000,-174000000,539000000,312000000,222000000,61000000,855000000,-214000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874761/000091205702011424/0000912057-02-011424-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746903010240/0001047469-03-010240-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746904007896/0001047469-04-007896-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000110465905013802/0001104659-05-013802-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000110465906021893/0001104659-06-021893-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000110465907042479/0001104659-07-042479-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746908002833/0001047469-08-002833-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746909001899/0001047469-09-001899-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312510041006/0001193125-10-041006-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312511047720/0001193125-11-047720-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312512078654/0001193125-12-078654-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312513077580/0001193125-13-077580-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476114000011/0000874761-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476115000009/0000874761-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476116000077/0000874761-16-000077-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476117000003/0000874761-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476118000014/0000874761-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476119000012/0000874761-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476120000012/0000874761-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476121000015/0000874761-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476122000022/0000874761-22-000022-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
