,https://roic.ai/company/BC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-55700000,63300000,6400000,76100000,-14200000,88400000,161000000,-186500000,7100000,200000,71800000,94100000,-85700000,156400000,-41200000,231500000,84900000,-144600000,32900000,-82400000,-183600000,32100000,-136200000,-25100000,202600000,442200000,9100000,-353200000,88000000,-187900000,-42300000,9900000,-230600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123400000,159900000,2400000,- -,-19600000,-15600000,-24000000,-12300000,-1100000,-58100000,-27300000,41400000,- -,- -
79,Inventory,- -,- -,- -,- -,47300000,2800000,6500000,6100000,-10900000,-83600000,1500000,24200000,-55600000,-77900000,-1000000,-104300000,39400000,35100000,-31500000,-122800000,-40300000,-28700000,-42900000,81700000,325100000,-49200000,-25900000,-73100000,-21700000,-57100000,-15200000,-48200000,-65600000,-84200000,-50500000,109300000,-343200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,-3700000,57800000,-18000000,13000000,1100000,39200000,34700000,49300000,-32700000,64500000,134200000
81,Other Working Capital,- -,- -,- -,- -,216200000,279500000,285900000,362000000,347800000,436200000,597200000,410700000,417800000,418000000,489800000,583900000,498200000,654600000,613400000,844900000,929800000,785200000,818100000,735700000,552100000,584200000,448000000,422900000,625500000,1067700000,1076800000,723600000,811600000,623700000,581400000,591300000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,120100000,-137800000,14700000,3300000,62200000,-216000000,-128600000,271100000,-52800000,82800000,23900000,109700000,174300000,29800000,150500000,-243600000,-199600000,158700000,-10300000,445000000,746000000,149000000,52200000,35100000,-311700000,-580000000,-70900000,312500000,-32600000,53400000,386900000,246700000,7300000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,152900000,142000000,130800000,169000000,188900000,121200000,280100000,400100000,261700000,429000000,299200000,256800000,330800000,413000000,395100000,415200000,432900000,315300000,314300000,-12100000,125500000,205400000,89100000,160700000,170100000,236600000,323500000,421900000,400300000,337000000,434200000,798300000,574000000
84,CAPEX,- -,- -,- -,- -,-118300000,-88200000,-80900000,-108400000,-95800000,-104600000,-122700000,-169900000,-705900000,-230800000,-209500000,-156000000,-111400000,-112600000,-159800000,-171300000,-233600000,-205100000,-207700000,-102000000,-33300000,-57200000,-90000000,-115200000,-148100000,-124800000,-132500000,-193900000,-189300000,-193400000,-232600000,-182400000,-267100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134400000,-21200000,-177300000,-267800000,-135500000,-86200000,-6200000,- -,- -,- -,- -,- -,- -,-41500000,-29700000,-276100000,-15500000,-909600000,-64100000,- -,-1138600000
86,Purchases of Investments,- -,- -,- -,- -,- -,-4900000,-2200000,-6700000,-2800000,-18200000,- -,- -,- -,- -,- -,-38100000,- -,-8900000,-39300000,-16200000,-23300000,- -,- -,- -,- -,-113000000,-265300000,-205900000,-21600000,-82400000,-47600000,-35000000,-3200000,-10800000,- -,-59900000,-11300000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,7600000,3600000,- -,- -,- -,- -,- -,- -,- -,57900000,6100000,4100000,65500000,6200000,- -,196900000,229400000,151100000,12100000,120200000,15800000,35000000,- -,2400000,- -,55900000
88,Other Investing Activites,- -,- -,- -,- -,17500000,218500000,-6100000,-21800000,1500000,-6500000,10700000,-536700000,139800000,-6700000,15400000,45500000,25500000,13000000,4500000,15400000,11700000,6800000,35700000,-56500000,-18500000,-42200000,-66000000,-86400000,-122400000,-128100000,-127200000,-189200000,-181500000,-186900000,-225300000,-187000000,-259900000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-100800000,125400000,-89200000,-136900000,-97100000,-129300000,-105000000,-699000000,-562500000,-237500000,-194100000,-148600000,-220300000,-129700000,-371900000,-439900000,-322800000,-278400000,-174100000,9000000,-12300000,-155200000,-134400000,-62900000,7100000,-239900000,-84300000,-484500000,-165200000,-1107300000,-287000000,-246900000,-1353900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-258400000,-329000000,-38200000,-146000000,-146500000,-287000000,-5400000,-3400000,-3200000,-3000000,-312600000,-996000000,-769100000,-132600000
91,Common Stock Issued,- -,- -,- -,- -,100000000,- -,- -,104500000,- -,- -,- -,- -,19300000,7200000,9100000,3200000,9800000,40300000,39900000,99500000,17100000,15900000,10800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-75800000,- -,- -,- -,- -,- -,- -,- -,-8400000,-159900000,-18300000,-87100000,- -,- -,- -,- -,-76000000,-195600000,-125800000,- -,- -,- -,- -,- -,- -,-20000000,-120000000,-120300000,-130000000,-75000000,-400000000,-118300000,-120100000
93,Dividends Paid,- -,- -,- -,- -,-38900000,-38800000,-38900000,-41100000,-41900000,-42000000,-47900000,-49300000,-49600000,-49000000,-45900000,-44300000,-43800000,-45100000,-45900000,-58100000,-57300000,-55000000,-52600000,-4400000,-4400000,-4400000,-4500000,-4500000,-9100000,-41700000,-48300000,-55400000,-60600000,-67800000,-73400000,-78300000,-98900000
94,Other Financing Activites,- -,- -,- -,- -,-47300000,-165700000,14800000,-2100000,3400000,-13500000,31900000,242400000,186600000,50700000,-75300000,44400000,-169100000,-35600000,-22700000,137200000,-6000000,-1000000,-200000,252000000,429300000,17200000,-17400000,2500000,179600000,6400000,8200000,6500000,-10100000,1075900000,868600000,603900000,973400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-62000000,-204500000,-24100000,61300000,-38500000,-55500000,-16000000,193100000,147900000,-151000000,-130400000,-83800000,-203100000,-40400000,-28700000,178600000,-122200000,-235700000,-167800000,-10800000,95900000,-25400000,-167900000,-148500000,-116500000,-60700000,-163500000,-172400000,-203700000,620500000,-600800000,-361800000,621800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15600000,100000,6900000,-5000000,400000,8800000,-5500000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25300000,24400000,-16700000,242900000,-5500000,153900000,-12100000,-204300000,48000000,-13900000,209100000,24800000,-213200000,-53900000,72200000,196200000,104600000,-234900000,15200000,-163800000,16900000,187700000,-175800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100800000,125200000,108500000,351400000,345900000,499800000,487700000,283400000,331400000,317500000,526600000,551400000,338200000,284300000,356500000,552700000,657300000,422400000,448800000,294400000,320300000,519600000,354500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,31600000,21700000,84600000,102100000,195500000,248800000,185200000,344300000,238500000,85600000,126100000,100800000,125200000,108500000,351400000,345900000,499800000,487700000,283400000,331400000,317500000,526600000,551400000,338200000,284300000,356500000,552700000,657300000,433600000,458200000,303400000,331900000,530300000
100,Free Cash Flow,- -,- -,- -,- -,34600000,53800000,49900000,60600000,93100000,16600000,157400000,230200000,-444200000,198200000,89700000,100800000,219400000,300400000,235300000,243900000,199300000,110200000,106600000,-114100000,92200000,148200000,-900000,45500000,22000000,111800000,191000000,228000000,211000000,143600000,201600000,615900000,306900000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14930/000001493095000003/0000014930-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493096000002/0000014930-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/14930/000095013197002142/0000950131-97-002142-index.html,- -,https://www.sec.gov/Archives/edgar/data/14930/000095013199001700/0000950131-99-001700-index.html,- -,https://www.sec.gov/Archives/edgar/data/14930/000095013101001498/0000950131-01-001498-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/14930/000095013704001426/c83280e10vk.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493005000066/form10k2004.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493006000041/form10_k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493007000052/form10_k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493008000028/form10_k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/14930/000001493011000033/form10_k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493012000028/0000014930-12-000028-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493013000059/0000014930-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493014000039/bc2013123110k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493015000050/bc2014123110k.htm,https://www.sec.gov/Archives/edgar/data/14930/000162828016011325/0001628280-16-011325-index.html,https://www.sec.gov/Archives/edgar/data/1657250/000169082417000004/0001690824-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493018000056/0000014930-18-000056-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493019000054/0000014930-19-000054-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493020000027/0000014930-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493021000029/0000014930-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493022000041/0000014930-22-000041-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
