,https://roic.ai/company/DRE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,2000000,3300000,3000000,1000000,3400000,2500000,5500000,14200000,51873000,78620000,95135000,159195000,221188000,342680000,449130000,433656000,569596000,368628000,378775000,404259000,275723000,323931000,642847000,400472000,391156000,337537000,299157000,435676000,444487000,379381000,450135000,448116000,484407000,505898000,566436000,642426000
84,CAPEX,-67600000,- -,-62400000,-4300000,-4000000,- -,- -,-308700000,-6721000,-121408000,-198146000,-425423000,-53736000,-232794000,-105402000,-106130000,-125529000,-234763000,-321030000,-421113000,-435917000,-317324000,-572086000,-385076000,-711070000,-275424000,-665527000,-445514000,-125227000,-28849000,-170635000,-982598000,-348107000,-210224000,-383672000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23356000,47438000,80177000,-3422000,68137000,114633000,17213000,-8224000,-5335000,38976000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19750000,-1470000,-32226000,-308125000,-506687000,-440897000,-356460000,-210317000,-129199000,-145629000,-209990000,-385516000,-451162000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52186000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2000000,1100000,-2300000,6400000,3600000,-800000,-700000,-6200000,-109517000,-148411000,-77132000,-139675000,-341953000,-27833000,448547000,470141000,-54312000,43266000,36174000,959165000,-415461000,333667000,-25320000,130074000,422280000,1026359000,-944260000,-366820000,-287208000,1124721000,-43233000,581700000,-611643000,-546850000,-850886000,-871391000
89,Cash Used for Investing Activites,-65600000,1100000,-64700000,2100000,-400000,-800000,-700000,-314900000,-116238000,-289569000,-276748000,-597324000,-703814000,-767314000,-97752000,7551000,-337972000,-320696000,-430485000,328062000,-1236894000,-434819000,-522592000,-175948000,-288790000,750935000,-967616000,-319382000,-207031000,1121299000,24904000,696333000,-594430000,-555074000,-856221000,-832415000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-78500000,-79649000,-60030000,-95700000,-24000000,-50000000,-259900000,-75689000,-348645000,-71953000,-318542000,-540430000,-711675000,-1166354000,-248437000,-379487000,-1186301000,-599657000,-536210000,-340133000,-1051210000,-114969000,-1193808000,-817872000,-812785000,-239424000,-331327000,-560429000,-690313000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,309300000,92145000,96297000,203100000,321239000,211500000,214800000,32214000,111501000,225787000,83738000,114911000,291648000,6672000,240802000,17100000,551136000,298004000,- -,315295000,649690000,289122000,4530000,220258000,13383000,34913000,272761000,187856000,406576000
92,Common Stock Repurchased,68100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72301000,- -,-22000,-22000,-1124000,-150036000,-370906000,-69732000,-205304000,-287703000,-176292000,-132272000,-295780000,-224784000,-118787000,-110726000,-168272000,-177955000,-446592000,- -,- -,-457000,- -,- -,- -,-39000
93,Dividends Paid,-3900000,-6000000,-5200000,-5800000,-5200000,-3400000,-3400000,-3400000,-40705000,-51778000,-66873000,-95852000,-138074000,-224334000,-298527000,-325678000,-325663000,-318764000,-319830000,-26653000,-311921000,-323990000,-71439000,- -,-231483000,-232167000,-228330000,-251913000,-255622000,-307169000,-255279000,-576832000,-291502000,-318702000,-355287000,-394487000
94,Other Financing Activites,-100000,900000,67100000,2400000,2300000,2000000,-1600000,83300000,122942000,191754000,212994000,241761000,455819000,705905000,12174000,241943000,319042000,570586000,995320000,23205000,2650817000,554314000,583871000,760215000,420619000,-13944000,909979000,700480000,289252000,378000,367960000,287165000,437926000,522358000,963437000,904193000
95,Cash Used/Provided by Financing Activities,64100000,-5100000,61900000,-3400000,-2900000,-1400000,-5000000,310700000,94733000,176243000,181220000,443148000,479223000,436449000,-330952000,-470915000,-223693000,-52714000,44667000,-711178000,1002922000,90417000,-145735000,-99734000,-231304000,-893047000,488539000,-130908000,-238809000,-1496069000,-484933000,-1089526000,-58087000,145090000,235577000,225930000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,500000,-600000,200000,-300000,- -,200000,-200000,310700000,30368000,-34706000,-393000,5019000,-3403000,11815000,20426000,-29708000,7931000,-4782000,-7043000,21143000,41751000,-20471000,-25480000,124790000,-128938000,195425000,-179920000,-14614000,-1353000,4611000,-9894000,54923000,-168110000,95914000,-54208000,35941000
98,Cash at the End of Period,500000,100000,300000,- -,- -,200000,- -,- -,40433000,5727000,5334000,10353000,6950000,18765000,39191000,9483000,17414000,12632000,5589000,26732000,68483000,48012000,22532000,147322000,18384000,213809000,33889000,19275000,17922000,22533000,12639000,67562000,25517000,121431000,67223000,103164000
99,Cash at the Beginning of Period,- -,700000,100000,300000,- -,- -,200000,- -,10065000,40433000,5727000,5334000,10353000,6950000,18765000,39191000,9483000,17414000,12632000,5589000,26732000,68483000,48012000,22532000,147322000,18384000,213809000,33889000,19275000,17922000,22533000,12639000,193627000,25517000,121431000,67223000
100,Free Cash Flow,-65600000,3300000,-59400000,-3300000,-600000,2500000,5500000,-294500000,45152000,-42788000,-103011000,-266228000,167452000,109886000,343728000,327526000,444067000,133865000,57745000,-16854000,-160194000,6607000,70761000,15396000,-319914000,62113000,299157000,435676000,444487000,379381000,450135000,448116000,484407000,505898000,566436000,642426000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/783280/0000783280-97-000039-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/783280/000110465902000746/j3192_10k405.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465903004907/j8375_10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465904006524/a04-2962_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465905009494/a05-1765_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465906014364/a06-1916_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465907015612/a07-5490_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465908014097/a08-2526_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000119312509037302/d10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000119312510044034/d10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000119312511047257/d10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328012000004/dre10k2011.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328013000004/a201210kdoc.htm,https://www.sec.gov/Archives/edgar/data/783280/000144530514000524/a201310kdoc.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328015000018/a201410kdoc.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328016000080/a10k2015.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328017000012/a10k2016.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328018000012/a10k2017.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328019000010/a10k2018.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328020000010/a10k2019.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328021000012/0000783280-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328022000010/0000783280-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
