,https://roic.ai/company/IDXX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,- -,100000,- -,1600000,-1900000,-1500000,-2600000,-6400000,-3322000,-144000,-7462000,-510000,-356000,-2057000,8530000,79259000,102147000,21560000,57134000,158711000,38842000,266417000,516114000,306429000,86262000,82622000,36935000,133577000,244627000,114925000
95,Cash Used/Provided by Financing Activities,14200000,29400000,2400000,2400000,159700000,10000000,1500000,3200000,-64000000,-63350000,914000,-25343000,-5162000,-110171000,-106985000,-76259000,-18187000,-30790000,-95295000,-86769000,-97657000,-125343000,-102451000,-103438000,-95552000,-217824000,-208016000,-597799000,-286409000,-248416000,-697414000
96,Effect of Forex Changes on Cash,-200000,-500000,-100000,400000,-200000,-1000000,-3100000,1200000,-100000,-1684000,-389000,2007000,3168000,1757000,-2166000,1648000,2885000,-2415000,1824000,1313000,933000,1157000,-2414000,-8517000,-5948000,-54000,6202000,-4768000,-689000,3331000,-4639000
97,Net Change In Cash,14200000,29400000,2400000,2400000,159700000,10000000,1500000,3200000,-50500000,-12569000,20659000,47122000,72929000,-49786000,19995000,-5485000,-1306000,18508000,27860000,50187000,26980000,40091000,55072000,43478000,-193542000,25907000,32774000,-63881000,-33468000,293602000,-239474000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,58600000,46007000,66666000,113788000,186717000,47156000,67151000,61666000,60360000,78868000,106728000,156915000,183895000,223986000,279058000,322536000,128994000,154901000,187675000,123794000,90326000,383928000,144454000
99,Cash at the Beginning of Period,7600000,9300000,18000000,18900000,25200000,149300000,127700000,107000000,109100000,58576000,46007000,66666000,113788000,96942000,47156000,67151000,61666000,60360000,78868000,106728000,156915000,183895000,223986000,279058000,322536000,128994000,154901000,187675000,123794000,90326000,383928000
100,Free Cash Flow,-5600000,-2400000,5300000,10400000,-9100000,-3800000,-22000000,-2000000,40200000,12720000,28983000,88166000,100259000,63674000,92353000,38471000,68880000,44688000,115875000,139531000,167236000,163890000,167360000,175148000,133443000,269784000,296572000,277148000,303934000,540187000,635997000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874716/000087471602000001/final10k2001.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471603000033/form10kmar15edgar.htm,https://www.sec.gov/Archives/edgar/data/874716/000095013504001102/b48970ile10vk.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471605000035/form10k_dec312004.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471606000041/form10k_dec312005.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471607000048/0000874716-07-000048-index.html,https://www.sec.gov/Archives/edgar/data/874716/000136231008001141/c72515e10vk.htm,https://www.sec.gov/Archives/edgar/data/874716/000136231009002521/0001362310-09-002521-index.html,https://www.sec.gov/Archives/edgar/data/874716/000095012310014507/0000950123-10-014507-index.html,https://www.sec.gov/Archives/edgar/data/874716/000114420411010145/v211843_10k.htm,https://www.sec.gov/Archives/edgar/data/874716/000114420412009868/0001144204-12-009868-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471613000005/0000874716-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471614000004/c716-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471615000003/c716-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471616000020/0000874716-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471617000004/0000874716-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471618000005/0000874716-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471619000004/0000874716-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471620000006/0000874716-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471621000008/0000874716-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471622000007/0000874716-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
