,https://roic.ai/company/NBR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,-800000,-5300000,-7200000,900000,-600000,1000000,-4100000,-3400000,-4700000,10000000,7729000,-791000,1712000,-5695000,-4905000,-21704000,-48631000,-28668000,-26774000,52995000,-15201000,-114896000,14447000,39412000,-65398000,23852000,40647000,-17444000,-13981000,-18695000,6188000,32037000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-223199000,113550000,267907000,-566042000,-180200000,79204000,-76561000,-142857000,-142826000,12143000
81,Other Working Capital,- -,- -,- -,- -,- -,8400000,31100000,15300000,35900000,107900000,84000000,32800000,172100000,70800000,195800000,739139000,700816000,618454000,917274000,381658000,1264852000,1650496000,710980000,1037734000,1568042000,458550000,1285752000,2000475000,1442406000,1174399000,469398000,333905000,527860000,761486000,592118000,615996000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-2700000,-27600000,-22400000,-44500000,-56500000,13000000,16100000,-211600000,138400000,-144600000,-683798000,43458000,98013000,-335382000,457135000,-1066706000,-559230000,848351000,-161777000,614986000,1284888000,-528359000,-247974000,783591000,1776270000,1119622000,997514000,-470819000,-233389000,620154000,188472000,107880000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,6900000,30500000,10000000,28400000,36900000,73800000,84100000,165000000,281700000,128300000,220949000,694905000,372445000,395831000,563198000,1029500000,1486258000,1370198000,1446007000,1616972000,1106984000,1456487000,1562705000,1418223000,1781911000,856556000,531905000,62756000,325773000,684558000,349761000,428776000
84,CAPEX,- -,- -,- -,- -,- -,-23900000,-70800000,-49800000,-29200000,-37400000,-109300000,-146400000,-267900000,-304700000,-82100000,-300637000,-701156000,-316763000,-353406000,-544429000,-907316000,-1927407000,-2014469000,-1490162000,-1093435000,-930277000,-2042617000,-1518628000,-1178205000,-1821315000,-867106000,-395455000,-574467000,-458938000,-427741000,-195523000,-237640000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66352000,-135652000,- -,- -,-46201000,-82407000,185941000,-287000,-125076000,-774566000,-167721000,158204000,-110298000,-74149000,569418000,-22278000,9040000,-20859000,-2929000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-5400000,- -,- -,- -,-52400000,-7400000,-11300000,-4800000,-18500000,-25400000,-325286000,-535499000,-745383000,-1459041000,-746403000,-745743000,-1137958000,-656418000,-541292000,-32674000,-34147000,-11746000,-949000,- -,-319000,-9000,-24000,-6722000,-676000,-4323000,-91000,-67000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,5400000,5400000,4200000,- -,12600000,38900000,12500000,3700000,- -,6600000,42851000,163110000,542133000,1393638000,838816000,749562000,1325903000,860385000,521613000,57033000,34613000,39063000,31944000,164510000,23992000,961000,739000,13069000,4287000,18849000,2760000,11398000
88,Other Investing Activites,- -,- -,- -,- -,- -,-46000000,26900000,3300000,3000000,6400000,-9600000,-15200000,-57100000,46900000,13600000,5545000,15067000,26152000,10476000,-97061000,-8542000,53400000,162055000,69842000,-1062060000,-899205000,-1719075000,-1368827000,-869680000,-1666433000,-797819000,-360560000,-517390000,-349840000,-367453000,-168126000,-128556000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-69900000,-38500000,-42300000,-26200000,-70800000,-87400000,-160400000,-326100000,-276300000,-87300000,-577527000,-1124830000,-629513000,-408333000,-549077000,-958240000,-1768469000,-1462506000,-1440286000,-1162777000,-1673305000,-1859479000,-1179628000,-815468000,-1716909000,-227449000,-382123000,-502003000,-367088000,-355856000,-165457000,-117225000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1115376000,-418458000,-2097918000,-956258000,-1718602000,-230932000,-1302597000,-1281823000,-760045000,-2393278000,-1320360000,-2629043000,-1424458000
91,Common Stock Issued,- -,- -,- -,- -,- -,45900000,400000,7200000,35800000,5500000,200000,11000000,58800000,- -,5700000,112979000,8219000,12850000,26341000,71248000,194464000,446844000,61620000,56630000,11249000,8201000,11605000,- -,5383000,30263000,1296000,967000,168252000,301404000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,- -,- -,-247963000,-2486000,- -,- -,-99483000,-1402840000,-102451000,-281101000,-1515000,-1935000,-2626000,-5785000,- -,-320912000,-99598000,-1687000,-18071000,- -,- -,-1731000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47168000,-59145000,-69363000,-50924000,-68503000,-87098000,-49583000,-22538000,-7380000
94,Other Financing Activites,- -,- -,- -,- -,- -,31500000,1800000,24800000,10300000,-12300000,2900000,149100000,9800000,6400000,17200000,360331000,672150000,460000000,145143000,-292437000,7645000,1374271000,-38068000,135232000,1125015000,692446000,2252184000,707916000,1030801000,650574000,620321000,1195251000,1190547000,2334601000,1038370000,2505311000,1920259000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,77400000,2200000,32000000,46100000,-6800000,3100000,160100000,68600000,5700000,22900000,473310000,432406000,470364000,171484000,-221189000,102626000,418275000,-78899000,-89239000,19373000,280254000,163245000,-254127000,-729586000,69848000,-849941000,-138216000,512180000,155629000,-331573000,-148001000,488421000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1350000,2312000,6704000,12040000,6406000,-516000,1964000,-5701000,12160000,-46000,-3380000,-2603000,-8176000,-23616000,-25785000,-2003000,-29000,-5263000,-6171000,-3061000,-1742000
97,Net Change In Cash,- -,- -,- -,- -,- -,77400000,2200000,32000000,46100000,-6800000,3100000,160100000,68600000,5700000,63900000,116732000,1131000,215608000,165686000,-195028000,180292000,135548000,-169243000,-89219000,485728000,-286113000,-243127000,126347000,-135007000,111234000,-246619000,9563000,72904000,109051000,-9042000,33242000,798230000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80600000,197312000,198443000,414051000,579737000,384709000,565001000,700549000,531306000,442087000,927815000,641702000,398575000,524922000,389915000,501149000,254530000,264093000,336997000,451080000,442038000,475280000,1273510000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,6400000,20800000,15000000,14800000,63100000,22600000,12000000,96400000,5600000,16700000,80580000,197312000,198443000,414051000,579737000,384709000,565001000,700549000,531306000,442087000,927815000,641702000,398575000,524922000,389915000,501149000,254530000,264093000,342029000,451080000,442038000,475280000
100,Free Cash Flow,- -,- -,- -,- -,- -,-17000000,-40300000,-39800000,-800000,-500000,-35500000,-62300000,-102900000,-23000000,46200000,-79688000,-6251000,55682000,42425000,18769000,122184000,-441149000,-644271000,-44155000,523537000,176707000,-586130000,44077000,240018000,-39404000,-10550000,136450000,-511711000,-133165000,256817000,154238000,191136000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163739/000095012903001724/0000950129-03-001724-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163739/000095012907001102/h44035e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163739/000095012908001323/h54178e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163739/000095013409004091/0000950134-09-004091-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000095012310018307/0000950123-10-018307-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000095012311020720/h78262e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163739/000119312512089662/0001193125-12-089662-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000110465913016655/0001104659-13-016655-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000104746914001701/a2218436z10-k.htm,https://www.sec.gov/Archives/edgar/data/1163739/000104746915001506/a2223297z10-k.htm,https://www.sec.gov/Archives/edgar/data/1163739/000110465916100551/0001104659-16-100551-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837017001099/0001558370-17-001099-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837018001382/0001558370-18-001382-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837019001349/0001558370-19-001349-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837020001335/0001558370-20-001335-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837021001631/0001558370-21-001631-index.htm,https://www.sec.gov/Archives/edgar/data/1163739/000155837022001407/0001558370-22-001407-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
