,https://roic.ai/company/SXT,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,- -,-8900000,3000000,-2000000,36200000,-11400000,22100000,-2000000,8200000,18600000,1300000,-15700000,91266000,-16232000,43214000,-11938000,26709000,-202762000,212835000,89679000,50481000,10712000,25278000,32353000,47523000,17703000,-32448000,5937000,-37035000,13766000,91013000,-21327000,-61207000,-43432000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16908000,5013000,-20229000,-5095000,-15158000,3466000,-10582000,-21721000,31144000,10630000,-96638000,10930000,-11357000,-34571000
79,Inventory,- -,- -,- -,- -,- -,-3400000,-22800000,-23600000,3800000,1500000,-5100000,-11100000,4900000,-8500000,-5700000,-11300000,-17363000,8007000,-17377000,-31334000,1186000,-616000,-7537000,-15299000,-40591000,1190000,-4191000,-28391000,-23125000,-30217000,64000,3041000,-20064000,-47345000,-34114000,25238000,46828000,-36323000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000,3606000,6745000,-8792000,2332000,4804000,7457000,-18251000,15524000,21326000
81,Other Working Capital,- -,- -,- -,- -,- -,89700000,92700000,90700000,126900000,115500000,137600000,135600000,143800000,162400000,163700000,148000000,239266000,223034000,266248000,254310000,281019000,78257000,291092000,380771000,431252000,441964000,467242000,499595000,547118000,566932000,534484000,540421000,503386000,517152000,608165000,586838000,525631000,4275000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-25500000,-35100000,-45400000,23100000,-42900000,-69700000,7100000,-33800000,-32100000,-20100000,-109616000,-34586000,-68501000,-66587000,-21138000,232193000,-222809000,-115953000,-105940000,-1085000,8940000,-14641000,-93419000,-31713000,107049000,-29760000,68101000,5353000,-228444000,81526000,123971000,14352000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,50400000,43900000,58200000,67500000,82800000,61600000,23100000,91300000,91600000,94100000,102500000,91645000,59578000,94101000,56543000,125732000,110290000,99217000,105205000,86974000,138336000,155725000,142877000,139366000,153553000,189188000,128047000,222478000,180506000,83520000,177182000,218780000,145218000
84,CAPEX,- -,- -,- -,- -,- -,-46600000,-69600000,-54800000,-45000000,-46000000,-121000000,-42600000,-59000000,-73500000,-134800000,-121000000,- -,-38001000,-47317000,-74208000,-49845000,-36102000,-39314000,-41961000,-53680000,-47716000,-55823000,-72200000,-103806000,-104246000,-79398000,-79941000,-81216000,-56344000,-50740000,-39100000,-52162000,-60788000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105715000,-50749000,-48450000,-19307000,- -,- -,- -,- -,- -,- -,- -,-3706000,- -,- -,- -,-8393000,- -,12457000,-31100000,- -,12595000,23915000
86,Purchases of Investments,- -,- -,- -,- -,- -,-500000,- -,-900000,-1500000,-2200000,-6800000,-4600000,-2700000,-5700000,-5900000,-4800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-440000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-28000000,44200000,-16100000,-16900000,600000,163800000,30900000,100000,-50100000,6800000,4600000,15632000,113935000,7586000,8335000,5081000,2134000,5473000,2742000,2064000,109000,700000,1869000,1122000,6017000,249000,12540000,6013000,10070000,96673000,1689000,6146000,1313000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-75100000,-24700000,-71800000,-63400000,-47600000,36000000,-16300000,-61600000,-129300000,-133900000,-121200000,-90083000,25185000,-88181000,-85180000,-44764000,-33968000,-33841000,-39219000,-49955000,-48047000,-55123000,-74037000,-102684000,-98229000,-79149000,-75794000,-75203000,-33817000,14833000,-37411000,-33421000,-35560000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134135000,-277064000,-211935000,-198259000,-58052000,-198686000,-128186000,-156662000,-247092000,-239950000,-284332000,-134449000,-154348000,-110168000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,500000,900000,600000,1200000,1600000,8100000,13600000,3700000,18776000,9115000,12204000,4809000,4213000,3629000,7681000,16693000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-13800000,-800000,-14100000,-1800000,-27600000,-5800000,-21800000,-24300000,-47531000,-37385000,-18892000,-17931000,- -,-18005000,-4563000,-1267000,- -,- -,- -,- -,-23154000,- -,-137192000,-176566000,-50100000,-87217000,-76734000,- -,- -,-42511000
93,Dividends Paid,- -,- -,- -,- -,- -,-13400000,-17200000,-19500000,-22400000,-23200000,-24100000,-25000000,-25800000,-26500000,-27100000,-26800000,-25997000,-25356000,-25539000,-28154000,-28096000,-28275000,-28292000,-32017000,-35597000,-37042000,-39013000,-41968000,-43426000,-45513000,-47893000,-48110000,-49635000,-54038000,-57410000,-62190000,-66057000,-66694000
94,Other Financing Activites,- -,- -,- -,- -,- -,39400000,2300000,37900000,29400000,-11700000,-28000000,-16000000,16800000,59800000,74900000,69200000,56149000,-31872000,25454000,69717000,-59660000,-28511000,-43509000,-44821000,131376000,233738000,153407000,187279000,75860000,195980000,214718000,331204000,218856000,227791000,319752000,46056000,36252000,111612000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,26000000,-14900000,18400000,-6300000,-34800000,-65600000,-41600000,-35000000,35600000,39600000,21800000,1397000,-85498000,-6773000,28441000,-83543000,-71162000,-68683000,-61412000,-38356000,-80368000,-97541000,-52948000,-48772000,-48219000,-98553000,-50134000,-127971000,-153414000,-98724000,-150583000,-184153000,-107761000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,144000,-165000,639000,1343000,1568000,-335000,1274000,913000,-687000,-6200000,-1025000,-7292000,4297000,-2331000,-10993000,-10451000,-5436000,10204000,2928000,64000,2411000,-927000
97,Net Change In Cash,- -,- -,- -,- -,- -,26000000,-14900000,18400000,-6300000,-34800000,-65600000,-41600000,-35000000,35600000,39600000,3000000,3103000,-900000,-214000,1147000,-1007000,4825000,-2033000,5487000,-2024000,3721000,2036000,8600000,-7793000,4774000,493000,-8332000,13868000,3479000,2557000,-10748000,3617000,970000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,3217000,2317000,2103000,3250000,2243000,7068000,5035000,10522000,8498000,12219000,14255000,22855000,15062000,19836000,20329000,11997000,25865000,29344000,31901000,21153000,24770000,25740000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,2600000,3900000,8500000,13200000,11000000,11400000,43400000,8700000,3400000,1300000,1600000,114000,3217000,2317000,2103000,3250000,2243000,7068000,5035000,10522000,8498000,12219000,14255000,22855000,15062000,19836000,20329000,11997000,25865000,29344000,31901000,21153000,24770000
100,Free Cash Flow,- -,- -,- -,- -,- -,3800000,-25700000,3400000,22500000,36800000,-59400000,-19500000,32300000,18100000,-40700000,-18500000,91645000,21577000,46784000,-17665000,75887000,74188000,59903000,63244000,33294000,90620000,99902000,70677000,35560000,49307000,109790000,48106000,141262000,124162000,32780000,138082000,166618000,84430000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310142/000089706994000121/0000897069-94-000121-index.html,https://www.sec.gov/Archives/edgar/data/310142/000089706995000215/0000897069-95-000215-index.html,https://www.sec.gov/Archives/edgar/data/310142/000089706996000442/0000897069-96-000442-index.html,https://www.sec.gov/Archives/edgar/data/310142/000095012497006655/0000950124-97-006655-index.html,https://www.sec.gov/Archives/edgar/data/310142/000095012498007741/0000950124-98-007741-index.html,- -,https://www.sec.gov/Archives/edgar/data/310142/000095013001001497/0000950130-01-001497-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310142/000119312505050657/d10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000119312506054705/d10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000119312507043088/d10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000119312508043100/0001193125-08-043100-index.html,https://www.sec.gov/Archives/edgar/data/310142/000119312509041687/0001193125-09-041687-index.html,https://www.sec.gov/Archives/edgar/data/310142/000119312510043675/0001193125-10-043675-index.html,https://www.sec.gov/Archives/edgar/data/310142/000095012311018319/c61215e10vk.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036112011033/0001140361-12-011033-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036113009616/0001140361-13-009616-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036114010109/form10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036115009106/form10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036116054898/0001140361-16-054898-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036117008738/0001140361-17-008738-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036118009754/0001140361-18-009754-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036119003673/0001140361-19-003673-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036120003752/0001140361-20-003752-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036121005623/0001140361-21-005623-index.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036122006156/0001140361-22-006156-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
