,https://roic.ai/company/WY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,7409000000,6717000000,8497000000,8341000000,8020000000,9582000000,11965000000,10526000000,17367000000,16933000000,16324000000,14748000000,16912000000,11028000000,10039000000,9188000000,4831000000,4537000000,2909000000,2816000000,2754000000,2781000000,2094000000,2151000000,2287000000,2380000000,2354000000,2487000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,792000000,- -,1095000000,3131000000,3237000000,3244000000,2982000000,2203000000,2207000000,43000000,40000000,40000000,40000000,40000000,42000000,40000000,40000000,40000000,40000000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,792000000,1150000000,1095000000,3131000000,3237000000,3244000000,2982000000,2203000000,2207000000,43000000,40000000,40000000,40000000,40000000,42000000,40000000,40000000,40000000,40000000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1038000000,- -,150000000,365000000,602000000,1074000000,- -,601000000,- -,- -,- -,- -,- -,- -,232000000,214000000,210000000,213000000,213000000,826000000,803000000,689000000,671000000,646000000,362000000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,986000000,- -,1324000000,1418000000,1404000000,1985000000,- -,2377000000,4056000000,4294000000,4533000000,4035000000,- -,3290000000,438000000,299000000,266000000,240000000,391000000,41000000,8000000,4000000,293000000,268000000,15000000,72000000,120000000,17000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1596000000,4004000000,1400000000,657000000,638000000,363000000,1703000000,633000000,-223000000,-376000000,560000000,1588000000,3462000000,4267000000,1770000000,1803000000,5441000000,5503000000,6827000000,8447000000,6819000000,6798000000,14523000000,13239000000,12983000000,12343000000,12228000000,12013000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11029000000,10721000000,11371000000,10781000000,10664000000,13796000000,14818000000,15232000000,24331000000,24088000000,24661000000,23353000000,22577000000,20792000000,12522000000,11544000000,10788000000,10533000000,10380000000,12172000000,10424000000,10312000000,17621000000,16344000000,15647000000,14795000000,14702000000,14517000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13007000000,13253000000,13596000000,13075000000,12834000000,18339000000,18195000000,18293000000,28219000000,28109000000,29954000000,28229000000,26862000000,23806000000,16735000000,15250000000,13429000000,12598000000,12592000000,14498000000,13457000000,12486000000,19243000000,18059000000,17249000000,16406000000,16311000000,17652000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,645000000,747000000,725000000,694000000,699000000,961000000,921000000,809000000,983000000,1041000000,1197000000,1241000000,1048000000,869000000,379000000,317000000,340000000,336000000,329000000,384000000,331000000,326000000,233000000,249000000,222000000,246000000,204000000,281000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,487000000,- -,- -,- -,- -,733000000,- -,851000000,95000000,492000000,399000000,566000000,561000000,408000000,7000000,- -,12000000,340000000,2000000,- -,- -,282000000,271000000,1227000000,263000000,176000000,24000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000000,- -,- -,42000000,27000000,40000000,28000000,24000000,159000000,43000000,30000000,24000000,75000000,106000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2377000000,4056000000,4294000000,4533000000,4035000000,- -,3290000000,- -,- -,- -,- -,60000000,98000000,75000000,52000000,40000000,48000000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1022000000,707000000,758000000,690000000,800000000,1973000000,1050000000,-1323000000,-2896000000,-2905000000,-3073000000,-2420000000,1515000000,-2113000000,1025000000,631000000,734000000,593000000,501000000,644000000,512000000,497000000,651000000,597000000,490000000,497000000,570000000,649000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1667000000,1941000000,1483000000,1384000000,1499000000,2934000000,2704000000,1863000000,2994000000,2525000000,3149000000,3255000000,3129000000,2607000000,1812000000,955000000,1074000000,941000000,1230000000,1128000000,918000000,875000000,1206000000,1165000000,1939000000,1006000000,950000000,954000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5082000000,4736000000,5328000000,4743000000,4662000000,5129000000,5114000000,6073000000,12784000000,12397000000,10146000000,8262000000,7675000000,6834000000,5609000000,5683000000,5060000000,4466000000,4633000000,5407000000,5402000000,5402000000,6840000000,6232000000,5419000000,6147000000,5325000000,5099000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1196000000,- -,- -,- -,- -,2377000000,- -,- -,- -,- -,- -,3691000000,- -,1805000000,1538000000,366000000,93000000,- -,206000000,206000000,86000000,- -,- -,43000000,6000000,24000000,46000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1968000000,783000000,2181000000,2299000000,2147000000,3103000000,1168000000,3662000000,5818000000,6078000000,7404000000,6912000000,3282000000,6384000000,2695000000,3020000000,2315000000,2831000000,2616000000,925000000,1627000000,1254000000,2017000000,1763000000,802000000,1070000000,1281000000,786000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7050000000,6715000000,7509000000,7042000000,6809000000,8232000000,8659000000,9735000000,18602000000,18475000000,17550000000,15174000000,14648000000,13218000000,10109000000,10241000000,7741000000,7390000000,7249000000,6538000000,7235000000,6742000000,8857000000,7995000000,6264000000,7223000000,6630000000,5931000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,26000000,24000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8717000000,8656000000,8992000000,8426000000,8308000000,11166000000,11363000000,11598000000,21596000000,21000000000,20699000000,18429000000,17777000000,15825000000,11921000000,11196000000,8815000000,8331000000,8479000000,7666000000,8153000000,7617000000,10063000000,9160000000,8203000000,8229000000,7580000000,6885000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,14000000,14000000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000000,- -,258000000,258000000,258000000,288000000,629000000,271000000,274000000,275000000,300000000,304000000,295000000,262000000,264000000,264000000,670000000,671000000,678000000,729000000,656000000,638000000,936000000,944000000,933000000,932000000,934000000,934000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,3733000000,4226000000,4372000000,4397000000,4372000000,4578000000,3849000000,3852000000,3740000000,3662000000,4573000000,4840000000,4755000000,5014000000,3278000000,2658000000,181000000,176000000,219000000,294000000,1508000000,1349000000,1421000000,1078000000,1093000000,-3000000,411000000,2131000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-214000000,-4900000000,-186000000,-246000000,-416000000,862000000,-6483000000,-242000000,-266000000,232000000,307000000,429000000,223000000,1096000000,-495000000,-664000000,-791000000,-1179000000,-1558000000,-686000000,-1393000000,-1212000000,-1459000000,-1562000000,-1152000000,-904000000,-822000000,-479000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,513000000,5271000000,160000000,240000000,312000000,1445000000,8837000000,2814000000,2875000000,2940000000,4075000000,4227000000,3812000000,1609000000,1767000000,1786000000,4552000000,4595000000,4731000000,6444000000,4519000000,4080000000,8282000000,8439000000,8172000000,8152000000,8208000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4290000000,4597000000,4604000000,4649000000,4526000000,7173000000,6832000000,6695000000,6623000000,7109000000,9255000000,9800000000,9085000000,7981000000,4814000000,4044000000,4612000000,4263000000,4070000000,6795000000,5304000000,4869000000,9180000000,8899000000,9046000000,8177000000,8731000000,10767000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13007000000,13253000000,13596000000,13075000000,12834000000,18339000000,18195000000,18293000000,28219000000,28109000000,29954000000,28229000000,26862000000,23806000000,16735000000,15240000000,13427000000,12594000000,12549000000,14461000000,13457000000,12486000000,19243000000,18059000000,17249000000,16406000000,16311000000,17652000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,2000000,4000000,43000000,37000000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13007000000,13253000000,13596000000,13075000000,12834000000,18339000000,18195000000,18293000000,28219000000,28109000000,29954000000,28229000000,26862000000,23806000000,16735000000,15250000000,13429000000,12598000000,12592000000,14498000000,13457000000,12486000000,19243000000,18059000000,17249000000,16406000000,16311000000,17652000000
