,https://roic.ai/company/NEM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-7900000,19200000,-34600000,14100000,-67800000,-13300000,-55700000,-46000000,-149300000,-7800000,-24400000,-35055000,36000000,-9546000,-73000000,-23257000,-189000000,-388000000,-95000000,-354000000,-378000000,-501000000,-495000000,-729000000,-777000000,-525000000,-270000000,-302000000,-221000000,-250000000,-132000000,-139000000,-136000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55000000,177000000,- -,- -,-210000000,-478000000,-187000000,-39000000,4000000,18000000,-73000000,144000000,-50000000,-11000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,419793000,1526000000,1620144000,1686000000,903000000,1172000000,765000000,3502000000,4506000000,1448000000,2804000000,2134000000,3241000000,3567000000,2927000000,3671000000,3490000000,3887000000,5136000000,-161000000
82,Other Non-Cash Items,- -,- -,- -,- -,-43000000,-355200000,-73300000,-15900000,-144600000,-2000000,-50900000,-58700000,-56800000,646200000,145800000,177574000,140000000,-350048000,-1484207000,293879000,252144000,636000000,1737000000,349000000,-1951000000,-749000000,5832000000,-1912000000,4563000000,-1308000000,-34000000,2329000000,-425000000,226000000,-2727000000,-1346000000,1368000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,134600000,75500000,98300000,131300000,32800000,137100000,152200000,135400000,283800000,373500000,402000000,508416000,381000000,670308000,589000000,1556752000,1243000000,1225000000,663000000,1292000000,2947000000,3167000000,3584000000,2372000000,1543000000,1438000000,2145000000,2786000000,2335000000,1827000000,2866000000,4882000000,4279000000
84,CAPEX,- -,- -,- -,- -,-126100000,-60100000,-95500000,-207600000,-235300000,-402000000,-309300000,-231200000,-415100000,-216000000,-221000000,-378006000,-402000000,-300057000,-501000000,-717961000,-1251000000,-1551000000,-1670000000,-1875000000,-1769000000,-1402000000,-2787000000,-3210000000,-1900000000,-1110000000,-1401000000,-1133000000,-866000000,-1032000000,-1463000000,-1302000000,-1653000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-348000000,-792000000,-325000000,-1007000000,-4000000,-2309000000,-25000000,-13000000,-28000000,-823000000,- -,- -,-140000000,127000000,-2000000,-460000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-13900000,-19700000,-16800000,-8600000,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-1719995000,-3301000000,-1503000000,-258000000,-17000000,-5000000,-28000000,-21000000,-220000000,-1000000,-26000000,- -,- -,-130000000,-39000000,-112000000,-37000000,-59000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,11100000,- -,16900000,18300000,88200000,13900000,116400000,- -,- -,- -,- -,- -,- -,500103000,232000000,899130000,3358000000,2224000000,224000000,50000000,17000000,3000000,81000000,210000000,589000000,25000000,29000000,195000000,35000000,18000000,67000000,307000000,194000000
88,Other Investing Activites,- -,- -,- -,- -,42700000,854700000,8800000,6500000,10600000,-4500000,-38900000,-7800000,-10000000,-204800000,40100000,-72652000,5000000,-87936000,82000000,106609000,217000000,340000000,29000000,16000000,-17000000,12000000,-31000000,-19000000,12000000,632000000,154000000,904000000,- -,16000000,155000000,1125000000,110000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-72300000,794600000,-83700000,-202500000,-153300000,-401200000,-231800000,-239000000,-425100000,-420800000,-180900000,-450658000,-397000000,112110000,-202000000,-1432217000,-977000000,-838000000,-2467000000,-2151000000,-2781000000,-1419000000,-5067000000,-3264000000,-1313000000,-507000000,-2041000000,-34000000,-961000000,-1177000000,-1226000000,91000000,-1868000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4487000000,-2731000000,-430000000,-2273000000,-1976000000,-1150000000,-686000000,-454000000,-1312000000,-580000000,-4000000,-1931000000,-1226000000,-1455000000
91,Common Stock Issued,- -,- -,- -,- -,6300000,4900000,3200000,293300000,26100000,10600000,8000000,265400000,12600000,300000,- -,- -,- -,67346000,1287000000,77531000,43000000,78000000,299000000,29000000,1916000000,289000000,40000000,24000000,2000000,- -,675000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-366000000,- -,-287000000,-110000000,- -,- -,- -,- -,- -,- -,- -,-98000000,-479000000,-521000000,-525000000
93,Dividends Paid,- -,- -,- -,- -,-40400000,-40600000,-40600000,-40800000,-58000000,-57300000,-53700000,-47700000,-54500000,-19100000,-20100000,-20165000,-31000000,-49982000,-71000000,-370217000,-365000000,-180000000,-181000000,-571000000,-590000000,-246000000,-611000000,-695000000,-611000000,-114000000,-52000000,-67000000,-134000000,-301000000,-889000000,-834000000,-1757000000
94,Other Financing Activites,- -,- -,- -,- -,-33300000,-708900000,-88700000,90900000,-68900000,401700000,28200000,12400000,102400000,-1000000,-224800000,-32619000,116000000,-547439000,-669000000,-182530000,360000000,-245000000,713000000,5152000000,4262000000,-418000000,1990000000,3336000000,1547000000,735000000,127000000,-422000000,-150000000,-52000000,522000000,901000000,779000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-67400000,-744600000,-126100000,343400000,-100800000,355000000,-21900000,230100000,60500000,-19800000,-244900000,-52784000,85000000,-530075000,547000000,-475216000,38000000,-347000000,465000000,123000000,2570000000,-915000000,-854000000,689000000,-212000000,-65000000,296000000,-1801000000,-864000000,-455000000,-2777000000,-1680000000,-2958000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,-91000,-21000000,2315000,-3000000,3000000,50000000,-54000000,44000000,8000000,41000000,4000000,-24000000,-18000000,-21000000,1000000,6000000,-4000000,-3000000,6000000,-8000000
97,Net Change In Cash,- -,- -,- -,- -,-67400000,-744600000,-126100000,343400000,-100800000,355000000,-21900000,230100000,60500000,-19800000,-23800000,4974000,71000000,252252000,912000000,-348366000,301000000,84000000,65000000,-796000000,2780000000,841000000,-2296000000,-199000000,-6000000,848000000,379000000,393000000,516000000,191000000,-1140000000,3299000000,-555000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55300000,60288000,149000000,401683000,1314000000,782706000,1082000000,1166000000,1231000000,435000000,3215000000,4056000000,1760000000,1561000000,1555000000,2403000000,2782000000,2756000000,3298000000,3489000000,2349000000,5648000000,5093000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,9900000,4800000,130400000,18900000,291000000,69800000,160600000,59100000,227100000,146200000,79100000,55314000,78000000,149431000,402000000,1131072000,781000000,1082000000,1166000000,1231000000,435000000,3215000000,4056000000,1760000000,1561000000,1555000000,2403000000,2363000000,2782000000,3298000000,3489000000,2349000000,5648000000
100,Free Cash Flow,- -,- -,- -,- -,8500000,15400000,2800000,-76300000,-202500000,-264900000,-157100000,-95800000,-131300000,157500000,181000000,130410000,-21000000,370251000,88000000,838791000,-8000000,-326000000,-1007000000,-583000000,1178000000,1765000000,797000000,-838000000,-357000000,328000000,744000000,1653000000,1469000000,795000000,1403000000,3580000000,2626000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1164727/000104596903000796/0001045969-03-000796-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000119312504042223/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312505050868/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312506043441/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312507038537/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312508035169/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000095013409003236/0000950134-09-003236-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000095012310016613/0000950123-10-016613-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000095012311017350/d79003e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/0001193125-12-075918-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000119312513070256/0001193125-13-070256-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000119312514061205/d653301d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000156459015000777/nem-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1164727/000155837016003258/0001558370-16-003258-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837017000729/0001558370-17-000729-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837018000894/0001558370-18-000894-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837019000806/0001558370-19-000806-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837020001041/0001558370-20-001041-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000116472721000027/0001164727-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472722000007/0001164727-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
