,https://roic.ai/company/LOGI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,126138000,121158000,150102000,11175000,18920000,21730000,32100000,95396000,74600000,53500000,26000000,10500000,1866000,- -,47564000,87547000,118999000,126941000,115148000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,126138000,121158000,150102000,146571000,198911000,216113000,275000000,648858000,621800000,614000000,366100000,355500000,218213000,218224000,297305000,362998000,462683000,527858000,544752000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13113000,14301000,15599000,16611000,17237000,24083000,25819000,30196000,36385000,66034000,68211000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21560000,20639000,- -,- -,45257000,- -,- -,- -,2300000,1936000,1665000,1789000,1980000,90808000,1931000,210888000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,9987000,25645000,19253000,47917000,13439000,- -,43668000,20673000,66127000,68815000,60252000,55598000,45681000,149966000,60511000,88579000,5260000,277054000,13980000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,175039000,184111000,222011000,290858000,320043000,320574000,422800000,806017000,785200000,792000000,529600000,518400000,374660000,397900000,470832000,570057000,673688000,948996000,983060000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,738302000,865916000,1018872000,1057064000,1327463000,1486890000,1421500000,1599678000,1861600000,1856500000,1374100000,1451400000,1426680000,1324147000,1498677000,1743157000,2024124000,2363474000,4142378000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,129326000,143016000,177748000,181290000,218129000,287001000,157800000,257955000,298200000,301100000,266000000,242800000,292797000,241166000,274805000,293988000,283922000,259120000,823233000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,10102000,14129000,9875000,14071000,11856000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10945000,13101000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6828000,8875000,2569000,13187000,10803000,17055000,14402000,1553000,6232000,4354000,6207000,- -,182028000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19358000,22698000,22529000,24987000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,98134000,113752000,156575000,162922000,235080000,156094000,131500000,182336000,172500000,167342000,164502000,189471000,177123000,173764000,232273000,281732000,433897000,444079000,845516000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,237562000,270897000,344198000,358283000,465065000,443095000,289300000,440291000,470700000,487800000,453200000,454800000,494907000,414930000,507078000,575720000,717819000,714144000,1681850000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,131615000,137008000,147788000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21319000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16042000,24136000,9350000,9109000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137319000,1989000,93126000,72107000,59734000,51797000,34956000,2050000,- -,1679000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,3563000,931000,737000,13601000,17874000,- -,134500000,159672000,185900000,65139000,161075000,90024000,92423000,89535000,83691000,81924000,127916000,160062000,175741000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,135178000,137939000,148525000,13605000,17874000,- -,134500000,159672000,185900000,218500000,187200000,192500000,173639000,149269000,135488000,116880000,129966000,160062000,198739000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123793000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30481000,34420000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,372740000,408836000,492723000,371888000,482939000,566888000,423800000,599963000,656600000,706300000,640400000,647300000,668546000,564199000,642566000,692600000,847785000,874206000,1880589000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,33370000,33370000,33370000,33370000,33370000,- -,33400000,33370000,33400000,33400000,30100000,30100000,30148000,30148000,30148000,30148000,30148000,30148000,30148000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,303234000,435387000,584653000,765758000,995606000,1234629000,1341700000,1406618000,1514200000,1556600000,975600000,976300000,930174000,963576000,1074110000,1232316000,1365036000,1690579000,2490578000
