,https://roic.ai/company/LPX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-20600000,-160000000,-111700000,41700000,53300000,52700000,-179600000,64500000,43000000,-32000000,-46800000,77200000,-92300000,34400000,804600000,141500000,287000000,-212000000,-651800000,-250500000,195100000,46700000,-61300000,239000000,111700000,-90400000,-151500000,161600000,301800000,-63900000,-650600000,332000000,-44000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,4500000,-34100000,10600000,-8900000,-35000000,3400000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-14200000,-17500000,36500000,-8000000,-39700000,25100000,-103900000,31100000,12800000,7100000,13500000,-37400000,97000000,2100000,400000,-26000000,-14400000,-10300000,32600000,29900000,57200000,-8500000,-15100000,-44500000,-17700000,-9200000,3500000,-11000000,-22700000,-1900000,3000000,-12000000,-71000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11700000,12400000,-7800000,-20300000,53800000,22500000,-20700000,-4000000,30000000,46000000
81,Other Working Capital,- -,- -,- -,- -,473600000,313600000,201900000,243600000,296900000,349600000,170000000,234500000,277500000,245500000,198700000,275900000,183600000,218000000,1022600000,1164100000,1451100000,1239100000,587300000,336800000,531900000,578600000,517300000,756300000,868000000,777600000,626100000,787700000,1089500000,1025600000,375000000,707000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,20700000,159300000,157800000,-34800000,-40400000,-6000000,508000000,-10800000,-52200000,-40000000,47300000,-212600000,295000000,-24800000,-888800000,-246300000,-249700000,173200000,726100000,741700000,-100200000,-50700000,115700000,-238300000,-146400000,2800000,157600000,-94900000,-350900000,51200000,681600000,-285000000,25000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,353200000,250200000,250200000,360300000,438500000,595900000,334600000,22800000,88200000,123000000,472600000,82500000,148700000,88500000,509400000,601500000,514000000,183800000,-9700000,-142500000,60800000,47800000,-40200000,111800000,242500000,-52900000,29200000,342300000,473700000,510500000,159000000,659000000,1484000000
84,CAPEX,- -,- -,- -,- -,-223100000,-330400000,-152300000,-161400000,-208400000,-286000000,-362900000,-244000000,-204500000,-122500000,-844000000,-220300000,-74700000,-45500000,-86600000,-147700000,-173700000,-236500000,-335500000,-99400000,-9600000,-14500000,-21400000,-31200000,-75600000,-80100000,-113800000,-124800000,-148600000,-214200000,-163000000,-77000000,-254000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54700000,-6900000,-3300000,- -,- -,- -,- -,-5800000,-56500000,-100000,4900000,-9600000,12700000,-50600000,2600000,1100000,- -,-20800000,-45000000,27000000,15000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-3700000,-5800000,-5300000,-16400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2598100000,-3897800000,-4998400000,-2010000000,-216000000,-300000,- -,-9600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,32100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1960400000,3724800000,4898800000,2471000000,421600000,70300000,21800000,19100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-33100000,-34900000,-41300000,-28700000,-77400000,-64300000,-24400000,31300000,64600000,368900000,60600000,13900000,32000000,120500000,529600000,11800000,65200000,88600000,3200000,61300000,65300000,108100000,29200000,40000000,108800000,14000000,-3200000,411100000,-29200000,21000000,-1000000,13000000,7000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-259900000,-371100000,-198900000,-206500000,-253700000,-350300000,-387300000,-212700000,-139900000,246400000,-783400000,-261100000,-49600000,71700000,443000000,-773600000,-281500000,-247500000,122900000,111000000,125600000,120300000,7700000,21500000,-17400000,-63500000,-115900000,286300000,-198600000,-238200000,-137000000,-49000000,-247000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-321100000,-174100000,-200000,-253100000,-113200000,-2300000,-2300000,-742500000,-2600000,-24700000,-5000000,-350000000,-359000000
91,Common Stock Issued,- -,- -,- -,- -,48600000,- -,- -,- -,- -,56000000,- -,- -,- -,15000000,- -,- -,- -,- -,19200000,41200000,11700000,5600000,2700000,- -,132300000,- -,- -,1300000,100000,- -,700000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-48000000,-80400000,-3700000,- -,-13800000,-54300000,-120200000,- -,-2900000,-66500000,-47900000,-11300000,- -,- -,- -,- -,-150600000,-41100000,-23600000,- -,- -,- -,- -,- -,- -,-100000,- -,-100000,-400000,-211800000,-638000000,-200000000,-1300000000
93,Dividends Paid,- -,- -,- -,- -,-37300000,-38500000,-38900000,-42500000,-47300000,-53400000,-58200000,-60100000,-60700000,-60700000,-59200000,-58300000,-25100000,- -,- -,-32600000,-52000000,-63200000,-62500000,-31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74400000,-65000000,-65000000,-66000000
94,Other Financing Activites,- -,- -,- -,- -,39800000,96100000,-27000000,-74000000,-90200000,-139600000,-9400000,202400000,119400000,-162600000,407400000,170300000,-50500000,-84500000,-184600000,-224400000,23300000,-179800000,63900000,-199500000,304700000,-200000,-15500000,343900000,-13300000,-1500000,-2800000,335600000,-6400000,-6100000,-9000000,343000000,337000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,3100000,-22800000,-69600000,-116500000,-151300000,-191300000,-187800000,142300000,55800000,-274800000,300300000,100700000,-75600000,-84500000,-165400000,-215800000,-167600000,-278500000,-19500000,-230500000,115900000,-174300000,-15700000,92100000,-126400000,-3900000,-4400000,-407000000,-9400000,-317000000,-717000000,-272000000,-1388000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,6700000,-2000000,300000,400000,7600000,-5900000,1400000,-1100000,-4500000,-2800000,-3800000,-6900000,3000000,3000000,-4800000,-2000000,2000000,-14000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10500000,-77900000,23500000,75700000,788600000,-381200000,62900000,-341900000,94100000,-254400000,296400000,-4800000,-49300000,220900000,95900000,-124100000,-98000000,224600000,268700000,-49500000,-697000000,340000000,-164000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000000,38100000,61600000,137300000,925900000,544700000,607600000,265700000,352100000,97700000,394100000,389300000,340000000,560900000,656800000,532700000,434700000,659300000,928000000,891800000,195000000,535000000,371000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,256400000,352800000,209100000,190800000,228100000,261600000,315900000,75400000,27800000,31900000,126500000,116000000,38100000,61600000,137300000,925900000,544700000,607600000,258000000,352100000,97700000,394100000,389300000,340000000,560900000,656800000,532700000,434700000,659300000,941300000,892000000,195000000,535000000
100,Free Cash Flow,- -,- -,- -,- -,130100000,-80200000,97900000,198900000,230100000,309900000,-28300000,-221200000,-116300000,500000,-371400000,-137800000,74000000,43000000,422800000,453800000,340300000,-52700000,-345200000,-241900000,51200000,33300000,-61600000,80600000,166900000,-133000000,-84600000,217500000,325100000,296300000,-4000000,582000000,1230000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60519/000089291795000074/0000892917-95-000074-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60519/000091205702010142/0000912057-02-010142-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000104746903008920/0001047469-03-008920-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000104746904007508/0001047469-04-007508-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000110465905010457/0001104659-05-010457-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000110465906014863/0001104659-06-014863-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000110465907015101/0001104659-07-015101-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000104746908002334/0001047469-08-002334-index.htm,- -,https://www.sec.gov/Archives/edgar/data/60519/000119312510044563/0001193125-10-044563-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000119312511049415/0001193125-11-049415-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433712000010/0001504337-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433713000009/0001504337-13-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/60519/000150433715000010/0001504337-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433716000048/0001504337-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433717000007/0001504337-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433718000006/0001504337-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433719000008/0001504337-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000179349820000014/0001793498-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000162828021002469/0001628280-21-002469-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000162828022003299/0001628280-22-003299-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
