,https://roic.ai/company/ESCA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,2600000,2000000,4400000,-5700000,18700000,15300000,8800000,8600000,14900000,11533587,19618000,3874512,26526000,15363000,24632000,19899000,14311000,-1912000,18313000,8852000,2581000,6558000,8390000,18377000,15463000,12169000,13363000,6506000,16038000,2633000,939000
84,CAPEX,- -,- -,- -,- -,- -,- -,-3400000,-2300000,-5500000,-4300000,-1100000,-1900000,-1600000,-1100000,-1100000,-915667,-2739000,-3084962,-2564000,-2410000,-8395000,-2683000,-2387000,-9484000,-1894000,-1778000,-2375000,-2423000,-2355000,-2663000,-5067000,-2653000,-2745000,-2818000,-2185000,-5455000,-9696000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7855000,-9158000,-10730000,-632000,-3213000,-28759000,-4177000,-467000,- -,- -,- -,-1250000,-6485000,-10630000,-10678000,-9659000,-1450000,26536000,-765000,-15446000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-1000000,- -,- -,- -,- -,-100000,-67470,-60000,-15000,-846000,- -,- -,-192000,- -,- -,- -,-500000,- -,- -,- -,- -,- -,-57000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,952000,- -,1501000,1645000,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,500000,-100000,-200000,-800000,- -,- -,-9100000,-300000,-11600000,-1282871,4000,-843483,-9832000,288000,70000,1135000,506000,33000,-481000,13000,3428000,-234000,118000,7498000,1450000,2568000,5000,1154000,4000,-131000,43000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-2900000,-1900000,-5800000,-6100000,-1100000,-1900000,-10700000,-1400000,-12800000,-2266008,-10650000,-13101445,-23972000,-2754000,-11538000,-29547000,-6058000,-8417000,-730000,-2265000,1353000,-3907000,-8722000,-5795000,-14295000,-9801000,-4190000,24872000,-2946000,-21032000,-9653000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19135000,-18880000,-8737000,-2500000,-1500000,-2452000,-7063000,-1585000,-63585000,-59031000,-51145000,-77502000,-53971000,-204601000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,400000,400000,300000,113596,183000,616727,350000,1040000,409000,1464000,140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9300000,-2800000,-200000,-3600000,-13687908,-814000,-126719,-2114000,-984000,-2172000,-1524000,-3401000,-920000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-2938000,-6739000,-10434000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-100000,- -,-3100000,- -,- -,- -,- -,-1556000,-1961000,-2604000,-2866000,-3174000,- -,-1285000,-3212000,-5076000,-4622000,-5294000,-6072000,-6282000,-6607000,-7215000,-7204000,-7466000,-7693000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,900000,400000,900000,12200000,-17400000,-3800000,4300000,-8300000,5700000,3697463,-8564000,11186508,-4118000,-8657000,-7951000,13039000,-634000,33918000,33000,1566000,4227000,2761000,6723000,1468000,5239000,66530000,57024000,28244000,77610000,84198000,232311000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,900000,400000,900000,12300000,-17400000,-13300000,1800000,-8100000,-700000,-9876849,-9195000,11676516,-5882000,-10157000,-11675000,10375000,-6761000,10689000,-18847000,-8456000,-1485000,-3815000,-351000,-10889000,-2418000,-3337000,-8614000,-30126000,-10034000,16022000,9583000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,606000,-50000,-1452000,85000,-2513000,449000,686000,366000,-164000,-113000,485000,-807000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,900000,400000,900000,12300000,-17400000,-13300000,1800000,-8100000,1500000,-609270,-227000,2449583,-2722000,2402000,-33000,812000,-1021000,809000,-578000,-1503000,2285000,-1277000,-198000,886000,-1250000,-969000,559000,1252000,3058000,-2377000,869000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1146771,920000,3369854,648000,3050000,3017000,3829000,2808000,3617000,3039000,1536000,3821000,2544000,2346000,3232000,1982000,1013000,1572000,2824000,5882000,3505000,4374000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,500000,1000000,500000,1000000,1200000,1300000,1200000,300000,1756041,1147000,920271,3370000,648000,3050000,3017000,3829000,2808000,3617000,3039000,1536000,3821000,2544000,2346000,3232000,1982000,1013000,1572000,2824000,5882000,3505000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-800000,-300000,-1100000,-10000000,17600000,13400000,7200000,7500000,13800000,10617920,16879000,789550,23962000,12953000,16237000,17216000,11924000,-11396000,16419000,7074000,206000,4135000,6035000,15714000,10396000,9516000,10618000,3688000,13853000,-2822000,-8757000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33488/000093637197000003/0000936371-97-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33488/000095015201500424/0000950152-01-500424-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33488/000101905607000264/0001019056-07-000264-index.html,- -,https://www.sec.gov/Archives/edgar/data/33488/000101905609000381/0001019056-09-000381-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000101905610000272/0001019056-10-000272-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000101905611000282/0001019056-11-000282-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000101905612000307/0001019056-12-000307-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420413011121/0001144204-13-011121-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420414011337/0001144204-14-011337-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420415011858/0001144204-15-011858-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420416083756/0001144204-16-083756-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420417011505/0001144204-17-011505-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420418011216/0001144204-18-011216-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420419009589/0001144204-19-009589-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000110465920023597/0001104659-20-023597-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000143774921003651/0001437749-21-003651-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000143774922003913/0001437749-22-003913-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
