,https://roic.ai/company/DXYN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,88900000,110700000,72200000,68000000,80600000,54200000,61200000,36700000,67600000,49800000,58700000,75516000,73100000,75400000,77600000,52800000,56500000,66417000,77000000,95700000,100602000,98632000,81727000,105113000,96534000,-176000,2883000,-4025000
82,Other Non-Cash Items,-13400000,-19800000,- -,-36100000,-8000000,5600000,25500000,9500000,24300000,-95100000,36300000,81900000,13000000,25700000,21563000,-24949000,42679000,-60773000,-25844000,-21652000,-30627000,4490000,-785000,21728000,80677000,-4238000,-15907000,-24728000,-39993000,-14407000,-1790000,34525000,-45505000,22981000,-25041000,288000,4198000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,27200000,31400000,14900000,42100000,60200000,18400000,30500000,55000000,48900000,34400000,36738000,-162000,41415000,-3111000,-56179000,8716000,5897000,21643000,19766000,8399000,26510000,3918000,5054000,-4712000,-5921000,3461000,8609000,23921000,-9606000,5105000,11687000,13549000,-6639000
84,CAPEX,- -,- -,- -,- -,-33000000,-31000000,-38300000,-26300000,-50900000,-35800000,-30300000,-17600000,-26500000,-42800000,-39712000,-50664000,-12133000,-7129000,-6681000,-13611000,-27175000,-16450000,-16659000,-9469000,-2436000,-1771000,-6740000,-3386000,-11438000,-10676000,-6826000,-4904000,-12724000,-4052000,-4235000,-1760000,-4376000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1197000,-2170000,-16869000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-27400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222000,292000,- -,- -,- -,- -,870000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-9700000,700000,2600000,1800000,10600000,18900000,7800000,24000000,-57200000,13000000,19383000,-2809000,3254000,30682000,158728000,-6337000,1004000,51000,21000,598000,1925000,10000,5000,187000,48000,5104000,68000,1000,- -,1856000,37205000,44000,19475000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-42700000,-30300000,-35700000,-51900000,-40300000,-16900000,-22500000,6400000,-83700000,-29800000,-20329000,-53473000,-8879000,23553000,152047000,-19948000,-26171000,-16399000,-16638000,-8649000,-219000,-1761000,-6735000,-4396000,-13560000,-21571000,-6758000,-4903000,-12724000,-2196000,32970000,-1716000,15099000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8707000,-26343000,-8181000,-61136000,-3346000,-12532000,-6813000,-12002000,-20465000,-10717000,-10399000,-52540000,-67172000,-7641000
91,Common Stock Issued,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1666000,1950000,853000,266000,25000,- -,- -,- -,- -,- -,24559000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-24200000,-11400000,-3200000,-200000,- -,-200000,-18500000,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1568000,-3531000,-37000,-58000,-131000,-199000,-207000,-497000,-584000,-152000,-116000,-58000,-827000,-921000,-69000
93,Dividends Paid,- -,- -,- -,- -,-6900000,-6500000,-3700000,-1700000,-2200000,-2400000,- -,- -,- -,-1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,46600000,15400000,28100000,10800000,-15100000,-1100000,12000000,-62900000,34900000,-2000000,-6683000,43685000,-33715000,-19414000,-87250000,-1492000,18324000,-5559000,-1937000,12149000,32000,6270000,63002000,12846000,31984000,1000000,10622000,1458000,33042000,7547000,9461000,57411000,7430000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,15700000,-2500000,21200000,8900000,-17300000,-3700000,-6500000,-62900000,34600000,-3700000,-6683000,43685000,-33715000,-19414000,-87250000,174000,20274000,-4706000,-3239000,-64000,-26348000,-1969000,1735000,9301000,19245000,18249000,-1964000,-19159000,22209000,-2910000,-43906000,-10682000,-280000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,15700000,-2500000,21200000,8900000,-17300000,-3700000,-6500000,-62900000,34600000,-3700000,9726000,-9950000,-1179000,1028000,8618000,174000,20274000,-4706000,-111000,-314000,-57000,188000,54000,193000,-236000,139000,-113000,-141000,-121000,-1000,751000,1151000,-449000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12541000,2591000,1412000,2440000,11058000,- -,- -,537000,427000,113000,56000,244000,298000,491000,255000,394000,281000,140000,19000,18000,769000,1920000,1471000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3100000,3400000,2000000,2300000,1400000,4000000,1900000,3400000,2000000,1800000,2815000,12541000,2591000,1412000,2440000,11058000,- -,- -,538000,427000,113000,56000,244000,298000,491000,255000,394000,281000,140000,19000,18000,769000,1920000
100,Free Cash Flow,- -,- -,- -,- -,-5800000,400000,-23400000,15800000,9300000,-17400000,200000,37400000,22400000,-8400000,-2974000,-50826000,29282000,-10240000,-62860000,-4895000,-21278000,5193000,3107000,-1070000,24074000,2147000,-1686000,-8098000,-17359000,-7215000,1783000,19017000,-22330000,1053000,7452000,11789000,-11015000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29332/000002933202000003/0000029332-02-000003-index.html,https://www.sec.gov/Archives/edgar/data/29332/000002933203000005/0000029332-03-000005-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933204000004/0000029332-04-000004-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933205000007/0000029332-05-000007-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933206000010/0000029332-06-000010-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933207000034/0000029332-07-000034-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933208000023/0000029332-08-000023-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933209000009/0000029332-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933210000013/0000029332-10-000013-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933211000020/0000029332-11-000020-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933212000029/0000029332-12-000029-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933213000045/0000029332-13-000045-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933214000034/0000029332-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933215000021/0000029332-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933216000142/0000029332-16-000142-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933217000024/0000029332-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933218000026/0000029332-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933219000021/0000029332-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933220000012/0000029332-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933221000015/0000029332-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933222000046/0000029332-22-000046-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
