,https://roic.ai/company/SHW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68494000,108190000,-111113000,-93697000,-33578000,-41473000,-80252000,-56873000,-113855000,-49850000,18424000,-73200000,10300000,-287800000
79,Inventory,- -,- -,- -,- -,-800000,-7400000,-42300000,15400000,-19600000,-28700000,3900000,-85900000,-30900000,39100000,-24400000,6188000,72132000,-229000,-153000,-62702000,-33464000,-7546000,5117000,-2472000,145867000,-82060000,-19222000,19929000,25031000,-101112000,-40733000,-52577000,-89959000,-119510000,-75500000,84400000,-228100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16349000,-82607000,155116000,64053000,-51124000,34685000,78603000,160111000,-118893000,166687000,113786000,36200000,227200000,346100000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,591600000,620000000,365200000,416600000,435300000,407500000,436296000,365592000,422497000,560974000,261791000,340014000,375466000,-71805000,-27531000,376351000,149782000,98932000,1272802000,630160000,-113886000,517015000,798119000,478660000,46740000,109800000,-3000000,-57700000
82,Other Non-Cash Items,- -,- -,- -,- -,12200000,-12500000,-36800000,90200000,55900000,-569900000,-21000000,268800000,-70900000,8400000,32000000,283142000,205417000,239052000,-68042000,296099000,39029000,69766000,515034000,116289000,-166114000,233017000,98809000,-1140146000,700274000,715045000,-513167000,-306814000,455247000,731383000,171440000,959000000,490300000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,170300000,154700000,135500000,214100000,254300000,250500000,282700000,332600000,439500000,478500000,485100000,461108000,561646000,558917000,558929000,544681000,716702000,815841000,874545000,876233000,859186000,706590000,735812000,887886000,1083766000,1081528000,1447463000,1308572000,1883968000,1943700000,2321300000,3408600000,2244600000
84,CAPEX,- -,- -,- -,- -,-71700000,-271400000,-88000000,-71800000,-66200000,-87900000,-108400000,-122700000,-164000000,-146100000,-149600000,-132778000,-82572000,-126530000,-116507000,-106822000,-143072000,-209939000,-165870000,-117203000,-91328000,-125162000,-153801000,-157112000,-166680000,-200545000,-234340000,-239026000,-222767000,-250957000,-328900000,-303800000,-372000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000000,-51000000,-282000000,-69000000,-15000000,-298000000,-44000000,-99000000,-80000000,- -,- -,- -,-8810000000,- -,-77000000,- -,-88400000
86,Purchases of Investments,- -,- -,- -,- -,-5400000,- -,- -,-3000000,-36700000,- -,-20000000,- -,- -,-19300000,-23400000,-51163000,-16614000,-16144000,-27875000,-12739000,-37134000,-71181000,-52514000,-62067000,-29230000,-74961000,-92374000,-95778000,-94739000,-111021000,-65593000,-103182000,-61526000,-39037000,-63300000,-79300000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,14500000,66900000,3000000,- -,- -,39700000,- -,57800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2400000,25300000,-3500000,-300000,-3500000,6400000,-97400000,-654800000,-896500000,-3300000,9100000,-69097000,8294000,-29887000,8329000,-562320000,3459000,12368000,22568000,-105761000,-86169000,8174000,-141395000,-147677000,-163575000,-199029000,-223040000,-200592000,-175836000,-212603000,-322300000,-243100000,-388000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-65000000,-179200000,-88500000,-75100000,-106400000,-41800000,-225800000,-719700000,-1060500000,-168700000,-163900000,-253038000,-90892000,-172561000,-136053000,-681881000,-199747000,-319752000,-456616000,-236828000,-130399000,-489949000,-277769000,-342455000,-338314000,-310050000,-288633000,-303774000,-9047362000,-251640000,-462600000,-322400000,-476400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136793000,-494989000,-159422000,-49881000,-14000000,-10932000,-500661000,- -,-66230000,-1902188000,-857812000,-1889400000,-1214700000,-434400000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,13400000,17700000,12600000,6300000,11100000,12800000,14800000,16800000,7100000,6419000,17798000,37516000,47468000,88489000,58377000,98654000,71281000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182400000,11700000
92,Common Stock Repurchased,- -,- -,- -,- -,-12500000,-1300000,-1300000,-4300000,-16100000,-128100000,-17400000,-3100000,-8400000,-85000000,-147400000,-146857000,-157088000,-190320000,-238148000,-267358000,-356493000,-311133000,-863139000,-393540000,-530363000,-375677000,-367372000,-557766000,-769271000,-1488663000,-1035291000,- -,- -,-613312000,-778800000,-2446300000,-2752300000
93,Dividends Paid,- -,- -,- -,- -,-30100000,-32900000,-36700000,-38800000,-44400000,-48400000,-54600000,-60000000,-69000000,-77800000,-81000000,-88124000,-90984000,-91007000,-90689000,-96915000,-113588000,-135357000,-162301000,-165111000,-162561000,-156424000,-153512000,-160939000,-204978000,-215263000,-249647000,-312082000,-319029000,-322934000,-420800000,-488000000,-587100000
94,Other Financing Activites,- -,- -,- -,- -,-300000,22400000,-17600000,-49700000,-34600000,-17200000,2000000,189900000,685200000,-148200000,-97600000,5131000,-123850000,-100032000,-9405000,152392000,-118302000,284187000,87542000,57534000,505083000,467955000,95556000,1019283000,131873000,737512000,304585000,70959000,8735307000,47405000,1242600000,946500000,1928100000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-42900000,-11800000,-42200000,-75100000,-82500000,-187400000,-58900000,139600000,622600000,-294200000,-318900000,-223431000,-354124000,-343843000,-290774000,-123392000,-530006000,-63649000,-866617000,-637910000,-682830000,-223568000,-475209000,286578000,-853308000,-1467075000,-980353000,-307353000,6514090000,-1746653000,-1846400000,-3020100000,-1834000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2800000,-366000,-712000,2685000,6699000,3711000,3160000,689000,6843000,-2608000,-2840000,-3817000,-8723000,-2115000,-9845000,-8560000,-13465000,-13396000,-36276000,5885000,-6000000,-1300000,4900000
97,Net Change In Cash,- -,- -,- -,- -,-42900000,-11800000,-42200000,-75100000,-82500000,- -,- -,- -,- -,- -,-500000,-15727000,115918000,45198000,138801000,-256881000,-9891000,433129000,-441845000,-1113000,43117000,-10744000,-25889000,829894000,-117701000,-704157000,165012000,684049000,-685580000,-48708000,6300000,64800000,-60900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18600000,2896000,118814000,164012000,302813000,45932000,36041000,469170000,27325000,26212000,69329000,58585000,32696000,862590000,744889000,40732000,205744000,889793000,204213000,155505000,161800000,226600000,165700000
99,Cash at the Beginning of Period,- -,- -,- -,- -,69800000,132200000,96000000,100800000,164700000,230100000,251400000,249500000,1900000,3500000,19100000,18623000,2896000,118814000,164012000,302813000,45932000,36041000,469170000,27325000,26212000,69329000,58585000,32696000,862590000,744889000,40732000,205744000,889793000,204213000,155500000,161800000,226600000
100,Free Cash Flow,- -,- -,- -,- -,98600000,-116700000,47500000,142300000,188100000,162600000,174300000,209900000,275500000,332400000,335500000,328330000,479074000,432387000,442422000,437859000,573630000,605902000,708675000,759030000,767858000,581428000,582011000,730774000,917086000,880983000,1213123000,1069546000,1661201000,1692743000,1992400000,3104800000,1872600000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89800/000095015295000337/0000950152-95-000337-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89800/000095015206001786/0000950152-06-001786-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095015207001637/0000950152-07-001637-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095015208001496/0000950152-08-001496-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095015209001707/0000950152-09-001707-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095012310016198/0000950123-10-016198-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095012311017092/0000950123-11-017092-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000119312512075061/0001193125-12-075061-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980013000046/0000089800-13-000046-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980014000045/0000089800-14-000045-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980015000004/0000089800-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980016000026/0000089800-16-000026-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980017000005/0000089800-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980018000004/0000089800-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980019000004/0000089800-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980020000005/0000089800-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980021000010/0000089800-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980022000007/0000089800-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
